,Station,Station ID,Station Name,Rail Lines Served,Jurisdiction,TOD Place Type,Area Population (2010),Station Type,Transit Score,Station Facility Score,Parking Score,Bike Access Score,Ped Access Score,TOD Zoning Score,Development Market,Total Rail Lines,Modes Served,Transit Connections,Connecting Bus Routes,Connecting Bus Routes (Text),Weekday Ridership: MARC Penn,Weekday Ridership: MARC Camden,Weekday Ridership: MARC Brunswick,Weekday Ridership: Metro,Weekday Ridership: Light Rail,Weekend Ridership: MARC Penn,Weekend Ridership: MARC Camden,Weekend Ridership: MARC Brunswick,Weekend Ridership: Metro,Weekend Ridership: Light Rail,Frequency of Service Weekday: MARC Penn,Frequency of Service Weekday: MARC Camden,Frequency of Service Weekday: MARC Brunswick,Frequency of Service Weekday: Metro,Frequency of Service Weekday: Light Rail,Frequency of Service Weekend: MARC Penn,Frequency of Service Weekend: MARC Camden,Frequency of Service Weekend: MARC Brunswick,Frequency of Service Weekend: Metro,Frequency of Service Weekend: Light Rail,Track Crossing,Schedule Information,Route Information,Ticket Booth/Machine,Shelter,Benches,Public Restrooms,Public Phones,Parking Spots Regular,Parking Fee,Parking Spots ADA,EVC Charge Stations,EVC Charge Stations Occupied,Vehicles Parked (2010),Vehicles Parked (2014),Utilization Rate (2014) ,Spaces relative to number of Average Daily Riders (Weekday) Total lines,Spaces relative to number of Average Daily Riders (Weekend) Total lines,Spaces relative to other stations on the same line,Intersection Density (1 Mile Diameter),Short Trip Opportunity Analysis (1 Mile Buffer),Number of Bicycle Racks,Type of Bicycle Racks,Number of Bicycle Lockers,Number of Bicycle Lockers Occupied,Locally Designated TOD,Zoning Summary,Local Zoning Descriptions,Area Master plans,Residential Alterations (units),Residentail Alterations (permits),Residential New Construction (permits),Residential New Construction (units),Non Residential Alterations (permits),Non Residentail New Contruction (permits),Mixed-Use New Construction (permits),Mixed-Use New Construction (units),Count of MD Property View Parcels,Cumulative Composite Score (YEARBLT score x SQFTSTRC score),Location
36,BWI Rail Station,55,BWI Rail Station,MARC: Penn Line,Anne Arundel County,"Town, Suburban, or Employment Center",183449.0,Regional,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,BaltimoreLink Core Bus; Commuter Bus; Local Transit,"075, 201, RTA 501","075, 201, RTA 501",1889.08,,,,,,,,,,,,,,,9.0,,,,,Grade Separated,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.0,Yes,0.0,5.0,5.0,975.0,2286.0,234.0,0.0,,0.0,2.54689,2.0,0.0,,20.0,14.0,No,R-1 residential ( 1 house per acre),http://www.aacounty.org/PlanZone/Zoning/ZoningClassifications.cfm#.VCLVo5RdWX0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,"(39.191845, -76.694816)"
37,Boyds,82,Boyds,MARC: Brunswick Line,Montgomery County,Village Center or Rural Town,111308.0,Regional,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,,,18.33,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,16.0,No,0.0,0.0,0.0,13.0,12.0,90.0,1.084745763,,0.085232317,5.09378,2.0,0.0,,0.0,,No,"Rural, R-200, C-1, T-S, I-1",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,87.0,105.0,"(39.184814, -77.316686)"
38,Charles Center,15,Charles Center,Metro,Baltimore City,Downtown,566012.0,Walk-up,5.0,1.0,1.0,3.0,5.0,5.0,4.0,1.0,3.0,BaltimoreLink Core Bus; Commuter Bus,"051, 056, 065, 067, 071, 076, 078, 095, 103, 105, 115, 120, 150, 160, 164, 210, 215, 310, 410, 411, 420, CityLink Green, CityLink Orange, CityLink Purple, CityLink Red, CityLink Silver","51, 56, 65, 67, 71, 76, 78, 95, 103, 105, 115, 120, 150, 160, 164, 210, 215, 310, 410, 411, 420, CityLink Green, CityLink Orange, CityLink Purple, CityLink Red, CityLink Silver",,,,4744.09,,,,,1771.0,,,,,117.0,,,,,71.0,,Below Grade,Yes,Yes,Yes,No,No,No,Yes,0.0,No,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,318.361,10.0,0.0,,0.0,,No,C-5 Downtown Commercial,http://cityview.baltimorecity.gov/,,1729.0,104.0,6.0,636.0,0.0,41.0,0.0,0.0,,,"(39.289569, -76.61337)"
39,Timonium Fairgrounds,43,Timonium Fairgrounds,Light Rail,Baltimore County,"Town, Suburban, or Employment Center",129973.0,Anchor,3.0,3.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,BaltimoreLink Core Bus,093,93,,,,,982.09,,,,,,,,,,90.0,,,,,72.0,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,Yes,769.0,No,17.0,0.0,0.0,310.0,282.0,0.91,0.7,,7.851794555,58.5784,3.0,0.0,,14.0,3.0,No,"ML-IM Light Manufacturing, Office",http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0.0,14.0,10.0,10.0,0.0,6.0,0.0,0.0,,,"(39.450191, -76.63687)"
40,Frederick,78,Frederick,MARC: Brunswick Line,City of Frederick,Downtown,110368.0,Regional,1.0,3.0,1.0,3.0,4.0,5.0,2.0,1.0,3.0,Commuter Bus; Local Transit,"515, TransIT","515, TransIT",,,117.92,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,Yes,Yes,Yes,No,Yes,89.0,Yes,4.0,0.0,0.0,30.0,9.0,29.0,0.857831325,,0.474104765,122.251,5.0,6.0,6 Other,0.0,,No,DB Downtown Business,http://www.cityoffrederick.com/DocumentCenter/Home/View/428,,,,,,,,,,1525.0,1575.0,"(39.411887, -77.405455)"
41,Camden Station,3,Camden Station,MARC: Camden Line; Light Rail,Baltimore City,Downtown,549217.0,Walk-up,2.0,1.0,3.0,3.0,5.0,5.0,5.0,2.0,4.0,BaltimoreLink Core Bus; Commuter Bus,"120, 160, 320, 410, 411, 420","120, 160, 320, 410, 411, 420",,389.17,,,630.44,,,,,,,9.0,,,,,,,,108.0,On Grade,No,Yes,Yes,Yes,Yes,No,No,28.0,Yes,0.0,0.0,0.0,0.0,,,0.03,,0.213370281,264.876,10.0,5.0,2 Covered Vertical; 2 Inverted U; 1 Wave,0.0,,No,C-5 Downtown District,,,129.0,146.0,16.0,649.0,0.0,20.0,0.0,0.0,,,"(39.283762, -76.619955)"
42,Washington Grove,86,Washington Grove,MARC: Brunswick Line; WMATA Metro,Montgomery County,Urban Neighborhood,281726.0,Neighborhood,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,Local Transit,Ride On 61,Ride On 61,,,47.92,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,27.0,No,0.0,0.0,0.0,25.0,32.0,129.0,0.621880998,,0.143829535,75.1332,3.0,0.0,,0.0,,No,"CT, I - 1",http://www.montgomerycountymd.gov/mcg/countycode.html,,,,,,,,,,849.0,603.0,"(39.136129, -77.178297)"
43,Cultural Center/State Center,34,Cultural Center/State Center,Light Rail,Baltimore City,Downtown,599830.0,Walk-up,3.0,2.0,3.0,4.0,5.0,5.0,5.0,2.0,3.0,BaltimoreLink Core Bus; Commuter Bus,"053, 054, 094, 154, 410, CityLink Lime, CityLink Yellow","53, 54, 94, 154, 410, CityLink Lime, CityLink Yellow",,,,,747.66,,,,,,,,,,114.0,,,,,108.0,On Grade & Separated Right-of-Way,No,Yes,Yes,Yes,Yes,No,Yes,0.0,No,0.0,0.0,0.0,0.0,,,0.0,,0.0,342.556,9.0,0.0,,0.0,,No,TOD -4 Transit Oriented Development,http://cityview.baltimorecity.gov/,Master Plans\Baltimore Metro\State Center\State_CenterTODDevelopmentStrategy2005.pdf,291.0,246.0,30.0,595.0,306.0,8.0,1.0,280.0,,,"(39.303238, -76.620635)"
44,North Avenue,36,North Avenue,Light Rail,Baltimore City,Urban Neighborhood,612599.0,Neighborhood,3.0,3.0,1.0,4.0,4.0,5.0,5.0,1.0,2.0,BaltimoreLink Core Bus,CityLink Gold,CityLink Gold,,,,,953.58,,,,,,,,,,90.0,,,,,72.0,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,Yes,36.0,No,2.0,0.0,0.0,36.0,32.0,89.0,0.03,,0.367574257,245.775,6.0,2.0,2 Inverted U,0.0,,Yes,I-2 Industrial,http://cityview.baltimorecity.gov/,,23.0,186.0,30.0,305.0,159.0,6.0,1.0,280.0,,,"(39.311325, -76.622502)"
45,Pepper Road,47,Pepper Road,Light Rail,Baltimore County,"Town, Suburban, or Employment Center",72184.0,Anchor,4.0,3.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,161.57,,,,,,,,,,72.0,,,,,72.0,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,Yes,0.0,No,0.0,0.0,0.0,0.0,,,0.0,,0.0,22.922,1.0,0.0,,0.0,,No,"ML-IM Light Manufacturing, Office",http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0.0,3.0,0.0,0.0,0.0,24.0,0.0,0.0,,,"(39.492057, -76.655971)"
46,Muirkirk,69,Muirkirk,MARC: Camden Line,Prince Georges County,"Town, Suburban, or Employment Center",192427.0,Anchor,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,Local Transit,RTA 302,RTA 302,,355.25,,,,,,,,,,,,,,,,,,,On Grade,Yes,Yes,No,Yes,Yes,No,No,667.0,No,15.0,0.0,0.0,209.0,251.0,120.0,2.056526208,,2.886309992,35.6564,2.0,0.0,,8.0,1.0,No,"I-2, E-I-A, I-3",http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,,,,,,,,,,405.0,1258.0,"(39.061914, -76.884555)"
47,BWI Business District,19,BWI Business District,Light Rail,Anne Arundel County,"Town, Suburban, or Employment Center",208356.0,Anchor,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,BaltimoreLink Core Bus; WMATA Metrobus; Local Transit,"075, B30, RTA 501","75, B30, RTA 501",,,,,209.09,,,,,,,,,,45.0,,,,,36.0,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,No,30.0,No,4.0,0.0,0.0,22.0,30.0,138.0,0.13,,0.306311881,19.1017,2.0,0.0,,10.0,2.0,No,W1 - Industrial Park,http://www.aacounty.org/PlanZone/Zoning/ZoningClassifications.cfm#.VCLVo5RdWX0,,0.0,4.0,6.0,6.0,0.0,1.0,0.0,0.0,,,"(39.190674, -76.676178)"
48,Nursery Road,24,Nursery Road,Light Rail,Anne Arundel County,"Town, Suburban, or Employment Center",230560.0,Anchor,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,BaltimoreLink Core Bus,075,75,,,,,437.19,,,,,,,,,,90.0,,,,,72.0,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,Yes,33.0,No,2.0,0.0,0.0,32.0,26.0,80.0,0.07,,0.336943069,61.1253,3.0,0.0,,0.0,,Yes,R5 &  OS - Open Space,http://www.aacounty.org/PlanZone/Zoning/ZoningClassifications.cfm#.VCLVo5RdWX0,,0.0,18.0,30.0,33.0,0.0,1.0,0.0,0.0,,,"(39.221146, -76.64229)"
49,McCormick Road,46,McCormick Road,Light Rail,Baltimore County,"Town, Suburban, or Employment Center",73036.0,Anchor,4.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,2.0,BaltimoreLink Core Bus,093,93,,,,,443.53,,,,,,,,,,72.0,,,,,72.0,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,No,0.0,No,0.0,0.0,0.0,0.0,,,0.0,,0.0,14.0079,4.0,0.0,,0.0,,Yes,"ML-IM Light Manufacturing, Office",http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0.0,1.0,2.0,2.0,0.0,12.0,0.0,0.0,,,"(39.489245, -76.659389)"
