,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types
82,ELEC,Napleton Nissan,1301 Indianapolis Blvd,,Schererville,IN,46375,,219-865-3800,E,,Private,,,,,,,1.0,,,,,200-8,41.4976735,-87.4709712,2015-01-06,47162,2015-02-10 18:44:59 UTC,P,,,2012-01-31,,,,,J1772
83,ELEC,Nissan of Oakland,2735 Broadway,,Oakland,CA,94611,,510-588-2200,E,,Private,,,,,,,1.0,1.0,,,,GPS,37.820419,-122.261344,2015-01-06,60337,2015-02-10 18:28:23 UTC,P,,,2012-01-31,,,,,J1772 CHADEMO
84,ELEC,UMKC,5001 Oak St,,Kansas City,MO,64110,,888-758-4389,E,,Public,24 hours daily,,,,,,4.0,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,39.035998,-94.581594,2015-04-23,49032,2015-04-23 08:19:49 UTC,,,,,,,,,J1772
85,ELEC,Umstead Hotel and Spa,100 Woodland Pond Dr,N Harrison Ave and SAS Campus Drive,Cary,NC,27513,,866-877-4141,E,,Public,24 hours daily; guest use only,,,,,,2.0,,,,,GPS,35.82973,-78.7646,2015-01-06,47718,2015-01-06 17:43:29 UTC,T,,,2012-02-01,,,,,J1772
86,ELEC,Nissan of Bergenfield,318 S Washington Ave,,Bergenfield,NJ,7621,,201-385-3600,E,,Private,,,,,,,1.0,,,,,200-8,40.9172683,-73.9972053,2015-01-06,45663,2015-02-10 18:40:31 UTC,P,,,2012-01-31,,,,,J1772
87,ELEC,Peruzzi Nissan,165 Lincoln Hwy,,Fairless Hills,PA,19030,,215-943-6200,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,,,200-8,40.181931,-74.863403,2015-01-06,47757,2015-02-10 18:43:08 UTC,P,,,2012-01-31,,,,,J1772
88,E85,Meijer Gas #167,2752 Allison Ln,,Jeffersonville,IN,47130,,812-218-6629,E,,Public,24 hours daily,A Checks Cash D M V Voyager Wright_Exp,,,,,,,,,,200-8,38.322867,-85.70947699999999,2015-01-06,30757,2015-01-06 17:45:49 UTC,P,,,2006-09-15,,,,False,
89,ELEC,Westar Energy - Lawrence Energy Center,1250 N 1800 Rd,,Lawrence,KS,66049,,,E,,Private,Fleet use only,,,,,,1.0,,,,,200-8,39.0067949,-95.269499,2015-01-06,52912,2015-01-06 17:49:34 UTC,T,,,2013-01-01,,,,,J1772
90,CNG,Con Edison - Eastview Service Center,315 Old Saw Mill River Rd,,Valhalla,NY,10595,,914-789-6723,E,,Public - Card key at all times,"9am-1pm, 5pm-7pm daily; call 718-204-4048 to arrange for card key",,,Q,3000,,,,,,,200-8,41.08338699999999,-73.82378790000001,2015-04-03,51610,2015-04-03 17:00:52 UTC,T,,,2013-03-01,,MD,,,
91,ELEC,Serramonte Nissan,650 Serramonte Blvd,,Colma,CA,94014,,650-994-1661,E,,Private,,,,,,,1.0,,,,,200-8,37.675806,-122.461273,2015-01-06,47599,2015-02-10 18:52:21 UTC,P,,,2011-03-15,,,,,J1772
92,LPG,Triple B Home Center,1315 S Hamilton St,,Sullivan,IL,61951,,217-728-2349,E,,Public - Call ahead,"7:30am-5pm M-F, 8am-1pm Sat",A Cash D M V,,,,,,,,,,200-8,39.5857114,-88.6091442,2015-01-06,34933,2015-01-06 17:48:25 UTC,P,,,,,,False,,
93,CNG,Domino Express #9,1303 W 3rd St,,Elk City,OK,73644,,580-225-0152,E,,Public,24 hours daily,Cash Checks A D M V FuelMan Voyager Wright_Exp,,Q,3600,,,,,,,200-8,35.4117249,-99.419721,2015-01-06,62741,2015-04-06 16:49:58 UTC,P,,,2014-10-15,,HD,,,
94,ELEC,The Mill Casino,3201 Tremont Ave,,North Bend,OR,97459,,800-953-4800,E,,Public,24 hours daily,,,,,,1.0,,,,,200-8,43.3946676,-124.2195544,2015-03-04,53982,2015-03-04 14:13:09 UTC,P,,,2013-11-01,,,,,J1772
95,LPG,U-Haul,1011 Highway 14,South of I-10,Lake Charles,LA,70601,,337-436-5014,E,,Public,"7am-7pm M-Th and Sat, 7am-8pm F, 9am-5pm Sun",A Cash D M V,,,,,,,,,,200-8,30.2250294,-93.1800662,2015-03-04,19976,2015-03-04 14:11:58 UTC,P,,,,,,False,,
96,ELEC,Coggin Nissan at the Avenues,10859 Philips Hwy,,Jacksonville,FL,32256,,904-880-3000,E,,Private,,,,,,,1.0,,,,,200-8,30.1725503,-81.5452976,2015-01-06,46580,2015-02-10 18:30:51 UTC,P,,,2012-01-31,,,,,J1772
97,LPG,Heritage Propane,4504 E Lamar Alexander Pkwy,,Walland,TN,37886,,865-977-6777,E,,Public - Call ahead,8am-12pm and 1pm-5pm M-F,Checks Cash D V,,,,,,,,,,200-8,35.7477416,-83.8371242,2015-01-06,35890,2015-01-06 17:43:55 UTC,P,,,,,,True,,
98,CNG,AT&T,100 W Alondra Blvd,,Gardena,CA,90248,,,E,,Private,,,,Q,3600,,,,,,,200-8,33.8847443,-118.2765203,2015-01-06,40875,2015-04-15 19:16:59 UTC,P,,,2011-06-15,,MD,,,
99,ELEC,NATIONAL GRID,222 Richmond St,,Providence,RI,2903,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.819064,-71.408276,2015-04-23,52821,2015-04-23 08:28:00 UTC,,,,,,,,,J1772
