,OBJECTID,RWCOMPKEY,RWCOMPKEYPARENT,LOW_ADDRESS,FROM_ADDRESS,TO_ADDRESS,LFROM,LTO,RFROM,RTO,SIFID,SIFCODE,ROADNAME,AVDIR,AVPRETYPE,AVSTNAME,AVSTTYPE,AVSUFDIR,DIR,STRNAME,TYPE,SIFIDLOW,LOCROSSSIF,LOCROSSPR,LOCROSSNA,LOCROSSSU,SIFIDHI,HICROSSSIF,HICROSSPR,HICROSSNA,HICROSSSU,ONE_WAY,FTIMP,TFIMP,SPEED,MUNI_NAME,COUNDIST,MAIN_DIST,MAPNO,OWNER_NAME,OWNER_ABRV,MAIN_RESP,MAIN_ABRV,CORE_CLASS,CLASS_ABRV,STCL_CLASS,ZIP_LEFT,ZIP_RIGHT,COMPKEY,COMPTYPE,UNITID,UNITID2,ENTERED_BY,ENTERED_ON,UPDATED_BY,UPDATED_ON,ROUTE_LBL,LENGTH,ALIAS1_DIR,ALIAS1_STRNAME,ALIAS1_TYPE,ALIAS1_SIFID,ALIAS2_DIR,ALIAS2_STRNAME,ALIAS2_TYPE,ALIAS2_SIFID,ALIAS3_DIR,ALIAS3_STRNAME,ALIAS3_TYPE,ALIAS3_SIFID,ALIAS4_DIR,ALIAS4_STRNAME,ALIAS4_TYPE,ALIAS4_SIFID,GLOBALID,SHAPELEN
40,58,35045,0,1200,1200,1299,1201,1299,1200,1298,14287,F030,DOCK VIEW DR, , ,DOCK VIEW,DR, , ,DOCK VIEW,DR,14289,F031, ,MARINAS EDGE,WAY,14285,F029, ,RIVER SHORE,DR, ,0.3433589,0.3433589,25,LOUISVILLE,4,EAST,MAK19H,PRIVATE,PRIV,NON-METRO,NMET,LOCAL,LOCAL,7,40206,40206,270663124,68,F030,1,EBULLITT,2012/07/24 00:00:00+00,BALLEN,2017/09/15 00:00:00+00, ,453.23374925, , , ,0, , , ,0, , , ,0, , , ,0,{45342525-5825-4385-9456-349901DBBAD3},450.737523129156
41,59,35046,0,1300,1300,1399,1301,1399,1300,1398,14287,F030,DOCK VIEW DR, , ,DOCK VIEW,DR, , ,DOCK VIEW,DR,14285,F029, ,RIVER SHORE,DR,7259,8199, ,RIVER,RD, ,0.18672739,0.18672739,25,LOUISVILLE,4,EAST,MAK19H,PRIVATE,PRIV,NON-METRO,NMET,LOCAL,LOCAL,7,40206,40206,270663125,68,F030,2,EBULLITT,2012/07/24 00:00:00+00,RREYNOLDS,2020/02/14 00:00:00+00, ,246.48015604, , , ,0, , , ,0, , , ,0, , , ,0,{F9895C17-AB4A-48AF-9B97-4B28EE325941},244.88631904807
42,60,35047,14656,1550,1550,1599,1551,1599,1550,1598,7259,8199,RIVER RD, , ,RIVER,RD, , ,RIVER,RD,2312,2323, ,FRANKFORT,AVE,14289,F031, ,MARINAS EDGE,WAY, ,0.24652168,0.24652168,35,LOUISVILLE,4,EAST,MAK19H,METRO,METR,METROCTR,MCTR,MINOR ARTERIAL,MINART,4,40206,40206,270663126,68,8199,52,ADMIN,1801/01/01 00:00:00+00,RREYNOLDS,2020/02/14 00:00:00+00, ,759.28677927, , , ,0, , , ,0, , , ,0, , , ,0,{1A4113C4-BF42-4343-BEE0-E13B6B1678B2},759.286779274636
43,61,22312,0,0,0,0,0,0,0,0,8762,9995,I 264 RAMP, ,I,264 RAMP, , , ,I 264 RAMP, ,12326,9952, ,I 264 WEST, ,490,0478, ,BELLS,LN,FT,0.45876815,-1.0,55,LOUISVILLE,1,WEST,MAL17G,FEDERAL,FEDL,STATE,STAT,INTERSTATE RAMP,INRAMP,2,40211,40211,270347763,68,9995,113,ADMIN,2007/02/28 00:00:00+00,RREYNOLDS,2022/09/26 00:00:00+00,I-264,1009.29, , , ,0, , , ,0, , , ,0, , , ,0,{175A6E84-901E-4409-AF77-18C689597778},1009.28992993913
44,62,22235,0,4024,4024,4199,4024,4198,4025,4199,490,0478,BELLS LN, , ,BELLS,LN, , ,BELLS,LN,2282,2285,S,41ST,ST,10304,D272, ,OXY,RD, ,1.09486739,1.09486739,25,LOUISVILLE,1,WEST,MAL17G,STATE,STAT,STATE,STAT,LOCAL,LOCAL,7,40211,40211,270347743,68,0478,4,ADMIN,2006/10/31 00:00:00+00,EBULLITT,2012/01/09 00:00:00+00,KY-2056,1445.224959, ,KY-2056, ,13879, , , ,0, , , ,0, , , ,0,{E4F4A378-8296-414D-BF9E-8184CB16A2FA},1445.22495899625
45,63,22232,0,4200,4200,4699,4200,4698,4201,4699,490,0478,BELLS LN, , ,BELLS,LN, , ,BELLS,LN,10304,D272, ,OXY,RD,8594,9811, ,DEAD END, , ,3.40461528,3.40461528,25,LOUISVILLE,1,WEST,MAL17G,STATE,STAT,STATE,STAT,LOCAL,LOCAL,7,40211,40211,270347741,68,0478,3,ADMIN,2006/10/31 00:00:00+00,EBULLITT,2012/01/09 00:00:00+00,KY-2056,4494.09216458, ,KY-2056, ,13879, , , ,0, , , ,0, , , ,0,{7CE88C31-018F-467D-87F2-8CE3731E69F8},4494.09216457721
46,64,9426,0,2900,2900,3351,2901,3351,2900,3350,8755,9987,HARRODS OLD TRCE, , ,HARRODS OLD,TRCE, , ,HARRODS OLD,TRCE,8594,9811, ,DEAD END, ,8594,9811, ,DEAD END, , ,2.19467437,2.19467437,25,LOUISVILLE,11,EAST,MAM24D,PRIVATE,PRIV,NON-METRO,NMET,LOCAL,LOCAL,7,40299,40299,270334837,68,9987,1,ADMIN,2005/09/06 00:00:00+00,EBULLITT,2011/04/27 00:00:00+00, ,2896.97016651, , , ,0, , , ,0, , , ,0, , , ,0,{B762E9E7-DCA9-4287-990F-1949D564015F},2896.97016651355
47,68,18083,0,1600,1600,1699,1601,1699,1600,1698,4227,4552,NEWBURG RD, , ,NEWBURG,RD, , ,NEWBURG,RD,5356,5912, ,SHADY,LN,1546,1552, ,DEERWOOD,AVE, ,0.12899999,0.12899999,35,LOUISVILLE,8,EAST,MAL19H,STATE,STAT,STATE,STAT,MINOR ARTERIAL,MINART,4,40205,40205,270345222,68,4552,13,ADMIN,1801/01/01 00:00:00+00,EBULLITT,2008/09/25 00:00:00+00,KY-1703,397.64, ,KY-1703, ,13843, , , ,0, , , ,0, , , ,0,{DE71DCA4-E2E7-4D10-BC7B-70772B8A0BA9},397.636793880174
48,71,32826,0,10000,10000,10099,10001,10099,10000,10098,1282,E393,VALLEY FARMS BLVD, , ,VALLEY FARMS,BLVD, , ,VALLEY FARMS,BLVD,1738,E239, ,RENAISSANCE VALLEY,WAY,13291,E240, ,VALKYRIE,WAY, ,0.34276088,0.34276088,25,LOUISVILLE,25,WEST,MAO16C,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40272,40272,270395213,68,E393,3,ADMIN,2005/03/08 00:00:00+00,EBULLITT,2011/06/08 00:00:00+00, ,452.44435884, , , ,0, , , ,0, , , ,0, , , ,0,{14AF6B8A-FB1D-460C-8E1D-2E24549699F3},439.649546649258
49,72,3990,0,1200,1200,1218,1201,1217,1200,1218,4387,4748,OLD CANNONS LN, , ,OLD CANNONS,LN, , ,OLD CANNONS,LN,5662,6271, ,SENECA PARK,RD,3116,3241, ,PARK HILLS,DR, ,0.64499998,0.64499998,25,LOUISVILLE,9,EAST,MAL21E,METRO,METR,METRO,METR,LOCAL,LOCAL,7,40207,40207,270327793,68,4748,4,ADMIN,1801/01/01 00:00:00+00,ADMIN,2007/08/21 00:00:00+00, ,851.98, , , ,0, , , ,0, , , ,0, , , ,0,{69F79317-D586-4CCC-8BAE-6200820FA0ED},851.979706139943
