,Clean Alternative Fuel Vehicle Type,VIN (1-10),DOL Vehicle ID,Model Year,Make,Model,Vehicle Primary Use,Electric Range,Odometer Reading,Odometer Code,New or Used Vehicle,Sale Price,Sale Date,Base MSRP,Transaction Type,DOL Transaction Date,Transaction Year,County,City,State of Residence,Postal Code,2015 HB 2778 Exemption Eligibility,2019 HB 2042 Clean Alternative Fuel Vehicle (CAFV) Eligibility,Meets 2019 HB 2042 Electric Range Requirement,Meets 2019 HB 2042 Sale Date Requirement,Meets 2019 HB 2042 Sale Price/Value Requirement,2019 HB 2042: Battery Range Requirement,2019 HB 2042: Purchase Date Requirement,2019 HB 2042: Sale Price/Value Requirement,Electric Vehicle Fee Paid,Transportation Electrification Fee Paid,Hybrid Vehicle Electrification Fee Paid,2020 Census Tract,Legislative District,Electric Utility
51,Battery Electric Vehicle (BEV),1N4BZ0CP0H,189371381,2017,NISSAN,Leaf,Passenger,107,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,June 04 2018,2018,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,No,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
52,Battery Electric Vehicle (BEV),1N4AZ1CPXK,477919662,2019,NISSAN,Leaf,Passenger,150,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,July 07 2021,2021,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
53,Battery Electric Vehicle (BEV),1N4AZ1CPXK,477919662,2019,NISSAN,Leaf,Passenger,150,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,September 01 2020,2020,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
54,Battery Electric Vehicle (BEV),1N4BZ0CP0H,189371381,2017,NISSAN,Leaf,Passenger,107,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,July 20 2017,2017,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
55,Battery Electric Vehicle (BEV),1N4BZ0CP0H,189371381,2017,NISSAN,Leaf,Passenger,107,12,Actual Mileage,New,27200,June 23 2017,0,Original Title,July 20 2017,2017,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,True,Battery range requirement is met,"Vehicle purchase was before August 01, 2019",Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
56,Battery Electric Vehicle (BEV),1N4AZ1CPXK,477919662,2019,NISSAN,Leaf,Passenger,150,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,August 03 2023,2023,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
57,Battery Electric Vehicle (BEV),1N4AZ1CPXK,477919662,2019,NISSAN,Leaf,Passenger,150,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,July 05 2022,2022,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
58,Battery Electric Vehicle (BEV),7SAYGDEEXN,217942665,2022,TESLA,Model Y,Passenger,0,15,Actual Mileage,New,56440,September 17 2022,0,Original Title,October 19 2022,2022,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,False,Battery range for this vehicle is unknown,Purchase date requirement is met,The sale price is too high,Not Applicable,Not Applicable,Not Applicable,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
59,Battery Electric Vehicle (BEV),7SAYGDEEXN,217942665,2022,TESLA,Model Y,Passenger,0,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,October 19 2022,2022,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range for this vehicle is unknown,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
60,Battery Electric Vehicle (BEV),7SAYGDEEXN,217942665,2022,TESLA,Model Y,Passenger,0,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,August 17 2023,2023,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range for this vehicle is unknown,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
61,Battery Electric Vehicle (BEV),5YJYGDEE9M,148917023,2021,TESLA,Model Y,Passenger,0,15,Actual Mileage,New,53290,March 13 2021,0,Original Title,April 16 2021,2021,King,RENTON,WA,98056,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,False,Battery range for this vehicle is unknown,Purchase date requirement is met,The sale price is too high,Not Applicable,Not Applicable,Not Applicable,53033025601,11,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
62,Battery Electric Vehicle (BEV),5YJYGDEE9M,148917023,2021,TESLA,Model Y,Passenger,0,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,April 16 2021,2021,King,RENTON,WA,98056,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range for this vehicle is unknown,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53033025601,11,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
63,Battery Electric Vehicle (BEV),1N4BZ0CP2G,146519950,2016,NISSAN,Leaf,Passenger,84,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,March 22 2021,2021,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
64,Battery Electric Vehicle (BEV),1N4BZ0CP2G,146519950,2016,NISSAN,Leaf,Passenger,84,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,February 21 2023,2023,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
65,Battery Electric Vehicle (BEV),1N4BZ0CP3H,208910733,2017,NISSAN,Leaf,Passenger,107,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,June 20 2023,2023,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
66,Battery Electric Vehicle (BEV),1N4BZ0CP2G,146519950,2016,NISSAN,Leaf,Passenger,84,16811,Actual Mileage,Used,14950,March 03 2019,0,Transfer Title,March 29 2019,2019,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,True,Battery range requirement is met,"Vehicle purchase was before August 01, 2019",Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
67,Battery Electric Vehicle (BEV),1N4BZ0CP2G,146519950,2016,NISSAN,Leaf,Passenger,84,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,February 07 2020,2020,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
68,Battery Electric Vehicle (BEV),WVGGNPE20N,233202700,2022,VOLKSWAGEN,ID.4,Passenger,0,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,March 28 2023,2023,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range for this vehicle is unknown,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
69,Battery Electric Vehicle (BEV),1N4BZ0CP3H,208910733,2017,NISSAN,Leaf,Passenger,107,0,Odometer reading is not collected at time of renewal,Used,0,,0,Original Registration,July 01 2022,2022,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
70,Battery Electric Vehicle (BEV),1N4BZ0CP2G,146519950,2016,NISSAN,Leaf,Passenger,84,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration at time of Transfer,March 29 2019,2019,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,No,No,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
71,Battery Electric Vehicle (BEV),WVGGNPE20N,233202700,2022,VOLKSWAGEN,ID.4,Passenger,0,11,Actual Mileage,New,50705,March 04 2023,0,Original Title,March 28 2023,2023,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,False,Battery range for this vehicle is unknown,Purchase date requirement is met,The sale price is too high,Not Applicable,Not Applicable,Not Applicable,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
72,Battery Electric Vehicle (BEV),1N4BZ0CP3H,208910733,2017,NISSAN,Leaf,Passenger,107,46225,Actual Mileage,Used,16990,June 04 2022,0,Original Title,July 01 2022,2022,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,Clean Alternative Fuel Vehicle,True,True,True,Battery range requirement is met,Purchase date requirement is met,Sale price/value requirement is met,Not Applicable,Not Applicable,Not Applicable,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
73,Battery Electric Vehicle (BEV),1N4BZ0CP2G,146519950,2016,NISSAN,Leaf,Passenger,84,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,February 07 2022,2022,King,SEATTLE,WA,98112,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033006400,43,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
74,Battery Electric Vehicle (BEV),7SAYGAEE8P,255692405,2023,TESLA,Model Y,Passenger,0,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,September 27 2023,2023,King,BELLEVUE,WA,98008,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range for this vehicle is unknown,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53033023300,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
75,Battery Electric Vehicle (BEV),7SAYGAEE8P,255692405,2023,TESLA,Model Y,Passenger,0,15,Actual Mileage,New,52540,September 08 2023,0,Original Title,September 27 2023,2023,King,BELLEVUE,WA,98008,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,False,Battery range for this vehicle is unknown,Purchase date requirement is met,The sale price is too high,Not Applicable,Not Applicable,Not Applicable,53033023300,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
76,Battery Electric Vehicle (BEV),5YJSA1H18E,101090699,2014,TESLA,Model S,Passenger,208,0,Odometer reading is not collected at time of renewal,Used,0,,69900,Registration Renewal,March 08 2018,2018,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,No,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
77,Battery Electric Vehicle (BEV),5YJ3E1EA6J,204854219,2018,TESLA,Model 3,Passenger,215,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,October 23 2023,2023,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
78,Battery Electric Vehicle (BEV),5YJ3E1EA6J,204854219,2018,TESLA,Model 3,Passenger,215,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,October 31 2022,2022,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
79,Battery Electric Vehicle (BEV),5YJ3E1EA6J,204854219,2018,TESLA,Model 3,Passenger,215,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,January 09 2019,2019,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
80,Battery Electric Vehicle (BEV),5YJSA1H18E,101090699,2014,TESLA,Model S,Passenger,208,0,Odometer reading is not collected at time of renewal,Used,0,,69900,Registration Renewal,March 04 2019,2019,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,No,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
81,Battery Electric Vehicle (BEV),5YJSA1H18E,101090699,2014,TESLA,Model S,Passenger,208,0,Odometer reading is not collected at time of renewal,Used,0,,69900,Registration Renewal,February 16 2021,2021,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
82,Battery Electric Vehicle (BEV),5YJSA1H18E,101090699,2014,TESLA,Model S,Passenger,208,50,Actual Mileage,New,0,March 15 2014,69900,Original Registration,March 26 2014,2014,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,,,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
83,Battery Electric Vehicle (BEV),5YJ3E1EA6J,204854219,2018,TESLA,Model 3,Passenger,215,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,November 16 2020,2020,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
84,Battery Electric Vehicle (BEV),5YJSA1H18E,101090699,2014,TESLA,Model S,Passenger,208,50,Actual Mileage,New,0,March 15 2014,69900,Original Title,March 26 2014,2014,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,"Vehicle purchase was before August 01, 2019",The sale price is not available,Not Applicable,,,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
85,Battery Electric Vehicle (BEV),5YJSA1H18E,101090699,2014,TESLA,Model S,Passenger,208,0,Odometer reading is not collected at time of renewal,Used,0,,69900,Registration Renewal,February 28 2017,2017,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,No,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
86,Battery Electric Vehicle (BEV),5YJSA1H18E,101090699,2014,TESLA,Model S,Passenger,208,0,No Odometer Code on File,Used,0,,69900,Registration Renewal,February 09 2015,2015,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,,,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
87,Battery Electric Vehicle (BEV),5YJ3E1EA6J,204854219,2018,TESLA,Model 3,Passenger,215,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,December 27 2019,2019,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
88,Battery Electric Vehicle (BEV),5YJSA1H18E,101090699,2014,TESLA,Model S,Passenger,208,0,Odometer reading is not collected at time of renewal,Used,0,,69900,Registration Renewal,February 27 2020,2020,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
89,Battery Electric Vehicle (BEV),5YJSA1H18E,101090699,2014,TESLA,Model S,Passenger,208,0,Odometer reading is not collected at time of renewal,Used,0,,69900,Registration Renewal,February 15 2022,2022,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
90,Battery Electric Vehicle (BEV),5YJSA1H18E,101090699,2014,TESLA,Model S,Passenger,208,0,No Odometer Code on File,Used,0,,69900,Registration Renewal,February 29 2016,2016,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,,,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
91,Battery Electric Vehicle (BEV),5YJ3E1EA6J,204854219,2018,TESLA,Model 3,Passenger,215,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,September 17 2021,2021,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
92,Battery Electric Vehicle (BEV),5YJ3E1EA6J,204854219,2018,TESLA,Model 3,Passenger,215,50,Actual Mileage,New,50200,December 05 2018,0,Original Title,January 09 2019,2019,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,"Vehicle purchase was before August 01, 2019",The sale price is too high,Not Applicable,Not Applicable,Not Applicable,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
93,Battery Electric Vehicle (BEV),5YJSA1H18E,101090699,2014,TESLA,Model S,Passenger,208,0,Odometer reading is not collected at time of renewal,Used,0,,69900,Registration Renewal,February 14 2023,2023,King,KIRKLAND,WA,98033,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033022402,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
94,Battery Electric Vehicle (BEV),7SAYGDEE8P,244099635,2023,TESLA,Model Y,Passenger,0,15,Actual Mileage,New,53130,June 26 2023,0,Original Title,August 01 2023,2023,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,True,False,Battery range for this vehicle is unknown,Purchase date requirement is met,The sale price is too high,Not Applicable,Not Applicable,Not Applicable,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
95,Battery Electric Vehicle (BEV),7SAYGDEE8P,244099635,2023,TESLA,Model Y,Passenger,0,0,Odometer reading is not collected at time of renewal,New,0,,0,Original Registration,August 01 2023,2023,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range for this vehicle is unknown,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,No,No,No,53033024001,48,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
96,Battery Electric Vehicle (BEV),5YJYGDEE5M,166354359,2021,TESLA,Model Y,Passenger,0,1525,Actual Mileage,Used,0,August 23 2021,0,Transfer Title,August 31 2021,2021,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,False,False,False,Battery range for this vehicle is unknown,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Not Applicable,Not Applicable,Not Applicable,53033023901,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
97,Battery Electric Vehicle (BEV),5YJ3E1EA2J,326541960,2018,TESLA,Model 3,Passenger,215,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,May 02 2019,2019,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,No,No,53033023901,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
98,Battery Electric Vehicle (BEV),5YJ3E1EA2J,326541960,2018,TESLA,Model 3,Passenger,215,50,Actual Mileage,New,56000,May 18 2018,0,Original Title,May 30 2018,2018,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,"Vehicle purchase was before August 01, 2019",The sale price is too high,Not Applicable,Not Applicable,Not Applicable,53033023901,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
99,Battery Electric Vehicle (BEV),5YJ3E1EA2J,326541960,2018,TESLA,Model 3,Passenger,215,0,Odometer reading is not collected at time of renewal,Used,0,,0,Registration Renewal,April 23 2020,2020,King,BELLEVUE,WA,98004,HB 2778 Eligiblity Requirements not met,HB 2042 Eligibility Requirements not met,True,False,False,Battery range requirement is met,This transaction type is not eligible for the tax exemption,This transaction type is not eligible for the tax exemption,Yes,Yes,No,53033023901,41,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
