,casenumber,casetype,caseanimaltype,casecity,casestate,casezipcode,ownerid,animalid,result1,result2,result3,result4,result5,result6,clerk,officer,calldate,newdate,dispatched,working,completed,animaltype,sex,bites,color,breed,ObjectId
67,A21-091221-4,INVESTIGAT ABAN,DOG,LOUISVILLE,KY,40272,P236006,A676656,1 TTC,1 IMPND,1 COMP,NO RESULT,NO RESULT,NO RESULT,JCOGBURN,OFFICER TIMMONS,2021/05/10 21:05:00+00,2021/05/10 22:14:00+00,2021/05/10 19:31:00,2021/05/10 19:38:00,2021/05/10 20:08:00,DOG,S,N,BLACK / WHITE,CHOW CHOW / LABRADOR RETR,68
68,A21-091221-3,INVESTIGAT ABAN,DOG,LOUISVILLE,KY,40272,P236006,A676656,2 MC,1 IMPND,1 FU,NO RESULT,NO RESULT,NO RESULT,HEATHER,OFFICER HARRIS,2021/05/10 21:05:00+00,2021/05/10 23:04:00+00,2021/05/10 19:04:00,2021/05/10 19:40:00,2021/05/10 20:10:00,DOG,S,N,BLACK / WHITE,CHOW CHOW / LABRADOR RETR,69
69,A20-078459-1,STRAY CONF,DOG,LOUISVILLE,KY,40218,,A676664,1 TTC,1 IMPND,1 COMP,NO RESULT,NO RESULT,NO RESULT,MWERMUTH,OFFICER WERMUTH,2020/01/30 04:12:00+00,2020/01/30 04:12:00+00,2020/01/29 23:12:00,2020/01/29 23:12:00,2020/01/29 23:37:00,DOG,S,N,BLACK / WHITE,MIN PINSCHER / MIX,70
70,A20-078364-5,VET NOTICE FOLLOW UP,DOG,LOUISVILLE,KY,40216,P386622,A676713,1 TTO,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,ADAM,OFFICER KERR,2020/02/07 05:00:00+00,2020/02/12 13:16:00+00,2020/02/27 19:28:00,2020/02/27 20:46:00,2020/02/27 20:55:00,DOG,N,N,BROWN / WHITE,PIT BULL,71
71,A20-081795-1,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40216,P386622,A676713,1 PA,1 PHONE,2 IMPND,1 COMP,NO RESULT,NO RESULT,HEATHER,OFFICER MILLER,2020/05/25 13:56:00+00,2020/05/25 13:56:00+00,2020/05/25 09:57:00,2020/05/25 10:30:00,2020/05/25 12:20:00,DOG,N,N,BROWN / WHITE,PIT BULL,72
72,A20-081972-2,TRANSPORT ANIMAL,DOG,LOUISVILLE,KY,40216,P381787,A676713,1 UTMC,1 NOTIC,1 FU,NO RESULT,NO RESULT,NO RESULT,ESCOBBA,OFFICER WERMUTH,2020/05/31 18:56:00+00,2020/06/01 18:48:00+00,2020/06/01 14:48:00,2020/06/01 16:25:00,2020/06/01 17:01:00,DOG,N,N,BROWN / WHITE,PIT BULL,73
73,A20-081972-1,XTRA SERVE,DOG,LOUISVILLE,KY,40216,P381787,A676713,1 TTO,1 EDUC,1 COMP,NO RESULT,NO RESULT,NO RESULT,AWOLFE,OFFICER STEWART,2020/05/31 18:56:00+00,2020/05/31 18:56:00+00,2020/05/31 15:42:00,2020/05/31 16:36:00,2020/05/31 16:50:00,DOG,N,N,BROWN / WHITE,PIT BULL,74
74,A20-081167-1,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40216,P386622,A676713,2 TTC,1 TTR,1 TTO,1 COMP,NO RESULT,NO RESULT,MFISHER,OFFICER COGBURN,2020/05/01 11:38:00+00,2020/05/01 11:38:00+00,2020/05/01 07:39:00,2020/05/01 07:58:00,2020/05/01 09:42:00,DOG,N,N,BROWN / WHITE,PIT BULL,75
75,A20-082342-1,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40216,P381787,A676713,1 NVS,1 TTR,1 COMP,NO RESULT,NO RESULT,NO RESULT,MFISHER,OFFICER COGBURN,2020/06/12 14:34:00+00,2020/06/12 14:34:00+00,2020/06/12 10:58:00,2020/06/12 11:11:00,2020/06/12 11:15:00,DOG,N,N,BROWN / WHITE,PIT BULL,76
76,A20-078364-4,VET NOTICE FOLLOW UP,DOG,LOUISVILLE,KY,40216,P386622,A676713,2 UTMC,1 NOTIC,1 COMP,NO RESULT,NO RESULT,NO RESULT,DPETERSO,OFFICER FISHER,2020/02/07 05:00:00+00,2020/02/12 13:16:00+00,2020/02/17 14:38:00,2020/02/17 14:46:00,2020/02/17 15:02:15.647,DOG,N,N,BROWN / WHITE,PIT BULL,77
77,A20-081972-3,TRANSPORT ANIMAL,DOG,LOUISVILLE,KY,40216,P381787,A676713,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,MWERMUTH,OFFICER SABATINI,2020/05/31 18:56:00+00,2020/06/02 18:58:30.497+00,2020/06/02 14:58:35.333,,2020/06/02 16:18:39.060,DOG,N,N,BROWN / WHITE,PIT BULL,78
78,A20-078364-3,VET NOTICE FOLLOW UP,DOG,LOUISVILLE,KY,40216,P386622,A676713,2 TTO,1 EDUC,1 FU,NO RESULT,NO RESULT,NO RESULT,MATTHEW,OFFICER PETERSON,2020/02/07 05:00:00+00,2020/02/07 05:00:00+00,2020/02/09 15:20:00,2020/02/09 16:25:00,2020/02/09 16:47:00,DOG,N,N,BROWN / WHITE,PIT BULL,79
79,A20-078364-6,VET NOTICE FOLLOW UP,DOG,LOUISVILLE,KY,40216,P386622,A676713,1 TTO,1 RSVLD,NO RESULT,NO RESULT,NO RESULT,NO RESULT,MATTHEW,OFFICER THOMPSON,2020/02/07 05:00:00+00,2020/02/12 13:16:00+00,2020/03/02 09:30:00,2020/03/02 09:32:00,2020/03/02 09:45:00,DOG,N,N,BROWN / WHITE,PIT BULL,80
80,A20-078364-2,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40216,P386622,A676713,1 TTO,2 WARN,1 FU,NO RESULT,NO RESULT,NO RESULT,MFISHER,OFFICER THOMPSON,2020/01/27 19:04:00+00,2020/01/27 19:04:00+00,2020/01/29 15:05:00,2020/01/30 13:48:00,2020/01/30 14:19:00,DOG,N,N,BROWN / WHITE,PIT BULL,81
81,A20-080533-3,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40216,P386622,A676713,1 NOTIC,1 OPEN,NO RESULT,NO RESULT,NO RESULT,NO RESULT,HEATHER,OFFICER HARRIS,2020/04/06 16:10:00+00,2020/04/08 04:00:00+00,2020/04/08 08:22:00,2020/04/08 10:00:00,2020/04/08 10:22:00,DOG,N,N,BROWN / WHITE,PIT BULL,82
82,A20-078489-3,VET NOTICE FOLLOW UP,DOG,LOUISVILLE,KY,40216,P381511,A676739,1 FU,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,MFISHER,OFFICER FISHER,2020/01/31 01:16:00+00,2020/03/11 11:50:00+00,2020/03/16 07:09:00,2020/03/16 09:47:00,2020/03/16 09:59:48.097,DOG,N,N,TAN / WHITE,CHIHUAHUA SH,83
83,A20-078489-2,VET NOTICE FOLLOW UP,DOG,LOUISVILLE,KY,40216,P381511,A676739,1 UTMC,1 FU,NO RESULT,NO RESULT,NO RESULT,NO RESULT,YMILLER,OFFICER FISHER,2020/01/31 01:16:00+00,2020/02/15 04:11:00+00,2020/02/17 14:02:00,2020/02/17 14:10:00,2020/02/17 14:16:05.260,DOG,N,N,TAN / WHITE,CHIHUAHUA SH,84
84,A20-078489-1,INVESTIGAT ANI ATTACK,DOG,LOUISVILLE,KY,40216,P381511,A676739,1 TTC,2 TTR,1 FU,NO RESULT,NO RESULT,NO RESULT,SABATINI,OFFICER SABATINI,2020/01/31 01:16:00+00,2020/01/31 01:16:00+00,2020/01/30 20:16:00,2020/01/30 20:57:00,2020/01/30 21:50:00,DOG,N,N,TAN / WHITE,CHIHUAHUA SH,85
85,A20-078489-4,VET NOTICE FOLLOW UP,DOG,LOUISVILLE,KY,40216,P381511,A676739,1 TTR,1 RSVLD,NO RESULT,NO RESULT,NO RESULT,NO RESULT,MFISHER,OFFICER THOMPSON,2020/01/31 01:16:00+00,2020/03/16 23:56:00+00,2020/03/18 07:03:00,2020/03/18 09:45:00,2020/03/18 10:08:00,DOG,N,N,TAN / WHITE,CHIHUAHUA SH,86
86,A20-078492-2,XTRA SERVE,DOG,LOUISVILLE,KY,40219,P275314,A676740,1 UTMC,1 NOTIC,NO RESULT,NO RESULT,NO RESULT,NO RESULT,ESCOBBA,OFFICER BURTON,2020/01/31 09:04:00+00,2020/02/01 02:45:00+00,2020/01/31 21:50:00,2020/01/31 21:55:00,2020/01/31 22:04:00,DOG,M,N,BLACK / BROWN,ROTTWEILER,87
87,A20-078492-3,TRANSPORT ANIMAL,DOG,LOUISVILLE,KY,40215,P275314,A676740,1 TTO,1 WARN,1 RTO,1 COMP,NO RESULT,NO RESULT,ESCOBBA,OFFICER WERMUTH,2020/01/31 09:04:00+00,2020/02/12 17:36:00+00,2020/02/12 12:37:00,2020/02/12 17:14:00,2020/02/12 17:44:00,DOG,M,N,BLACK / BROWN,ROTTWEILER,88
88,A20-078492-1,ASSIST POLICE,DOG,LOUISVILLE,KY,40210,P275314,A676740,1 IMPND,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,MFISHER,OFFICER FISHER,2020/01/31 09:04:00+00,2020/01/31 09:04:00+00,2020/01/31 04:25:00,2020/01/31 04:34:00,2020/01/31 06:00:00,DOG,M,N,BLACK / BROWN,ROTTWEILER,89
89,A20-078555-1,TRANSPORT SNR,CAT,LOUISVILLE,KY,40220,,A676766,1 RSVLD,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,HEATHER,OFFICER RATLIFF,2020/02/02 11:44:00+00,2020/02/02 11:44:00+00,2020/02/02 06:54:05.560,2020/02/02 08:22:06.890,2020/02/02 08:28:48.540,CAT,S,N,BLK TABBY,DOMESTIC SH,90
90,A20-078398-9,XTRA SERVE,CAT,LOUISVILLE,KY,40299,P292600,A676793,1 MC,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,ESCOBBA,OFFICER HARRIS,2020/01/28 18:23:00+00,2020/02/05 13:03:00+00,2020/02/06 07:15:00,2020/02/06 12:37:00,2020/02/06 12:49:00,CAT,S,N,ORG TABBY,DOMESTIC SH,91
91,A20-078398-6,INVESTIGAT ABAN,CAT,LOUISVILLE,KY,40214,P292600,A676793,1 FU,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,MFISHER,OFFICER HARRIS,2020/01/28 18:23:00+00,2020/01/28 18:23:00+00,2020/02/01 07:08:00,2020/02/02 09:28:00,2020/02/02 09:55:00,CAT,S,N,ORG TABBY,DOMESTIC SH,92
92,A20-078523-1,INVESTIGAT BITE,DOG,LOUISVILLE,KY,40272,P386673,A676801,1 TTR,1 TTO,2 EDUC,1 WARN,1 VIOL,1 COMP,MBURTON,OFFICER WHITTAKER,2020/01/31 22:58:00+00,2020/01/31 22:58:00+00,2020/01/31 17:59:00,2020/01/31 18:14:00,2020/01/31 19:02:00,DOG,M,Y,WHITE / GRAY,GREAT PYRENEES,93
93,A21-097715-9,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40203,P034620,A676819,1 UTMC,1 FU,NO RESULT,NO RESULT,NO RESULT,NO RESULT,WBELCHER,OFFICER HARRIS,2021/12/16 21:10:00+00,2022/01/02 18:22:00+00,2022/01/02 14:51:00,2022/01/02 15:02:00,2022/01/02 15:17:00,DOG,M,N,TRICOLOR / BLACK,BEAGLE,94
94,A21-097715-8,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40210,P034620,A676819,1 UTMC,1 FU,NO RESULT,NO RESULT,NO RESULT,NO RESULT,MMCKECH,OFFICER HARRIS,2021/12/16 21:10:00+00,2022/01/01 21:00:00+00,2022/01/02 11:59:00,2022/01/02 12:42:00,2022/01/02 13:25:00,DOG,M,N,TRICOLOR / BLACK,BEAGLE,95
95,A21-097715-6,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40203,P265077,A676819,1 FU,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,JGOODMAN,OFFICER MCKECHNIE,2021/12/16 21:10:00+00,2021/12/31 00:12:00+00,2022/01/01 14:32:00,2022/01/01 14:53:00,2022/01/01 15:04:00,DOG,M,N,TRICOLOR / BLACK,BEAGLE,96
96,A21-097715-7,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40203,P265077,A676819,1 UTMC,1 PHONE,1 FU,NO RESULT,NO RESULT,NO RESULT,MMCKECH,OFFICER MCKECHNIE,2021/12/16 21:10:00+00,2022/01/01 20:04:00+00,2022/01/01 15:04:00,2022/01/01 15:11:00,2022/01/01 16:00:00,DOG,M,N,TRICOLOR / BLACK,BEAGLE,97
97,A21-097715-4,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40210,P265077,A676819,1 UTMC,2 FU,NO RESULT,NO RESULT,NO RESULT,NO RESULT,JBRIDGE,OFFICER GOODMAN,2021/12/16 21:10:00+00,2021/12/29 11:48:00+00,2021/12/29 17:25:00,2021/12/30 18:59:00,2021/12/30 19:12:00,DOG,M,N,TRICOLOR / BLACK,BEAGLE,98
98,A21-097715-3,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40210,P265077,A676819,1 TTR,1 PHONE,1 TTO,1 EDUC,1 FU,NO RESULT,BSANFORD,OFFICER GOODMAN,2021/12/16 21:10:00+00,2021/12/16 22:57:00+00,2021/12/20 18:43:00,2021/12/22 15:52:00,2021/12/22 16:31:00,DOG,M,N,TRICOLOR / BLACK,BEAGLE,99
99,A21-097715-10,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40203,P034620,A676819,1 UTMC,1 NOTIC,2 FU,NO RESULT,NO RESULT,NO RESULT,WBELCHER,OFFICER GOODMAN,2021/12/16 21:10:00+00,2022/01/02 20:16:00+00,2022/01/02 15:17:00,2022/01/03 15:18:00,2022/01/03 15:29:00,DOG,M,N,TRICOLOR / BLACK,BEAGLE,100
