,the_geom,bldgsqft,blklot,block_num,cie,from_st,landuse,landval,lot_num,mapblklot,med,mips,mixed_use,pdr,restype,resunits,retail,st_area_sh,st_length_,st_type,street,strucval,to_st,total_uses,usetype,visitor,yrbuilt
65,"MULTIPOLYGON (((-122.41255578355157 37.805848773093395, -122.41302615450464 37.80578937590969, -122.41349652470508 37.80572997684954, -122.41365036094112 37.806476728710976, -122.41317975114399 37.806534987650416, -122.41270914063155 37.806593245612476, -122.41224007150171 37.806651309968146, -122.4120874429779 37.80590791196977, -122.41255578355157 37.805848773093395)))",740,0031040,31,3661,2351,RESIDENT,21702,040,0031007,0,55158,RESIDENT,15744,CONDO,72,52252,113329.972969,1374.34384628,ST,POWELL,86260,,143693,Z,16878,1968
66,"MULTIPOLYGON (((-122.41129987100311 37.80676731776699, -122.41059353416624 37.80685634510659, -122.41044150507639 37.806105423066164, -122.41114584010835 37.80601704808249, -122.41129987100311 37.80676731776699)))",132536,0032001,32,0,245,RESIDENT,2012939,001,0032001,0,18108,RESIDENT,0,APTS,164,0,57120.4277812,966.353899746,ST,NORTH POINT,4076874,,18108,A15,0,1968
67,"MULTIPOLYGON (((-122.41129987100311 37.80676731776699, -122.41114584010835 37.80601704808249, -122.41185099654784 37.80592856452626, -122.41200495394388 37.80667844438222, -122.41129987100311 37.80676731776699)))",134236,0032002,32,0,265,RESIDENT,2012939,002,0032002,2160,9813,RESIDENT,2128,APTS,180,2280,57073.3976023,965.942744186,ST,NORTH POINT,4076874,,16381,A15,0,1968
68,"MULTIPOLYGON (((-122.40950906901598 37.80622574827876, -122.4102141495137 37.806136907209826, -122.4103651041482 37.80688253427225, -122.4096600167507 37.80697137623115, -122.40950906901598 37.80622574827876)))",131785,0033003,33,3232,165,RESIDENT,2012939,003,0033003,3232,5047,RESIDENT,0,APTS,170,2770,56714.7652433,962.461887644,ST,NORTH POINT,4076874,,14281,A15,0,1968
69,"MULTIPOLYGON (((-122.40950906901598 37.80622574827876, -122.4096600167507 37.80697137623115, -122.40886946158062 37.80707098160822, -122.40872896727663 37.80632403726218, -122.40950906901598 37.80622574827876)))",0,0033005,33,0,101,VACANT,0,005,0033005,0,0,VACANT,0,,0,0,63169.1944349,1009.41813307,ST,NORTH POINT,0,,0,X,0,1900
70,"MULTIPOLYGON (((-122.40886946158062 37.80707098160822, -122.4073840070401 37.80725812577953, -122.40724352730211 37.80651117878956, -122.40872896727663 37.80632403726218, -122.40886946158062 37.80707098160822)))",0,0034002,34,0,66,VACANT,0,002,0034002,0,0,VACANT,0,,0,0,119483.963525,1419.02155508,ST,BAY,0,,0,X,0,1900
71,"MULTIPOLYGON (((-122.40708823702397 37.8065306859162, -122.40720868006264 37.80717109885963, -122.40617831877832 37.80664531056433, -122.40708823702397 37.8065306859162)))",0,0035001,35,0,2,VACANT,0,001,0035001,0,0,,4695,,0,0,31375.8469712,855.859282168,ST,BAY,0,,4695,X,0,1900
72,"MULTIPOLYGON (((-122.40534894641004 37.80622163049147, -122.4050153948839 37.80604946973489, -122.40475973295433 37.805868183442776, -122.40526548996401 37.805804478734984, -122.40534894641004 37.80622163049147)))",0,0036001,36,0,1800,VACANT,0,001,0036001,0,0,,0,,0,22032,12241.9882072,515.758996882,ST,MONTGOMERY,0,,22032,VCI,0,0
73,"MULTIPOLYGON (((-122.40522818264857 37.80561800386599, -122.40526548996401 37.805804478734984, -122.40475973295433 37.805868183442776, -122.40453079552468 37.80570584554847, -122.40522818264857 37.80561800386599)))",0,0036002,36,0,0,CIE,0,002,0036002,0,0,,0,,0,0,12098.0483681,509.39889514,,UNKNOWN,0,,0,P,0,1900
74,"MULTIPOLYGON (((-122.40548869153085 37.8057763633801, -122.40560496941156 37.806353774863894, -122.40534894641004 37.80622163049147, -122.40526548996401 37.805804478734984, -122.40548869153085 37.8057763633801)))",0,0036003,36,0,0,CIE,0,003,0036003,0,0,,0,,0,0,11988.095035,520.241520294,,UNKNOWN,0,,0,P,0,1900
75,"MULTIPOLYGON (((-122.4061937714588 37.805687547255424, -122.40634394999311 37.80643327161037, -122.40587374890094 37.80649250225828, -122.40560496941156 37.806353774863894, -122.40548869153085 37.8057763633801, -122.4061937714588 37.805687547255424)))",130168,0037001,37,0,60,MIPS,0,001,0037001,0,12837,,0,,0,0,54582.4622583,924.322664318,ST,FRANCISCO,0,,12837,O,0,1976
76,"MULTIPOLYGON (((-122.40636120041465 37.805666455398836, -122.40639784745177 37.805848425566865, -122.40637135289869 37.8058517629458, -122.40636151387471 37.80586776795779, -122.40638613974421 37.80599004885987, -122.40637588429189 37.80599134114668, -122.40638516795478 37.80603744386307, -122.4064330283028 37.80603141435661, -122.40650975249065 37.806412385203366, -122.40634394999311 37.80643327161037, -122.4061937714588 37.805687547255424, -122.40636120041465 37.805666455398836)))",7800,0037003,37,0,50,MIXED,2292096,003,0037003,14153,74639,MIPS-MED,0,,0,11495,12586.013822,673.361222062,ST,FRANCISCO,982326,,100287,O,0,1976
77,"MULTIPOLYGON (((-122.40636120041465 37.805666455398836, -122.40689884967685 37.80559872601373, -122.40704903511276 37.80634444948327, -122.40650975249065 37.806412385203366, -122.4064330283028 37.80603141435661, -122.40638516795478 37.80603744386307, -122.40637588429189 37.80599134114668, -122.40638613974421 37.80599004885987, -122.40636151387471 37.80586776795779, -122.40637135289869 37.8058517629458, -122.40639784745177 37.805848425566865, -122.40636120041465 37.805666455398836)))",152000,0037004,37,0,80,PDR,21368262,004,0037004,0,0,PDR,0,,0,0,44128.6474611,890.908234031,ST,FRANCISCO,9157826,,0,G,0,1975
78,"MULTIPOLYGON (((-122.4081547810154 37.80544376053485, -122.40819219559006 37.80562952902112, -122.4081889572813 37.80562992748158, -122.40820152035465 37.80569230243505, -122.40822664654155 37.80581705143491, -122.40712921922417 37.80595205846991, -122.40705411963646 37.80557916535829, -122.4081547810154 37.80544376053485)))",85272,0038001A,38,0,1901,RESIDENT,3166692,001A,0038001A,0,4112,RESIDENT,0,,0,0,44179.9282014,918.570189334,ST,KEARNY,10750543,,4112,A15,0,1983
79,"MULTIPOLYGON (((-122.40851836306322 37.8056533215187, -122.40853046994027 37.805712962342696, -122.40860031295226 37.80570400235015, -122.40868840498086 37.80613797201882, -122.40720431935785 37.80632494340022, -122.40712921922417 37.80595205846991, -122.40822664654155 37.80581705143491, -122.40820152035465 37.80569230243505, -122.40851836306322 37.8056533215187)))",0,0038011,38,0,1991,VACANT,0,011,0038011,0,0,VACANT,0,,0,0,64091.248658,1233.58093372,ST,KEARNY,0,,0,X,0,1900
80,"MULTIPOLYGON (((-122.40851836306322 37.8056533215187, -122.40820152035465 37.80569230243505, -122.4081889572813 37.80562992748158, -122.40819219559006 37.80562952902112, -122.4081547810154 37.80544376053485, -122.40846800283231 37.805405225840566, -122.40851836306322 37.8056533215187)))",1563,0038012,38,0,186,RESIDENT,1111800,012,0038012,0,0,RESIDENT,0,CONDO,4,0,8405.74079288,368.151983143,ST,FRANCISCO,1111800,,0,Z,0,1988
81,"MULTIPOLYGON (((-122.40879682761836 37.80550051081697, -122.40880691762291 37.80555021957975, -122.40865030784708 37.80557031161584, -122.40864021683234 37.80552060375911, -122.4087216536833 37.805510155611806, -122.40879682761836 37.80550051081697)))",1660,0039007,39,0,2015,RESIDENT,643434,007,0039007,0,0,RESIDENT,0,FLATS,2,0,840.261814711,128.332040489,AVE,GRANT,487808,,0,F,0,1906
82,"MULTIPOLYGON (((-122.40876907847803 37.80536381196535, -122.40879682761836 37.80550051081697, -122.4087216536833 37.805510155611806, -122.40869390465463 37.80537345584191, -122.40876907847803 37.80536381196535)))",2450,0039008A,39,0,210,RESIDENT,1858595,008A,0039008A,0,0,RESIDENT,0,FLATS,2,0,1109.17280728,144.833795822,ST,FRANCISCO,1055287,,0,F,0,1986
83,"MULTIPOLYGON (((-122.408886537987 37.80534874144631, -122.40892437744223 37.80553514992436, -122.40880691762291 37.80555021957975, -122.40879682761836 37.80550051081697, -122.40876907847803 37.80536381196535, -122.408886537987 37.80534874144631)))",2900,0039009,39,0,214,RESIDENT,85055,009,0039009,0,0,RESIDENT,0,FLATS,2,2770,2363.3001079,206.250895397,ST,FRANCISCO,81808,,2770,F,0,1925
84,"MULTIPOLYGON (((-122.40897196195698 37.80533778248782, -122.40900980157475 37.80552418913716, -122.40896352842627 37.8055301264164, -122.40892437744223 37.80553514992436, -122.408886537987 37.80534874144631, -122.40897196195698 37.80533778248782)))",2826,0039010,39,0,222,RESIDENT,62092,010,0039010,0,0,RESIDENT,0,APTS,3,0,1718.73958246,187.499760747,ST,FRANCISCO,103304,,0,F,0,1940
85,"MULTIPOLYGON (((-122.40914765295985 37.805315240751455, -122.40918549303038 37.80550164824605, -122.40909522686383 37.805513230071355, -122.40905738587858 37.80532682256657, -122.40914765295985 37.805315240751455)))",2496,0039011,39,0,234,RESIDENT,124963,011,0039011,0,2742,RESIDENT,0,APTS,3,0,1816.17650789,190.334310725,ST,FRANCISCO,250071,,2742,F,0,1914
86,"MULTIPOLYGON (((-122.40928026276859 37.80548948966531, -122.40918549303038 37.80550164824605, -122.40914765295985 37.805315240751455, -122.40924242246636 37.8053030822007, -122.40928026276859 37.80548948966531)))",3076,0039012,39,0,242,RESIDENT,1221690,012,0039012,0,0,RESIDENT,0,APTS,11,0,1906.77304185,192.969816881,ST,FRANCISCO,1089276,,0,F,0,1906
87,"MULTIPOLYGON (((-122.40951909795335 37.80545884609918, -122.4094368631205 37.805469396939515, -122.40939902245849 37.80528299042526, -122.40948159781986 37.80527239444094, -122.40951909795335 37.80545884609918)))",2640,0039013,39,0,252,RESIDENT,77555,013,0039013,0,0,RESIDENT,0,FLATS,2,2770,1658.00150517,185.732882264,ST,FRANCISCO,85474,,2770,F,0,1927
88,"MULTIPOLYGON (((-122.4095599051302 37.80526234785048, -122.40959740431987 37.80544879950258, -122.40951909795335 37.80545884609918, -122.40948159781986 37.80527239444094, -122.4095599051302 37.80526234785048)))",3106,0039013A,39,0,258,RESIDENT,713353,013A,0039013A,0,0,RESIDENT,0,FLATS,2,0,1575.54583005,183.334622453,ST,FRANCISCO,713353,,0,F,0,1927
89,"MULTIPOLYGON (((-122.40963828371643 37.80525229104147, -122.40967578309785 37.80543874266898, -122.40959740431987 37.80544879950258, -122.4095599051302 37.80526234785048, -122.40963828371643 37.80525229104147)))",2456,0039014,39,0,14,RESIDENT,166483,014,0039014,0,0,RESIDENT,0,FLATS,3,0,1576.99500864,183.37675187,ST,MIDWAY,209130,,0,F,0,1907
90,"MULTIPOLYGON (((-122.40971651852873 37.80524225363111, -122.40975401807833 37.80542870433327, -122.40967578309785 37.80543874266898, -122.40963828371643 37.80525229104147, -122.40971651852873 37.80524225363111)))",1840,0039015,39,0,276,RESIDENT,735035,015,0039015,0,0,RESIDENT,0,SINGLE,1,0,1574.09653247,183.292215171,ST,FRANCISCO,461457,,0,D,0,1900
91,"MULTIPOLYGON (((-122.4098190269771 37.80522910143124, -122.40985652791285 37.80541555208288, -122.40980197911024 37.80542255105574, -122.40975401807833 37.80542870433327, -122.40971651852873 37.80524225363111, -122.4098190269771 37.80522910143124)))",3536,0039016,39,0,280,RESIDENT,182016,016,0039016,0,0,RESIDENT,0,APTS,3,0,2062.4943659,197.499955952,ST,FRANCISCO,318592,,0,F,0,1925
92,"MULTIPOLYGON (((-122.40992153650141 37.805215948223, -122.40994117340347 37.80531358097011, -122.4099590377111 37.80540239974333, -122.40985652791285 37.80541555208288, -122.4098190269771 37.80522910143124, -122.40992153650141 37.805215948223)))",2064,0039017,39,0,284,RESIDENT,257375,017,0039017,0,0,RESIDENT,0,SINGLE,1,0,2062.51084392,197.500696635,ST,FRANCISCO,300273,,0,D,0,1949
93,"MULTIPOLYGON (((-122.41004937870598 37.805299697352815, -122.41006724313972 37.805388516109865, -122.4099590377111 37.80540239974333, -122.40994117340347 37.80531358097011, -122.41004937870598 37.805299697352815)))",2200,0039018A,39,0,2112,RESIDENT,38958,018A,0039018A,0,0,RESIDENT,0,FLATS,2,0,1037.09877137,128.834425957,ST,STOCKTON,97035,,0,F,0,1941
94,"MULTIPOLYGON (((-122.41011724577703 37.805637118057014, -122.41018017976263 37.80595001196232, -122.40989080165794 37.80598647437578, -122.4098530006708 37.80579852989507, -122.40982800028918 37.80567422976496, -122.40985198088237 37.80567115311376, -122.41011724577703 37.805637118057014)))",24575,0039020,39,0,2130,RESIDENT,5450703,020,0039020,0,6046,RESIDENT,0,APTS,39,0,9756.13467924,399.806172903,ST,STOCKTON,4085470,,6046,A15,0,1965
95,"MULTIPOLYGON (((-122.4098530006708 37.80579852989507, -122.40989080165794 37.80598647437578, -122.40981245958979 37.805996345999745, -122.40977469283465 37.8058085766791, -122.4098530006708 37.80579852989507)))",1369,0039021,39,0,175,PDR,51142,021,0039021,0,0,PDR,0,,0,0,1587.42134071,184.371008938,ST,BAY,13378,,0,G,0,1949
96,"MULTIPOLYGON (((-122.40977469283465 37.8058085766791, -122.40981245958979 37.805996345999745, -122.40973411520685 37.8060062167076, -122.40969638500052 37.80581862431193, -122.40977469283465 37.8058085766791)))",1668,0039022,39,0,131,RETAIL/ENT,55005,022,0039022,0,0,RETAIL/ENT,0,,0,2968,1585.95625846,184.241836726,ST,BAY,15405,,2968,FS,0,1906
97,"MULTIPOLYGON (((-122.40973411520685 37.8060062167076, -122.40955053456464 37.806029348455404, -122.40951254506076 37.80584221171384, -122.40969638500052 37.80581862431193, -122.40973411520685 37.8060062167076)))",7464,0039023,39,0,125,RESIDENT,150846,023,0039023,0,2499,RESIDENT,0,APTS,12,0,3713.95115054,245.692898894,ST,BAY,497675,,2499,A5,0,1972
98,"MULTIPOLYGON (((-122.40897591268539 37.805591132551214, -122.40897846308619 37.8056036937925, -122.40929980348739 37.805585753318034, -122.40939386153411 37.80604908921366, -122.40868840498086 37.80613797201882, -122.40860031295226 37.80570400235015, -122.40867548709933 37.80569435763301, -122.40866269072019 37.80563131780147, -122.40897591268539 37.805591132551214)))",0,0039034,39,0,111,VACANT,0,034,0039034,0,1678,VACANT,0,,0,0,36558.1714132,771.915364952,ST,BAY,0,,1678,X,0,1900
99,"MULTIPOLYGON (((-122.40975401807833 37.80542870433327, -122.40980197911024 37.80542255105574, -122.4098186462918 37.805505416910655, -122.40945368047079 37.80555224328455, -122.4094368631205 37.805469396939515, -122.40951909795335 37.80545884609918, -122.40959740431987 37.80544879950258, -122.40967578309785 37.80543874266898, -122.40975401807833 37.80542870433327)))",1441,0039040,39,0,23,RESIDENT,503236,040,0039040,0,2499,RESIDENT,0,CONDO,5,0,3264.23701201,274.772918767,ST,MIDWAY,503236,,2499,Z,0,1979
