,TRAIL_NO,TRAIL_NAME,TRAIL_TYPE,TRAIL_CN,BMP,EMP,SEGMENT_LENGTH,ADMIN_ORG,MANAGING_ORG,SECURITY_ID,ATTRIBUTESUBSET,NATIONAL_TRAIL_DESIGNATION,TRAIL_CLASS,TERRA_BASE_SYMBOLOGY,ACCESSIBILITY_STATUS,TRAIL_SURFACE,SURFACE_FIRMNESS,TYPICAL_TRAIL_GRADE,TYPICAL_TREAD_WIDTH,MINIMUM_TRAIL_WIDTH,TYPICAL_TREAD_CROSS_SLOPE,SPECIAL_MGMT_AREA,MVUM_SYMBOL,ALLOWED_TERRA_USE,ALLOWED_SNOW_USE,HIKER_PEDESTRIAN_MANAGED,HIKER_PEDESTRIAN_ACCPT_DISC,HIKER_PEDESTRIAN_RESTRICTED,PACK_SADDLE_MANAGED,PACK_SADDLE_ACCPT_DISC,PACK_SADDLE_RESTRICTED,BICYCLE_MANAGED,BICYCLE_ACCPT_DISC,BICYCLE_RESTRICTED,MOTORCYCLE_MANAGED,MOTORCYCLE_ACCPT_DISC,MOTORCYCLE_RESTRICTED,ATV_MANAGED,ATV_ACCPT_DISC,ATV_RESTRICTED,FOURWD_MANAGED,FOURWD_ACCPT_DISC,FOURWD_RESTRICTED,SNOWMOBILE_MANAGED,SNOWMOBILE_ACCPT_DISC,SNOWMOBILE_RESTRICTED,SNOWSHOE_MANAGED,SNOWSHOE_ACCPT_DISC,SNOWSHOE_RESTRICTED,XCOUNTRY_SKI_MANAGED,XCOUNTRY_SKI_ACCPT_DISC,XCOUNTRY_SKI_RESTRICTED,MOTOR_WATERCRAFT_MANAGED,MOTOR_WATERCRAFT_ACCPT_DISC,MOTOR_WATERCRAFT_RESTRICTED,NONMOTOR_WATERCRAFT_MANAGED,NONMOTOR_WATERCRAFT_ACCPT_DISC,NONMOTOR_WATERCRAFT_RESTRICTED,GIS_MILES,SHAPE,TERRA_MOTORIZED,SNOW_MOTORIZED,WATER_MOTORIZED,OBJECTID,GLOBALID,E_BIKE_CLASS1_MANAGED,E_BIKE_CLASS1_ACCPT,E_BIKE_CLASS1_DISC,E_BIKE_CLASS1_RESTRICTED,E_BIKE_CLASS2_MANAGED,E_BIKE_CLASS2_ACCPT,E_BIKE_CLASS2_DISC,E_BIKE_CLASS2_RESTRICTED,E_BIKE_CLASS3_MANAGED,E_BIKE_CLASS3_ACCPT,E_BIKE_CLASS3_DISC,E_BIKE_CLASS3_RESTRICTED,SHAPELEN
45,5W04,TENAJA FALLS,TERRA,230010443,0.0,5.41,5.41,50252,50252,502,TrailNFS_MGMT,1,3.0,TC3,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,5.871,,N,,,44526,{11A40B24-A04A-4A36-870B-FF6D2D441584},,,,,,,,,,,,,0.0887679480735318
46,5W07,TENAJA,TERRA,210010443,1.04,8.6,7.56,50252,50252,502,TrailNFS_MGMT,1,3.0,TC3,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,7.211,,N,,,44527,{6171350A-8728-48B3-A754-1C710595F20B},,,,,,,,,,,,,0.110506976268731
47,5W11,FISHERMAN'S CAMP,TERRA,510010443,0.0,1.01,1.01,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,,NAT - NATIVE MATERIAL,,10-12%,,,,,,321,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,1.009,,N,,,44528,{0A5D5D18-9770-43CD-9451-A72C4FD6447E},,,,,,,,,,,,,0.0163421502934277
48,5W09,BEAR CANYON,TERRA,208010443,0.0,0.72,0.72,50252,50252,502,TrailNFS_MGMT,1,3.0,TC3,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,0-5%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.693,,N,,,44529,{2FD8E497-4319-4FE3-9A97-5391051D2725},,,,,,,,,,,,,0.0107763751486644
49,5W15,BELL CANYON SPUR,TERRA,1374500010602,0.0,0.394,0.394,50252,50252,502,TrailNFS_MGMT,1,1.0,TC1-2,,NAT - NATIVE MATERIAL,,0-5%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.389,,N,,,44530,{1185AEAC-5BEF-4F3C-A653-457E074D0391},,,,,,,,,,,,,0.0064766867728044
50,5W13,CLARK,TERRA,212010443,0.0,5.02,5.02,50252,50252,502,TrailNFS_MGMT,1,3.0,TC3,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,3.902,,N,,,44531,{5D212137-004D-41F7-B7CA-1370A86E40FA},,,,,,,,,,,,,0.0626463430311676
51,6W05,SAN JUAN,TERRA,225010443,0.0,11.62,11.62,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,7.717,,N,,,44532,{4E1EABFF-C61D-4821-925F-D90EF3698E87},,,,,,,,,,,,,0.123252064455692
52,5E14,MONUMENT PEAK,TERRA,1374721010602,0.0,0.489,0.489,50254,50254,502,TrailNFS_MGMT,1,1.0,TC1-2,,,,,,,,,,321,,01/01-12/31,,,,,,,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.5,,N,,,44533,{785F2F4B-A6D8-40F0-98BF-93DB729D4BD0},,,,,,,,,,,,,0.007502047230296
53,5E27,LAGUNA CAMPGROUND SPUR,TERRA,1073381010602,0.0,0.54,0.54,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,8-10%,,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.538,,N,,,44534,{924E7C69-2F48-453C-9C58-4BBE30782B67},,,,,,,,,,,,,0.0088046139746427
54,903A_2,BRONCO PEAK LOOP B,TERRA,260491010602,0.0,0.013,0.013,50254,50254,502,TrailNFS_MGMT,1,,,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,,,,,,5.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.014,,N,,,44535,{76AA502B-9DC0-4B77-AC2C-596BBCCBD475},,,,,,,,,,,,,0.0002289488786237
55,907,TOMBSTONE,TERRA,189010443,0.0,0.8,0.8,50254,50254,502,TrailNFS_MGMT,1,4.0,TC4-5,,NAT - NATIVE MATERIAL,,0-5%,TW03 - 18-24 INCHES,,,,9.0,4321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.412,,Y,,,44536,{D1B4FA4B-4168-4D50-9719-3D46D2F9A160},,,,,,,,,,,,,0.0068901876688817
56,5E25,WATER OF THE WOODS SPUR,TERRA,1073377010602,0.0,0.82,0.82,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,8-10%,,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.842,,N,,,44537,{0FA0673A-294A-40F8-85E3-917570B30121},,,,,,,,,,,,,0.0124702503730457
57,911C,GUNSLINGER LOOP C,TERRA,260486010602,0.0,0.46,0.46,50254,50254,502,TrailNFS_MGMT,1,,,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,,,,,,5.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.487,,Y,,,44538,{666B2D14-B8B9-4437-8A19-E3EF21582FEB},,,,,,,,,,,,,0.0076180755763129
58,911B,GUNSLINGER LOOP B,TERRA,260485010602,0.0,0.4,0.4,50254,50254,502,TrailNFS_MGMT,1,,,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,,,,,,5.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.433,,Y,,,44539,{5F97A55B-1AFC-4237-B962-1525F6C8979A},,,,,,,,,,,,,0.0066955074054899
59,7W05,SILVERADO MOTOR WAY,TERRA,228010443,0.0,2.9,2.9,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,3.118,,N,,,44540,{BF92EF48-A6C3-4DF5-B06D-3CB08FE2BE3D},,,,,,,,,,,,,0.04704287625996
60,W-5A,WILDOMAR - 5A,TERRA,124735010602,0.0,0.27,0.27,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW06 - 48-60 INCHES,,,,7.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.286,,N,,,44541,{D5EFBF8D-80D3-4DCA-BF0B-F381D74E661B},,,,,,,,,,,,,0.0045253465783127
61,1W03,DRIPPING SPRINGS,TERRA,237010443,0.0,4.0,4.0,50253,50253,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,3.769,,N,,,44542,{F741E35E-882E-4F75-BFA7-F7272157B9A2},,,,,,,,,,,,,0.058421848882635
62,6W15,FOX SPRING,TERRA,1374840010602,0.0,0.552,0.552,50252,50252,502,TrailNFS_MGMT,1,1.0,TC1-2,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.558,,N,,,44543,{3DA1FF35-857F-4916-94B1-5E061B1FBB70},,,,,,,,,,,,,0.0086813715097657
63,5E06,BIG LAGUNA,TERRA,168010443,0.0,5.7,5.7,50254,50254,502,TrailNFS_MGMT,1,2.0,TC1-2,,,,,,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,5.76,,N,,,44544,{592D58D8-D938-4A7A-8CF9-752581317C64},,,,,,,,,,,,,0.0892610050553402
64,2000.43,PACIFIC CREST TRAIL-AGUA CALIE,TERRA,506010443,3.1,7.9,4.8,50253,50253,502,TrailNFS_MGMT,3,3.0,TC3,,NAT - NATIVE MATERIAL,,5-8%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,5.593,,N,,,44545,{8104ED63-553D-496A-A180-F678C3A0BBF7},,,,,,,,,,,,,0.0873608727193487
65,2000.21,PACIFIC CREST TRAIL-SOUTH FO,TERRA,512010443,1.0,2.2,1.2,50254,50254,502,TrailNFS_MGMT,3,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,1.414,,N,,,44546,{9B8B81B9-5FA0-4C25-BF2E-0ED0FB292046},,,,,,,,,,,,,0.0223329283110149
66,5E13,KWAAYMII CULTURAL,TERRA,180010443,0.0,0.5,0.5,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,5-8%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.402,,N,,,44547,{57D504CE-887C-49EC-A3B1-22A4468309F1},,,,,,,,,,,,,0.006126705452068
67,4E03,"ESPINOSA TRAIL (TH TO 10,628'",TERRA,174010443,4.2,6.2,2.0,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW07 - 60-96 INCHES,,,,5.0,654321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,,2.198,,Y,,,44548,{3E76BCB1-BB74-447E-86DD-8B9F0715FFDE},,,,,,,,,,,,,0.0374975533089686
68,4E03,"ESPINOSA TRAIL (TH TO 10,628'",TERRA,174010443,3.3,3.45,0.15,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW07 - 60-96 INCHES,,,,,321,,,01/01-12/31,,,,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.163,,N,,,44549,{644E59EC-C609-472D-AD71-36635FFDF9A3},,,,,,,,,,,,,0.002870067110451
69,910,WRANGLER TIE,TERRA,192010443,0.0,0.2,0.2,50254,50254,502,TrailNFS_MGMT,1,4.0,TC4-5,,NAT - NATIVE MATERIAL,,0-5%,TW03 - 18-24 INCHES,,,,7.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.112,,N,,,44550,{EC60DC61-C733-4025-A5DF-8A7F71967FE1},,,,,,,,,,,,,0.0017517632048676
70,5E18,GATOS SPUR,TERRA,1073365010602,0.0,1.77,1.77,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,8-10%,,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,1.792,,N,,,44551,{D498DD98-C470-411C-9EB7-974FB9D48600},,,,,,,,,,,,,0.0277976266334108
71,903A_1,BRONCO PEAK LOOP A,TERRA,260490010602,0.0,0.3,0.3,50254,50254,502,TrailNFS_MGMT,1,,,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,,,,,,5.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.321,,N,,,44552,{43F6D7D0-BCF8-44FC-98D8-D697EE22AAEE},,,,,,,,,,,,,0.0051358125920476
72,5E22,AGUA DULCE SPUR,TERRA,1073373010602,0.0,0.31,0.31,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,8-10%,,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.31,,N,,,44553,{E383EC88-0A25-4148-8095-090933D72117},,,,,,,,,,,,,0.005007934403816
73,903,BRONCO PEAK,TERRA,170010443,0.0,1.85,1.85,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW06 - 48-60 INCHES,,,,5.0,654321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,,1.958,,Y,,,44554,{3CAC82C9-9914-40FD-8C65-EF7F97469999},,,,,,,,,,,,,0.0312763798967535
74,5E29,FILAREE FLAT SPUR,TERRA,1073386010602,0.0,0.52,0.52,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,8-10%,,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.513,,N,,,44555,{BC6D0F9B-5B6A-4D9D-A8F1-A8631CB879B6},,,,,,,,,,,,,0.0085170341673417
75,901,WRANGLER,TERRA,191010443,0.0,3.9,3.9,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW05 - 36-48 INCHES,,,,7.0,321,,,01/01-12/31,,,01/01-12/31,,,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,3.63,,N,,,44556,{DD6D7CEF-2C06-4481-8E1C-6CC5A6FA3C17},,,,,,,,,,,,,0.056162992157353
76,905,BRONCO FLAT,TERRA,171010443,0.0,0.6801,0.6801,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW06 - 48-60 INCHES,,,,5.0,54321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,,,,,,,,,,,,,,0.685,,Y,,,44557,{DF03D35D-2478-476C-99A0-7D97CAE0A064},,,,,,,,,,,,,0.0103998865887151
77,908,SIDEWINDER,TERRA,185010443,0.0,0.9,0.9,50254,50254,502,TrailNFS_MGMT,1,4.0,TC4-5,,NAT - NATIVE MATERIAL,,0-5%,TW03 - 18-24 INCHES,,,,5.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,1.025,,N,,,44558,{8FF7860E-135B-4967-95B2-3A734540A133},,,,,,,,,,,,,0.0164208183183064
78,2W01.10,PALOMAR MAGEE,TERRA,509010443,0.0,2.8,2.8,50253,50253,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,2.918,,N,,,44559,{D4484292-8262-426C-B6A0-EE7FF43C6C3D},,,,,,,,,,,,,0.0476588763274618
79,911,GUN SLINGER,TERRA,177010443,0.0,1.84,1.84,50254,50254,502,TrailNFS_MGMT,1,4.0,TC4-5,,NAT - NATIVE MATERIAL,,0-5%,TW03 - 18-24 INCHES,,,,5.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,1.805,,N,,,44560,{3A018E23-665E-47D8-B34C-4923C33CC2AF},,,,,,,,,,,,,0.0296115606236278
80,2E02,BARKER VALLEY,TERRA,235010443,0.0,3.36,3.36,50253,50253,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,3.129,,N,,,44561,{476139FC-4302-4B1D-87C2-64051D326960},,,,,,,,,,,,,0.0514108306221528
81,4E03,"ESPINOSA TRAIL (TH TO 10,628'",TERRA,174010443,3.2,3.3,0.1,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW07 - 60-96 INCHES,,,,,321,,,01/01-12/31,,,,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.109,,N,,,44562,{5796F67E-9CB4-4BF3-BC3F-8B09CC949E43},,,,,,,,,,,,,0.0018970030679315
82,2000.21,PACIFIC CREST TRAIL-SOUTH FO,TERRA,512010443,0.0,0.616,0.616,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.721,,N,,,44563,{700311BB-C6AC-4829-A68F-EC99FDD0590A},,,,,,,,,,,,,0.0116207008301838
83,2E04,SAN DIEGO RIVER GORGE TRAIL,TERRA,759625010602,1.7,2.0,0.3,50253,50253,502,TrailNFS_MGMT,1,2.0,TC1-2,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,0-5%,TW04 - 24-36 INCHES,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.3,,N,,,44564,{3A40D18E-2DCB-4C79-995E-E9A6B52CD8A4},,,,,,,,,,,,,0.0049614088336239
84,5E28,EL PRADO SPUR,TERRA,1073382010602,0.0,0.95,0.95,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,8-10%,,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.959,,N,,,44565,{00F30C99-031A-4282-9A04-FD0BDA289098},,,,,,,,,,,,,0.0147960903863187
85,903A,BRONCO PEAK CONNECTOR,TERRA,84897010602,0.0,0.84,0.84,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,12-20%,TW06 - 48-60 INCHES,,,,5.0,654321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,,0.906,,Y,,,44566,{6A720B18-74FF-48A6-9CEE-B589B9360DEC},,,,,,,,,,,,,0.0139782160727874
86,803,BEAR VALLEY,TERRA,1377060010602,0.0,0.688,0.688,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW05 - 36-48 INCHES,,,,11.0,6321,,,01/01-12/31,,,01/01-12/31,,,,,,,01/01-12/31,,,01/01-12/31,01/01-12/31,,,,,,,,,,,,,,,,,,0.689,,Y,,,44567,{85435F0B-A0CE-4385-A1C2-9FCA6A2C7DD3},,,,,,,,,,,,,0.0109440155062745
87,5E20,CHICO-GATOS CONNECTOR,TERRA,1073370010602,0.0,0.34,0.34,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,8-10%,,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,1.223,,N,,,44568,{5F26BFB3-A0A5-42BC-95EA-CD8A326E8AF6},,,,,,,,,,,,,0.0192559355807569
88,5E19,CHICO SPUR,TERRA,1073368010602,0.0,1.22,1.22,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,8-10%,,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.347,,N,,,44569,{A1AF6FC6-62FB-4DAC-8CD3-69A23F0A09C2},,,,,,,,,,,,,0.0052685643996265
89,909,SODBUSTER,TERRA,186010443,0.0,0.9,0.9,50254,50254,502,TrailNFS_MGMT,1,4.0,TC4-5,,NAT - NATIVE MATERIAL,,0-5%,TW03 - 18-24 INCHES,,,,9.0,4321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.938,,Y,,,44570,{543AE31D-6ACA-4650-B145-C04702F7C304},,,,,,,,,,,,,0.0151678213582316
90,5E21,ESCONDIDO SPUR,TERRA,1073372010602,0.0,0.62,0.62,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,8-10%,,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.605,,N,,,44571,{CC2E2A36-6167-4BCC-80C4-7F0895CE81A2},,,,,,,,,,,,,0.01043829506535
91,2000.51,PACIFIC CREST TRAIL-INDIAN FLA,TERRA,507010443,0.0,7.0,7.0,50253,50253,502,TrailNFS_MGMT,3,3.0,TC3,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,5.843,,N,,,44572,{0FC7B1D0-62B5-4889-AE6F-5082D1BCA00D},,,,,,,,,,,,,0.0926265735830097
92,5E05,INDIAN CREEK,TERRA,178010443,0.0,3.86,3.86,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,8-10%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,3.799,,N,,,44573,{226B879F-6575-4BF7-8CAF-F60A1463980A},,,,,,,,,,,,,0.0594915130809876
93,5E11,FLATHEAD FLATS - PCT ACCESS,TERRA,1374420010602,0.0,0.4,0.4,50254,50254,502,TrailNFS_MGMT,1,1.0,TC1-2,,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.404,,N,,,44574,{222C2EC3-2112-483A-AC02-B839C7BFBD9C},,,,,,,,,,,,,0.0063087136710426
94,2E04,SAN DIEGO RIVER GORGE TRAIL,TERRA,759625010602,2.0,2.65,0.65,50253,50253,502,TrailNFS_MGMT,1,2.0,TC1-2,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,0-5%,TW04 - 24-36 INCHES,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.648,,N,,,44575,{4149FA04-6FFB-46E9-91CC-3C67500FCC30},,,,,,,,,,,,,0.010810947057459
