,Railroad Code,Railroad Name,Report Year,Incident Number,Incident Year,Incident Month,Other Railroad Code,Other Railroad Name,Other Incident Number,Other Incident Year,Other Incident Month,Maintenance Railroad Code,Maintenance Railroad Name,Maintainance Incident Number,Maintenance Incident Year,Maintenance Incident Month,Grade Crossing ID,Date,Month,Day,Hour,Minute,AM/PM,Time,Nearest Station,Division,Subdivision,County Code,County Name,State Code,State Name,City Name,Highway Name,Public/Private Code,Public/Private,Highway User Code,Highway User,Estimated Vehicle Speed,Vehicle Direction Code,Vehicle Direction,Highway User Position Code,Highway User Position,Equipment Involved Code,Equipment Involved,Railroad Car Unit Position,Equipment Struck Code,Equipment Struck,Hazmat Involvement Code,Hazmat Involvement,Hazmat Released by Code,Hazmat Released by,Hazmat Released Name,Hazmat Released Quantity,Hazmat Released Measure,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Equipment Type Code,Equipment Type,Track Type Code,Track Type,Track Name,Track Class,Number of Locomotive Units,Number of Cars,Train Speed,Estimated/Recorded Speed,Train Direction Code,Train Direction,Crossing Warning Expanded Code 1,Crossing Warning Expanded Code 2,Crossing Warning Expanded Code 3,Crossing Warning Expanded Code 4,Crossing Warning Expanded Code 5,Crossing Warning Expanded Code 6,Crossing Warning Expanded Code 7,Crossing Warning Expanded Code 8,Crossing Warning Expanded Code 9,Crossing Warning Expanded Code 10,Crossing Warning Expanded Code 11,Crossing Warning Expanded Code 12,Crossing Warning Expanded 1,Crossing Warning Expanded 2,Crossing Warning Expanded 3,Crossing Warning Expanded 4,Crossing Warning Expanded 5,Crossing Warning Expanded 6,Crossing Warning Expanded 7,Crossing Warning Expanded 8,Crossing Warning Expanded 9,Crossing Warning Expanded 10,Crossing Warning Expanded 11,Crossing Warning Expanded 12,Signaled Crossing Warning Code,Signaled Crossing Warning,Crossing Warning Explanation Code,Crossing Warning Explanation,Roadway Condition Code,Roadway Condition,Crossing Warning Location Code,Crossing Warning Location,Warning Connected To Signal,Crossing Illuminated,User Age,User Gender,User Struck By Second Train,Highway User Action Code,Highway User Action,Driver Passed Vehicle,View Obstruction Code,View Obstruction,Driver Condition Code,Driver Condition,Driver In Vehicle,Crossing Users Killed,Crossing Users Injured,Vehicle Damage Cost,Number Vehicle Occupants,Employees Killed,Employees Injured,Number People On Train,Form 54 Filed,Passengers Killed,Passengers Injured,Video Taken,Video Used,Special Study 1,Special Study 2,Narrative,Total Killed Form 57,Total Injured Form 57,Railroad Type,Joint Code,Total Killed Form 55A,Total Injured Form 55A,District,Whistle Ban Code,Whistle Ban,Report Key,Reporting Railroad/Company Grouping,Reporting Railroad Class,Reporting Railroad SMT Grouping,Reporting Parent Railroad Code,Reporting Parent Railroad Name,Reporting Railroad Holding Company,Other Railroad Grouping,Other Railroad Class,Other Railroad SMT Grouping,Other Parent Railroad Code,Other Parent Railroad Name,Other Railroad Holding Company,Maintenance Railroad Grouping,Maintenance Railroad Class,Maintenance Railroad SMT Grouping,Maintenance Parent Railroad Code,Maintenance Parent Railroad Name,Maintenance Railroad Holding Company,Url
30,GTW,GRAND TRUNK WESTERN RAILROAD INC.,1986,M5226,86,11,,,,,,GTW,GRAND TRUNK WESTERN RAILROAD INC.,M5226,86.0,11.0,NOTASGN,11/12/1986,11,12,5,15,PM,05:15 PM,FLINT,,,49,GENESEE,26,MICHIGAN,FLINT,CHEV MFG (INDUSTRY),Y,Public,B,Truck,0.0,,,2,Stopped on crossing,2,Train (units pushing),1,1,Rail equipment struck highway user,4,Neither,,,,,,34,3,Dusk,1,Clear,7,Yard/switching,2,Yard,YARD,4.0,1,4,2.0,E,,,11,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,No,4,Stopped on crossing,No,8,Not obstructed,,,No,0,0,475,0,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,4.0,,,GTWM5226198611,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,,,,,,,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=M5226&RptType=A&TxtCrossingNum=NOTASGN
31,GTW,GRAND TRUNK WESTERN RAILROAD INC.,1986,86877,86,11,,,,,,GTW,GRAND TRUNK WESTERN RAILROAD INC.,86877,86.0,11.0,282691M,11/04/1986,11,4,12,23,AM,12:23 AM,PONTIAC,,,125,OAKLAND,26,MICHIGAN,PONTIAC,WALTON BLVD,Y,Public,A,Auto,,3.0,East,3,Moving over crossing,2,Train (units pushing),1,1,Rail equipment struck highway user,4,Neither,,,,,,34,4,Dark,1,Clear,1,Freight Train,1,Main,MAIN,2.0,1,1,10.0,E,2.0,South,3,,,,,,,,,,,,Standard FLS,,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,No,,,No,2,Stopped and then proceeded,No,8,Not obstructed,2.0,Injured,Yes,0,1,6000,1,0,0,,No,0,0,,,,,,0,1,1L,1,0,1,4.0,,,GTW86877198611,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,,,,,,,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=86877&RptType=A&TxtCrossingNum=282691M
32,DM,Detroit & Mackinac Railway Company,1986,57149,86,12,,,,,,DM,Detroit & Mackinac Railway Company,57149,86.0,12.0,250900E,12/07/1986,12,7,8,5,PM,08:05 PM,PINCONNING,,,17,BAY,26,MICHIGAN,PINCONNING,CODY ESTEY RD,Y,Public,A,Auto,35.0,4.0,West,3,Moving over crossing,1,Train (units pulling),1,2,Rail equipment struck by highway user,2,Rail equipment,,,,,,30,4,Dark,2,Cloudy,1,Freight Train,1,Main,SINGLE MAIN TRACK,2.0,2,19,20.0,R,2.0,South,7,11.0,,,,,,,,,,,Crossbucks,Other,,,,,,,,,,,,,,,,,1.0,Both sides,No,No,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,1,5000,1,0,0,,No,0,0,,,,,,0,1,3L,1,0,1,4.0,,,DM57149198612,,,,DM,Detroit & Mackinac Railway Company,Not Assigned,,,,,,,,,,DM,Detroit & Mackinac Railway Company,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=57149&RptType=A&TxtCrossingNum=250900E
33,DM,Detroit & Mackinac Railway Company,1986,57150,86,12,,,,,,DM,Detroit & Mackinac Railway Company,57150,86.0,12.0,251059G,12/18/1986,12,18,11,23,AM,11:23 AM,ALPENA,,,7,ALPENA,26,MICHIGAN,ALPENA,BOLTON RD,Y,Public,A,Auto,15.0,1.0,North,3,Moving over crossing,1,Train (units pulling),1,2,Rail equipment struck by highway user,4,Neither,,,,,,36,2,Day,2,Cloudy,7,Yard/switching,1,Main,SINGLE MAIN TRACK,2.0,1,5,10.0,E,1.0,North,7,11.0,,,,,,,,,,,Crossbucks,Other,,,,,,,,,,,,,,,,,1.0,Both sides,No,No,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,2,5000,2,0,0,,No,0,0,,,,,,0,2,3L,1,0,2,4.0,,,DM57150198612,,,,DM,Detroit & Mackinac Railway Company,Not Assigned,,,,,,,,,,DM,Detroit & Mackinac Railway Company,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=57150&RptType=A&TxtCrossingNum=251059G
34,UB,Union Belt Of Detroit,1986,644,86,11,,,,,,UB,Union Belt Of Detroit,644,86.0,11.0,234266G,11/18/1986,11,18,6,20,PM,06:20 PM,DETROIT,,,163,WAYNE,26,MICHIGAN,DETROIT,LITTLEFIELD AVE,Y,Public,A,Auto,15.0,2.0,South,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,18,4,Dark,1,Clear,7,Yard/switching,1,Main,MAINLINE,1.0,1,3,5.0,E,4.0,West,7,,,,,,,,,,,,Crossbucks,,,,,,,,,,,,,,,,,,1.0,Both sides,Unknown,Unknown,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,0,1,0,0,,No,0,0,,,,,,0,0,3S,1,0,0,4.0,,,UB644198611,,,,UB,Union Belt Of Detroit,Not Assigned,,,,,,,,,,UB,Union Belt Of Detroit,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=644&RptType=A&TxtCrossingNum=234266G
35,CSRR,Chessie System Railroads,1986,COAMI1329,86,12,,,,,,CSRR,Chessie System Railroads,COAMI1329,86.0,12.0,235724W,12/09/1986,12,9,3,25,PM,03:25 PM,WHITEWALL,,,121,MUSKEGON,26,MICHIGAN,,RILEY-THOMPSON RD,Y,Public,A,Auto,,3.0,East,3,Moving over crossing,1,Train (units pulling),3,2,Rail equipment struck by highway user,4,Neither,,,,,,31,2,Day,2,Cloudy,1,Freight Train,1,Main,SINGLE MAIN,3.0,1,4,33.0,E,1.0,North,7,8.0,11.0,,,,,,,,,,Crossbucks,Stop signs,Other,,,,,,,,,,,,,,,,1.0,Both sides,No,No,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,0,3,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,4.0,,,CSRRCOAMI1329198612,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=COAMI1329&RptType=A&TxtCrossingNum=235724W
36,CSRR,Chessie System Railroads,1986,COXMI2329,86,12,,,,,,CSRR,Chessie System Railroads,COXMI2329,86.0,12.0,232446X,12/22/1986,12,22,10,10,AM,10:10 AM,BLACKMAR,,,145,SAGINAW,26,MICHIGAN,BRIDGEPORT,PROSPECT ST,Y,Public,A,Auto,0.0,4.0,West,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,39,2,Day,1,Clear,1,Freight Train,1,Main,MAIN,3.0,2,75,25.0,E,1.0,North,7,,,,,,,,,,,,Crossbucks,,,,,,,,,,,,,,,,,,1.0,Both sides,No,No,,,No,4,Stopped on crossing,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,600,3,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,4.0,,,CSRRCOXMI2329198612,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=COXMI2329&RptType=A&TxtCrossingNum=232446X
37,CSRR,Chessie System Railroads,1986,COXMI2331,86,12,,,,,,CSRR,Chessie System Railroads,COXMI2331,86.0,12.0,232455W,12/27/1986,12,27,7,37,PM,07:37 PM,SAGINAW,,,145,SAGINAW,26,MICHIGAN,SAGINAW,JANES ST,Y,Public,A,Auto,20.0,3.0,East,3,Moving over crossing,1,Train (units pulling),1,2,Rail equipment struck by highway user,4,Neither,,,,,,35,4,Dark,2,Cloudy,1,Freight Train,2,Yard,YARD,1.0,1,8,10.0,E,1.0,North,1,3.0,8.0,,,,,,,,,,Gates,Standard FLS,Stop signs,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,Unknown,No,,,No,1,Went around the gate,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,600,1,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,4.0,,,CSRRCOXMI2331198612,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=COXMI2331&RptType=A&TxtCrossingNum=232455W
38,CSRR,Chessie System Railroads,1986,COXMI2335,86,12,,,,,,CSRR,Chessie System Railroads,COXMI2335,86.0,12.0,232240X,12/12/1986,12,12,6,20,PM,06:20 PM,NOVI,,,125,OAKLAND,26,MICHIGAN,NOVI,NOVI RD,Y,Public,A,Auto,30.0,2.0,South,3,Moving over crossing,6,Light loco(s) (moving),1,2,Rail equipment struck by highway user,4,Neither,,,,,,33,4,Dark,1,Clear,8,Light loco(s),1,Main,SINGLE MAIN,3.0,1,0,35.0,E,1.0,North,3,,,,,,,,,,,,Standard FLS,,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,Yes,Yes,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,3000,1,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,4.0,,,CSRRCOXMI2335198612,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=COXMI2335&RptType=A&TxtCrossingNum=232240X
39,CR,Conrail,1986,0970301,86,12,,,,,,CR,Conrail,0970301,86.0,12.0,536528W,12/20/1986,12,20,4,16,AM,04:16 AM,PORTAGE,,,77,KALAMAZOO,26,MICHIGAN,PORTAGE,KILGORE RD,Y,Public,A,Auto,,3.0,East,3,Moving over crossing,1,Train (units pulling),1,2,Rail equipment struck by highway user,4,Neither,,,,,,36,4,Dark,1,Clear,1,Freight Train,1,Main,SINGLE TRACK MAIN,3.0,3,62,25.0,E,2.0,South,3,,,,,,,,,,,,Standard FLS,,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,Unknown,No,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,0,1,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,4.0,,,CR0970301198612,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,,,,,,,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=0970301&RptType=A&TxtCrossingNum=536528W
40,CR,Conrail,1986,0940302,86,12,,,,,,CR,Conrail,0940302,86.0,12.0,NOTASGN,12/07/1986,12,7,8,55,PM,08:55 PM,DETROIT,,,163,WAYNE,26,MICHIGAN,DETROIT,PRIVATE XING,N,Private,A,Auto,,3.0,East,3,Moving over crossing,2,Train (units pushing),1,1,Rail equipment struck highway user,4,Neither,,,,,,35,4,Dark,1,Clear,7,Yard/switching,3,Siding,INDUSTRIAL LEAD,1.0,1,2,3.0,E,2.0,South,3,,,,,,,,,,,,Standard FLS,,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,Unknown,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,0,1,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,4.0,,,CR0940302198612,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,,,,,,,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=0940302&RptType=A&TxtCrossingNum=NOTASGN
41,CR,Conrail,1986,0970300,86,12,,,,,,CR,Conrail,0970300,86.0,12.0,536497A,12/04/1986,12,4,7,0,AM,07:00 AM,THREE RIVERS,,,149,ST JOSEPH,26,MICHIGAN,THREE RIVERS,MICHIGAN AVE,Y,Public,A,Auto,,4.0,West,3,Moving over crossing,1,Train (units pulling),2,2,Rail equipment struck by highway user,4,Neither,,,,,,39,2,Day,1,Clear,1,Freight Train,1,Main,SINGLE TRACK MAIN,3.0,2,30,39.0,E,1.0,North,7,11.0,,,,,,,,,,,Crossbucks,Other,,,,,,,,,,,,,,,,,1.0,Both sides,No,No,,,No,3,Did not stop,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,10000,1,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,4.0,,,CR0970300198612,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,,,,,,,,Class 3,,CRSH,Consolidated Rail Corporation,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=0970300&RptType=A&TxtCrossingNum=536497A
42,NW,Norfolk & Western Railway Company,1986,X281086006,86,10,,,,,,NW,Norfolk & Western Railway Company,X281086006,86.0,10.0,477265W,10/18/1986,10,18,8,35,PM,08:35 PM,17TH STREET,,,163,WAYNE,26,MICHIGAN,DETROIT,GREEN STREET,Y,Public,A,Auto,,2.0,South,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,56,4,Dark,1,Clear,1,Freight Train,1,Main,MAIN,2.0,3,14,15.0,E,4.0,West,1,3.0,,,,,,,,,,,Gates,Standard FLS,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,Unknown,,,No,1,Went around the gate,No,8,Not obstructed,3.0,Uninjured,Yes,0,0,0,3,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,4.0,,,NWX281086006198610,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,,,,,,,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=X281086006&RptType=A&TxtCrossingNum=477265W
43,NW,Norfolk & Western Railway Company,1986,X281186001,86,11,,,,,,NW,Norfolk & Western Railway Company,X281186001,86.0,11.0,477308M,11/04/1986,11,4,4,50,AM,04:50 AM,ROMULUS,,,163,WAYNE,26,MICHIGAN,ROMULUS,OZGA RD,Y,Public,B,Truck,,2.0,South,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,37,2,Day,2,Cloudy,1,Freight Train,1,Main,EASTBOUND MAIN,2.0,1,17,40.0,E,3.0,East,1,3.0,,,,,,,,,,,Gates,Standard FLS,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,Unknown,Unknown,,,No,1,Went around the gate,Unknown,8,Not obstructed,3.0,Uninjured,Yes,0,0,0,1,0,0,,No,0,0,,,,,,0,0,1L,1,0,0,4.0,,,NWX281186001198611,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,,,,,,,,Class 1,SMT-3 - Norfolk Southern,NS,Norfolk Southern Railway Company,Norfolk Southern Railway Company,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=X281186001&RptType=A&TxtCrossingNum=477308M
44,GTW,GRAND TRUNK WESTERN RAILROAD INC.,1986,86925,86,11,,,,,,GTW,GRAND TRUNK WESTERN RAILROAD INC.,86925,86.0,11.0,283821K,11/22/1986,11,22,11,45,PM,11:45 PM,FLUSHING,,,49,GENESEE,26,MICHIGAN,FLUSHING,POTTER RD,Y,Public,A,Auto,,2.0,South,3,Moving over crossing,3,Train (standing),51,2,Rail equipment struck by highway user,4,Neither,,,,,,28,4,Dark,1,Clear,1,Freight Train,1,Main,MAIN,3.0,3,99,0.0,R,3.0,East,7,,,,,,,,,,,,Crossbucks,,,,,,,,,,,,,,,,,,1.0,Both sides,No,Yes,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,1,375,1,0,0,,No,0,0,,,,,,0,1,1L,1,0,1,4.0,,,GTW86925198611,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,,,,,,,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=86925&RptType=A&TxtCrossingNum=283821K
45,GTW,GRAND TRUNK WESTERN RAILROAD INC.,1986,86890,86,11,,,,,,GTW,GRAND TRUNK WESTERN RAILROAD INC.,86890,86.0,11.0,284056D,11/18/1986,11,18,12,15,AM,12:15 AM,WARREN,,,99,MACOMB,26,MICHIGAN,WARREN,8 MILE ROAD,Y,Public,M,Other,,3.0,East,3,Moving over crossing,1,Train (units pulling),1,2,Rail equipment struck by highway user,4,Neither,,,,,,25,4,Dark,1,Clear,1,Freight Train,1,Main,MAIN,3.0,2,71,20.0,E,4.0,West,1,2.0,3.0,,,,,,,,,,Gates,Cantilever FLS,Standard FLS,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,Yes,,,No,1,Went around the gate,No,8,Not obstructed,2.0,Injured,Yes,0,1,1500,1,0,0,,No,0,0,,,,,,0,1,1L,1,0,1,4.0,,,GTW86890198611,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,,,,,,,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=86890&RptType=A&TxtCrossingNum=284056D
46,MIRR,Michigan Interstate Railroad,1986,86000,86,11,,,,,,MIRR,Michigan Interstate Railroad,86000,86.0,11.0,000213K,11/25/1986,11,25,7,35,PM,07:35 PM,ANN ARBOR,,,161,WASHTENAW,26,MICHIGAN,ANN ARBOR,HILL STREET,Y,Public,A,Auto,25.0,4.0,West,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,35,4,Dark,1,Clear,1,Freight Train,1,Main,SINGLE MAIN TRACK,2.0,1,31,13.0,E,3.0,East,3,,,,,,,,,,,,Standard FLS,,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,Yes,Yes,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,1,0,1,0,0,,No,0,0,,,,,,0,1,2L,1,0,1,4.0,,,MIRR86000198611,,Class 3,,AA,Ann Arbor Railroad,Not Assigned,,,,,,,,Class 3,,AA,Ann Arbor Railroad,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=86000&RptType=A&TxtCrossingNum=000213K
47,LSI,Lake Superior & Ishpeming Railroad Company,1986,2956,86,11,,,,,,LSI,Lake Superior & Ishpeming Railroad Company,2956,86.0,11.0,857366H,11/12/1986,11,12,10,45,AM,10:45 AM,WEST YARD,,,103,MARQUETTE,26,MICHIGAN,MARQUETTE,COUNTY ROAD 550,Y,Public,B,Truck,0.0,3.0,East,2,Stopped on crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,15,2,Day,1,Clear,1,Freight Train,1,Main,MAINLINE/BIG BAY XNG,2.0,3,121,18.0,E,3.0,East,3,,,,,,,,,,,,Standard FLS,,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,No,Unknown,,,No,4,Stopped on crossing,No,8,Not obstructed,3.0,Uninjured,No,0,0,30000,1,0,0,,Yes,0,0,,,,,,0,0,3L,1,0,0,4.0,,,LSI2956198611,Shortline,Class 3,SMT-8 - Short Line West,LSI,Lake Superior & Ishpeming Railroad Company,Not Assigned,,,,,,,Shortline,Class 3,SMT-8 - Short Line West,LSI,Lake Superior & Ishpeming Railroad Company,Not Assigned,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=2956&RptType=A&TxtCrossingNum=857366H
48,GTW,GRAND TRUNK WESTERN RAILROAD INC.,1986,86903,86,11,,,,,,GTW,GRAND TRUNK WESTERN RAILROAD INC.,86903,86.0,11.0,283728D,11/22/1986,11,22,9,55,AM,09:55 AM,GAINES TWP,,,49,GENESEE,26,MICHIGAN,GAINES TWP,DUFFIELD RD,Y,Public,B,Truck,,2.0,South,3,Moving over crossing,1,Train (units pulling),2,2,Rail equipment struck by highway user,4,Neither,,,,,,31,2,Day,1,Clear,1,Freight Train,1,Main,MAIN,4.0,3,38,40.0,E,3.0,East,3,,,,,,,,,,,,Standard FLS,,,,,,,,,,,,1.0,Provided minimum 20-second warning,,,,,1.0,Both sides,Unknown,Yes,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,2,7500,2,0,0,,No,0,0,,,,,,0,2,1L,1,0,2,4.0,,,GTW86903198611,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,,,,,,,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=86903&RptType=A&TxtCrossingNum=283728D
49,GTW,GRAND TRUNK WESTERN RAILROAD INC.,1986,86942,86,12,,,,,,GTW,GRAND TRUNK WESTERN RAILROAD INC.,86942,86.0,12.0,284136W,12/07/1986,12,7,11,42,AM,11:42 AM,COLUMBUS,,,147,ST CLAIR,26,MICHIGAN,COLUMBUS,BAUMAN RD,Y,Public,B,Truck,,1.0,North,3,Moving over crossing,1,Train (units pulling),1,1,Rail equipment struck highway user,4,Neither,,,,,,24,2,Day,6,Snow,1,Freight Train,1,Main,MAIN,3.0,2,52,34.0,E,4.0,West,8,11.0,,,,,,,,,,,Stop signs,Other,,,,,,,,,,,,,,,,,1.0,Both sides,No,Yes,,,No,3,Did not stop,No,8,Not obstructed,2.0,Injured,Yes,0,1,425,1,0,0,,No,0,0,,,,,,0,1,1L,1,0,1,4.0,,,GTW86942198612,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,,,,,,,,Class 1,SMT-4 - CPKC/CP/CN/CCD,CN,Canadian National - North America,Canadian National - North America,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/Crossing/Report.aspx?cmbyr=1986&incd=86942&RptType=A&TxtCrossingNum=284136W
