,OBJECTID,RTE_CN,ID,NAME,BMP,EMP,SEG_LENGTH,GIS_MILES,SYMBOL,MVUM_SYMBOL_NAME,JURISDICTION,OPERATIONALMAINTLEVEL,SURFACETYPE,SYSTEM,SEASONAL,PASSENGERVEHICLE,PASSENGERVEHICLE_DATESOPEN,HIGHCLEARANCEVEHICLE,HIGHCLEARANCEVEHICLE_DATESOPEN,TRUCK,TRUCK_DATESOPEN,BUS,BUS_DATESOPEN,MOTORHOME,MOTORHOME_DATESOPEN,FOURWD_GT50INCHES,FOURWD_GT50_DATESOPEN,TWOWD_GT50INCHES,TWOWD_GT50_DATESOPEN,TRACKED_OHV_GT50INCHES,TRACKED_OHV_GT50_DATESOPEN,OTHER_OHV_GT50INCHES,OTHER_OHV_GT50_DATESOPEN,ATV,ATV_DATESOPEN,MOTORCYCLE,MOTORCYCLE_DATESOPEN,OTHERWHEELED_OHV,OTHERWHEELED_OHV_DATESOPEN,TRACKED_OHV_LT50INCHES,TRACKED_OHV_LT50_DATESOPEN,OTHER_OHV_LT50INCHES,OTHER_OHV_LT50_DATESOPEN,ADMINORG,SECURITYID,DISTRICTNAME,FORESTNAME,FIELD_ID,SBS_SYMBOL_NAME,ROUTESTATUS,GLOBALID,TA_SYMBOL,SHAPE,SHAPELEN
38,368,197010454,881.1,GOVERNMENT CR,7.85,8.3,0.45,0.467,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20604,206,Parks Ranger District,Medicine Bow-Routt National Forest,881.1,"Road, Not Maintained for Passenger Car",EX - EXISTING,{B8AA7B03-341B-4804-ABF3-7151C27DD85B},6,,0.0084654838566588
39,369,373010454,660.1,HELENA,0.3,4.8,4.5,4.164,2,"Roads open to all Vehicles, Seasonal",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,IMP - IMPROVED NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,20604,206,Parks Ranger District,Medicine Bow-Routt National Forest,660.1,"Road, Not Maintained for Passenger Car",EX - EXISTING,{EDF48B70-094C-4937-B86E-FDE9CBCDD861},6,,0.0664216006077774
40,370,695010454,241.1,SAWMILL,0.0,0.05,0.05,0.051,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20601,206,Yampa Ranger District,Medicine Bow-Routt National Forest,241.1,"Road, Not Maintained for Passenger Car",EX - EXISTING,{15BD21BE-C14F-4000-93B5-79DD33D82B1A},6,,0.0008370316413442
41,371,502010454,507.1,WHISKEY DIVIDE,1.46,2.5,1.04,1.024,2,"Roads open to all Vehicles, Seasonal",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,open,06/15-12/01,20603,206,Hahns Peak-Bears Ears Ranger District,Medicine Bow-Routt National Forest,507.1,"Road, Not Maintained for Passenger Car",EX - EXISTING,{556AA8E1-AC9E-408A-8680-626D39F6F68F},6,,0.0190561206617206
42,372,337010454,60.1,BUFFALO PASS,10.75,15.0,4.25,4.634,2,"Roads open to all Vehicles, Seasonal",FS - FOREST SERVICE,4 - MODERATE DEGREE OF USER COMFORT,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,20604,206,Parks Ranger District,Medicine Bow-Routt National Forest,60.1,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{E5FA2596-65E4-4882-B5E2-6EE757905735},4,,0.0784340410815138
43,373,559010454,482.1,SOUTH MILK CREEK,0.0,0.9,0.9,0.898,2,"Roads open to all Vehicles, Seasonal",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,20603,206,Hahns Peak-Bears Ears Ranger District,Medicine Bow-Routt National Forest,482.1,"Road, Not Maintained for Passenger Car",EX - EXISTING,{C29C1E15-0A92-42CB-A705-DA11DB43248C},6,,0.0149038616290774
44,374,5065010454,1253.D,1253.D,0.8,1.7,0.9,0.956,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20609,206,Douglas Ranger District/Thunder Basin National Grassland,Medicine Bow-Routt National Forest,1253.D,"Road, Not Maintained for Passenger Car",EX - EXISTING,{EC550EAE-A687-471B-8712-CB8B23D9D30A},6,,0.0145428776995903
45,375,337010454,60.1,BUFFALO PASS,6.6,8.5,1.9,1.782,2,"Roads open to all Vehicles, Seasonal",FS - FOREST SERVICE,3 - SUITABLE FOR PASSENGER CARS,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,20603,206,Hahns Peak-Bears Ears Ranger District,Medicine Bow-Routt National Forest,60.1,"Dirt Road, Suitable for Passenger Car",EX - EXISTING,{B783DD35-5EE2-43DF-89F3-9C50A114BA3C},5,,0.0339139456172993
46,376,865010454,121.1,DIRTY BIRD SPUR,1.1,2.6,1.5,1.502,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,3 - SUITABLE FOR PASSENGER CARS,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20604,206,Parks Ranger District,Medicine Bow-Routt National Forest,121.1,"Dirt Road, Suitable for Passenger Car",EX - EXISTING,{73836E7C-BC4E-42DC-8CC2-C276AF2D8199},5,,0.0238048805360954
47,377,4914010454,1233.A,1233.A,0.6,0.8,0.2,0.172,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20609,206,Douglas Ranger District/Thunder Basin National Grassland,Medicine Bow-Routt National Forest,1233.A,"Road, Not Maintained for Passenger Car",EX - EXISTING,{D6395722-E4C6-4B13-804F-A56B66C0B8A8},6,,0.0034803105924286
48,381,40010307,1955,IR VESUVIUS ROAD,0.0,0.492,0.492,0.501,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,5 - HIGH DEGREE OF USER COMFORT,AC - ASPHALT,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,91403,914,Ironton Ranger District,Wayne National Forest,1955,Paved Road,EX - EXISTING,{428805D6-543B-4F07-8E2E-325D8D070AD5},3,,0.0078251524859976
49,404,5119010454,1265.L,1265.L,0.0,1.2,1.2,1.213,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20609,206,Douglas Ranger District/Thunder Basin National Grassland,Medicine Bow-Routt National Forest,1265.L,"Road, Not Maintained for Passenger Car",EX - EXISTING,{D31195DD-3B62-4A62-809E-5B5A0D41010D},6,,0.0202572584600901
50,423,821010454,107.1,POISON RIDGE,0.0,4.3,4.3,4.318,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20604,206,Parks Ranger District,Medicine Bow-Routt National Forest,107.1,"Road, Not Maintained for Passenger Car",EX - EXISTING,{07746D33-E8C9-435B-AFFD-E809E78BCDBF},6,,0.0725010311406002
51,424,6213010454,923.BI,923.BI,0.0,1.3,1.3,1.353,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20609,206,Douglas Ranger District/Thunder Basin National Grassland,Medicine Bow-Routt National Forest,923.BI,"Road, Not Maintained for Passenger Car",EX - EXISTING,{DAE9F69E-1DFC-4CB7-BB03-5F2A61D110E4},6,,0.01884926682342
52,425,5217010454,916.AA,916.AA,0.0,0.4,0.4,0.376,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20609,206,Douglas Ranger District/Thunder Basin National Grassland,Medicine Bow-Routt National Forest,916.AA,"Road, Not Maintained for Passenger Car",EX - EXISTING,{37B3B81D-9F88-470B-827C-71F8529B1C64},6,,0.0069670650919968
53,426,1665010454,713.E,WEIR 3 RD,0.0,2.63,2.63,2.582,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20605,206,Laramie Ranger District,Medicine Bow-Routt National Forest,713.E,"Road, Not Maintained for Passenger Car",EX - EXISTING,{CF6143C7-909D-4B19-9049-8184DB1A159B},6,,0.0470338623668649
54,427,2218010454,544,DOUGLAS POINT,0.0,3.7,3.7,3.511,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20605,206,Laramie Ranger District,Medicine Bow-Routt National Forest,544,"Road, Not Maintained for Passenger Car",EX - EXISTING,{EC7C654B-6D89-4B0A-B32F-D34AAE01D4FA},6,,0.0664845286587753
55,428,5551010454,1015.A,1015.A,0.0,0.7,0.7,0.692,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20609,206,Douglas Ranger District/Thunder Basin National Grassland,Medicine Bow-Routt National Forest,1015.A,"Road, Not Maintained for Passenger Car",EX - EXISTING,{2943E53E-B26D-43F2-8153-EA6E4FBD94D7},6,,0.0127827211548449
56,441,2171010454,530.QB,DOUGLAS POINT LOOP,0.0,1.03,1.03,1.036,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20605,206,Laramie Ranger District,Medicine Bow-Routt National Forest,530.QB,"Road, Not Maintained for Passenger Car",EX - EXISTING,{6D7746F3-102F-4347-BBCC-382A60D610C3},6,,0.0173878348128262
57,458,434449010602,926.BK,926.BK,0.0,0.6,0.6,0.581,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20609,206,Douglas Ranger District/Thunder Basin National Grassland,Medicine Bow-Routt National Forest,926.BK,"Road, Not Maintained for Passenger Car",EX - EXISTING,{9E882C16-CEE9-420A-889E-C21F6D26DCB0},6,,0.0093407378394904
58,459,2018010454,351,BARBER LK,0.0,4.65,4.65,4.607,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,4 - MODERATE DEGREE OF USER COMFORT,AC - ASPHALT,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20605,206,Laramie Ranger District,Medicine Bow-Routt National Forest,351,Paved Road,EX - EXISTING,{61730EED-C730-4992-962E-66D30FA7EEE0},3,,0.081237987947736
59,460,2957010454,121,STANLEY PARK LOOP,0.0,3.8,3.8,3.989,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,3 - SUITABLE FOR PASSENGER CARS,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20602,206,Brush Creek-Hayden Ranger District,Medicine Bow-Routt National Forest,121,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{3B48412D-8C14-42B8-919B-69A1A9B73ED9},4,,0.0671017876901562
60,461,4732010454,407.1F,BIG CREEK SPUR 1F,0.0,0.35,0.35,0.345,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20602,206,Brush Creek-Hayden Ranger District,Medicine Bow-Routt National Forest,407.1F,"Road, Not Maintained for Passenger Car",EX - EXISTING,{D224BC30-8066-426D-8A96-2A8A46148ACD},6,,0.0062085023002553
61,502,181010474,555A,LAUREL BRIDGE,0.0,0.25,0.25,0.244,4,"Roads open to highway legal vehicles only, Seasonal",FS - FOREST SERVICE,5 - HIGH DEGREE OF USER COMFORT,BST - BITUMINOUS SURFACE TREATMENT,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,04/15-10/30,open,04/15-10/30,open,04/15-10/30,open,04/15-10/30,open,04/15-10/30,,,,,,,,,,,,,,,,,,,80214,802,London Ranger District,Daniel Boone National Forest,555A,Paved Road,EX - EXISTING,{F45EE694-7175-4D56-9CD7-187F29F871D5},3,,0.0040644022359983
62,503,120010474,5252,5252,0.0,0.1,0.1,0.093,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,IMP - IMPROVED NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,80216,802,Stearns Ranger District,Daniel Boone National Forest,5252,"Road, Not Maintained for Passenger Car",EX - EXISTING,{4549AE0D-8930-4388-88B5-60EEB514ACC7},6,,0.0013209418332246
63,504,5030010454,1254.C,1254.C,0.0,1.7,1.7,1.756,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20609,206,Douglas Ranger District/Thunder Basin National Grassland,Medicine Bow-Routt National Forest,1254.C,"Road, Not Maintained for Passenger Car",EX - EXISTING,{58BF8700-3BD2-45D1-A04F-A4255A2D24C9},6,,0.0335905992262077
64,505,3545010454,226.1A,EAST HIGHWAY CS,0.0,0.11,0.11,0.111,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,4 - MODERATE DEGREE OF USER COMFORT,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20602,206,Brush Creek-Hayden Ranger District,Medicine Bow-Routt National Forest,226.1A,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{991CC312-2038-4B58-A2F7-B134D35E8EC1},4,,0.0018869281371095
65,506,2383010454,543.F,OLD 548.3 ROAD,0.0,2.0,2.0,2.033,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20605,206,Laramie Ranger District,Medicine Bow-Routt National Forest,543.F,"Road, Not Maintained for Passenger Car",EX - EXISTING,{FEA298AA-63EF-4152-BBF2-C875794FD5C3},6,,0.0339149556941269
66,507,2803010454,219.2L,CORTEZ SPUR 2L,0.0,0.1,0.1,0.106,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20602,206,Brush Creek-Hayden Ranger District,Medicine Bow-Routt National Forest,219.2L,"Road, Not Maintained for Passenger Car",EX - EXISTING,{E0671B59-F95F-4F60-8548-CD5D2DC4583D},6,,0.0019151687834347
67,508,1894010474,990,ZILPO REC. AREA LOOP G,0.0,0.5,0.5,0.504,4,"Roads open to highway legal vehicles only, Seasonal",FS - FOREST SERVICE,5 - HIGH DEGREE OF USER COMFORT,BST - BITUMINOUS SURFACE TREATMENT,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,04/15-10/15,open,04/15-10/15,open,04/15-10/15,open,04/15-10/15,open,04/15-10/15,,,,,,,,,,,,,,,,,,,80211,802,Cumberland Ranger District,Daniel Boone National Forest,990,Paved Road,EX - EXISTING,{CE1C6A46-F111-4D19-AB4C-A42D4A67581E},3,,0.0078914814058654
68,509,1020010474,39C,TUNNEL RIDGE LOT 3,0.0,0.2,0.2,0.172,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,3 - SUITABLE FOR PASSENGER CARS,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,80211,802,Cumberland Ranger District,Daniel Boone National Forest,39C,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{0AFDD5EF-3320-4819-ADCC-239A2AAADED4},4,,0.0029723073205033
69,510,811981010602,306.1B,UPPER FISH CREEK 1B,0.0,0.45,0.45,0.442,2,"Roads open to all Vehicles, Seasonal",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,open,07/01-12/01,20603,206,Hahns Peak-Bears Ears Ranger District,Medicine Bow-Routt National Forest,306.1B,"Road, Not Maintained for Passenger Car",EX - EXISTING,{E894D4AF-5A6C-492D-9BE7-06FACE908FB4},6,,0.0068355450495875
70,520,1821010474,382,BRUSHY RIDGE,0.0,1.85,1.85,1.811,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,80214,802,London Ranger District,Daniel Boone National Forest,382,"Road, Not Maintained for Passenger Car",EX - EXISTING,{62E85D20-B307-476A-B71A-00493568B65C},6,,0.0315362184613233
71,521,1692010474,2041,TOWN HOLLOW,0.0,1.1,1.1,0.901,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,80211,802,Cumberland Ranger District,Daniel Boone National Forest,2041,"Road, Not Maintained for Passenger Car",EX - EXISTING,{FA839248-A1FF-4965-B5EC-12582DA07DA8},6,,0.0135668537444059
72,555,218010357,2703000,CIRCLE CR,0.0,1.7,1.7,1.649,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,60502,605,Darrington Ranger District,Mt. Baker-Snoqualmie National Forest,2703000,"Road, Not Maintained for Passenger Car",EX - EXISTING,{85257FEE-8AAA-4B4A-BE76-6089D242E3E3},6,,0.0344469904878085
