,the_geom,OBJECTID,Rec_Type,Site_Num,Fac_Type,Loc_Id,Eff_Date,Region_Cod,Field_Offi,State_Post,State_Name,County,County_Pos,City,Fac_Name,Owner_Type,Fac_Use,Owner_Name,Owner_Addr,Owner_City,Owner_Phon,Manager_Na,Manager_Ad,Manager_Ci,Manager_Ph,Ref_Point_,Ref_Poin_1,Ref_Poin_2,Ref_Poin_3,Ref_Poin_4,Elevation,Elevation_,Mag_Var,Mag_Var_Ye,Pattern_Al,Sectional_,Dist_City_,Dir_City_T,Land_Area_,Boundary_A,Boundary_1,Boundary_2,Responsibl,Responsi_1,Responsi_2,Fss_On_Fac,Fss_Id,Fss_Name,Local_Phon,Toll_Free_,Alt_Fss_Id,Alt_Fss_Na,Toll_Fre_1,Notam_Wx_F,Notam_DSer,Activation,Status_Cod,Arff_Cert_,Npias_Fed_,Airspace_A,Intl_Custo,Intl_Cus_1,Mil_Joint_,Mil_Landin,Inspection,Agency_Ins,Last_Inspe,Last_Info_,Fuel_Types,Repair_Ser,Power_Plan,Bottled_Ox,Bulk_Oxyge,Lighting_S,Beacon_Lig,Atc_Tower,Unicom,Ctaf,Seg_Circle,Beacon_Col,Landing_Fe,Medical_Fa,Based_Sing,Based_Mult,Based_Jet_,Based_Heli,Based_Glid,Based_Mili,Based_Ultr,Commercial,Commuter_O,Air_Taxi_O,Ga_Local_O,Ga_Itinera,Mitary_Ops,Annual_Ops,Position_S,Position_1,Elevatio_1,Elevatio_2,Contract_F,Transient_,Other_Serv,Wind_Indic,Icao_Ident,Min_Op_Net,Filler
32,POINT (-88.83522222235626 41.11337222185545),5811,APT,05017.01*H,HELIPORT,IS29,7/16/2020,AGL,CHI,IL,ILLINOIS,LA SALLE,IL,STREATOR,OSF CENTER FOR HEALTH - STREATOR,PR,PR,OSF HEALTHCARE SYSTEM,111 SPRING ST,"STREATOR, IL 61364",815-673-2311,HARRY GODFREY,111 SPRING ST,"STREATOR, IL 61364",815-673-4512,41-06-48.1400N,148008.1400N,088-50-06.8000W,319806.8000W,E,639.0,E,03W,2020.0,,CHICAGO,3.0,NE,,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,,IKK,KANKAKEE,,1-800-WX-BRIEF,,,,FDC,N,Jul-80,O,,,OBJECTIONABLE,,,,,2,N,,3142019.0,,,,,,,,N,,,N,,,Y,,,,,,,,,,,,,,,STATE,12/4/2009,OWNER,8/8/2008,,,,Y-L,,N,
33,POINT (-89.36499999963266 41.934166667128196),5660,APT,04922.933*H,HELIPORT,31LL,7/16/2020,AGL,CHI,IL,ILLINOIS,OGLE,IL,OREGON,WILCO,PR,PR,KEITH WILSON,6931 N. OLCOTT,"CHICAGO, IL 60631",773-491-5951,KEITH WILSON,6931 N. OLCOTT,"CHICAGO, IL 60631",773-491-5951,41-56-03.0000N,150963.0000N,089-21-54.0000W,321714.0000W,E,805.0,E,,,,CHICAGO,5.0,S,,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,,IKK,KANKAKEE,,1-800-WX-BRIEF,,,,,,Jun-13,O,,,CONDITIONAL,,,,,2,N,,2202020.0,,,,,,,,N,,,,,,,,,,1.0,,,,,,,,,,,OWNER,8/3/2011,OWNER,8/3/2011,,,,Y,,N,
34,POINT (-117.16995277783047 33.614694443827155),2200,APT,01931.62*H,HELIPORT,40CN,7/16/2020,AWP,LAX,CA,CALIFORNIA,RIVERSIDE,CA,MURRIETA,LOMA LINDA UNIV MED CTR-MURRIETA,PR,PR,LOMA LINDA UNIV. MED CTR-MURRIETA,"28062 BAXTER ROAD, STE. 140","MURRIETA, CA 92563",951-290-4000,EHREN NGO,101 E REDLANDS BLVD,"SAN BERNARDINO, CA 92408",(909) 2651-4019,33-36-52.9000N,121012.9000N,117-10-11.8300W,421811.8300W,E,1576.0,E,,,,LOS ANGELES,6.0,SW,,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,,RAL,RIVERSIDE,,1-800-WX-BRIEF,,,,,,Oct-11,O,,,CONDITIONAL,,,,,2,N,,4132019.0,,,,,,SEE RMK,SEE RMK,N,,,,CGY,,Y,,,,,,,,,,,,,,,STATE,3/4/2016,OWNER,9/15/2011,,,,Y-L,,N,
35,POINT (145.63027777773104 14.962500000297457),3022,APT,51531.01*H,HELIPORT,HI64,7/16/2020,AWP,HNL,CQ,N MARIANA ISLANDS,NORTHERN MARIANA IS,MP,SAN JOSE TINIAN,TINIAN DYNASTY,PR,PR,TINIAN DYNASTY HOTEL,P.O. BOX 7688 SVRB,"SAIPAN, MP 96950",670-234-7000,RUFUS CROWE,P.O. BOX 7688 SVRB,"SAIPAN, MP 96950",670-234-1304,14-57-45.0000N,053865.0000N,145-37-49.0000E,524269.0000E,E,175.0,E,02E,1990.0,,GNC 7,4.0,E,,ZHN,ZHN,HONOLULU CONTROL FACILITY,ZHN,ZHN,HONOLULU CONTROL FACILITY,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,,N,Nov-91,O,,,CONDITIONAL,,,,,2,N,,11012011.0,,,,,,,,N,,,N,,,,3.0,1.0,,4.0,,,,,,,,,,,OWNER,11/1/2011,,,,,,Y,,N,
36,POINT (-88.53342055617375 42.12669111073581),5438,APT,04720.12*A,AIRPORT,7IL7,7/16/2020,AGL,CHI,IL,ILLINOIS,KANE,IL,HAMPSHIRE,EDWARD GETZELMAN,PR,PR,EDWARD L. GETZELMAN,46W861 BIG TIMBER RD,"HAMPSHIRE, IL 60140",(847) 254-2238,,,,,42-07-36.0880N,151656.0880N,088-32-00.3140W,318720.3140W,E,870.0,E,00W,1985.0,,CHICAGO,2.0,N,,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,IKK,KANKAKEE,,1-800-WX-BRIEF,,,,,N,Nov-73,O,,,CONDITIONAL,,,,,2,N,,4272019.0,,NONE,NONE,,,,,N,,,N,,,,1.0,,,,,,,,,,,,,,,,,,,,,Y,,N,
37,POINT (-90.99631944428621 36.28925000011347),1323,APT,01144.71*H,HELIPORT,AR53,7/16/2020,ASW,AOK,AR,ARKANSAS,RANDOLPH,AR,POCAHONTAS,FIVE RIVERS MEDICAL CENTER,PR,PR,FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,"POCAHONTAS, AR 72455",870-892-6000,LUTHER LEWIS,2801 MEDICAL CENTER DRIVE,"POCAHONTAS, AR 72455",870-892-6200,36-17-21.3000N,130641.3000N,090-59-46.7500W,327586.7500W,E,433.0,E,03E,1985.0,,ST LOUIS,1.0,NW,,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,,JBR,JONESBORO,,1-800-WX-BRIEF,,,,,N,Feb-87,O,,,NO OBJECTION,,,,,2,N,,12062017.0,,,,,,,,N,,,N,,,Y,,,,1.0,,,,,,,,,,,FAA-EST IMAGERY,5/13/2013,,,,,,Y,,N,
38,POINT (-113.2308888890609 36.25649999991267),1666,APT,00823.6*A,AIRPORT,1Z1,7/16/2020,AWP,PHX,AZ,ARIZONA,MOHAVE,AZ,WHITMORE,GRAND CANYON BAR TEN AIRSTRIP,PR,PU,GRAND CANYON BAR TEN RANCH,PO BOX 910088,"ST GEORGE, UT 84791",435-628-4010,GAVIN HEATON,PO BOX 910088,"ST GEORGE, UT 84791",435-628-4010,36-15-23.4000N,130523.4000N,113-13-51.2000W,407631.2000W,E,4100.0,E,14E,1980.0,,LAS VEGAS,60.0,SE,100.0,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,,PRC,PRESCOTT,,1-800-WX-BRIEF,,,,PRC,Y,Nov-86,O,,,CONDITIONAL,,,,,S,C,4292019.0,10011988.0,,,,,,,,N,,122.9,N,,Y,,,,,0.0,,,,,,0.0,0.0,2000.0,,4/29/2019,FAA-EST,7/2/2007,,,,,,Y,,N,
39,POINT (-87.86352499998146 42.25414999992416),5510,APT,04792.3*H,HELIPORT,45IL,7/16/2020,AGL,CHI,IL,ILLINOIS,LAKE,IL,LAKE FOREST,NORTHWESTERN LAKE FOREST HOSPITAL,PR,PR,NORTHWESTERN LAKE FOREST HOSPITAL,1000 N. WESTMORELAND ROAD,"LAKE FOREST, IL 60045",847-234-5600,DON COLBERT,1000 N. WESTMORELAND ROAD,"LAKE FOREST, IL 60045",(847) 535-6565,42-15-14.9400N,152114.9400N,087-51-48.6900W,316308.6900W,E,680.0,E,01W,1985.0,,CHICAGO,3.0,W,,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,IKK,KANKAKEE,,1-800-WX-BRIEF,,,,,N,Feb-89,O,,,CONDITIONAL,,,,,2,N,,5192020.0,,,,,,SEE RMK,,N,,,N,,,Y,,,,,,,,,,,,,,,STATE,9/2/2016,,,,,,Y-L,,N,
40,POINT (-89.69325000005583 40.66419444390202),5687,APT,04938.*A,AIRPORT,PIA,7/16/2020,AGL,CHI,IL,ILLINOIS,PEORIA,IL,PEORIA,GENERAL DOWNING - PEORIA INTL,PU,PU,METROPOLITAN ARPT AUTH OF PEORIA,6100 WEST  E.M. DIRKSEN PKWY,"PEORIA, IL 61607",309-697-8272,GENE OLSON,6100 WEST  E.M. DIRKSEN PKWY,"PEORIA, IL 61607",309-697-8272,40-39-51.1000N,146391.1000N,089-41-35.7000W,322895.7000W,E,660.70001221,S,02W,2015.0,,CHICAGO,4.0,W,3800.0,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,IKK,KANKAKEE,,1-800-WX-BRIEF,,,,PIA,Y,Apr-40,O,I B S 05/1973,NGY,NO OBJECTION,N,Y,N,Y,F,F,3222019.0,,100LLA    A++,MAJOR,MAJOR,NONE,HIGH/LOW,,SS-SR,Y,122.95,,N,CG,N,,41.0,5.0,6.0,3.0,,14.0,,3946.0,,11659.0,4173.0,11128.0,5936.0,12/31/2018,3RD PARTY SURVEY,6/12/2014,3RD PARTY SURVEY,6/12/2014,,"HGR,TIE","CHTR,INSTR,RNTL,SALES",Y-L,KPIA,N,
41,POINT (-87.95987111083389 30.675475832690978),1037,APT,00519.*C,SEAPLANE BASE,AL58,7/16/2020,ASO,JAN,AL,ALABAMA,BALDWIN,AL,SPANISH FORT,LOWER DELTA,PR,PR,DAVID DEKLE,8330 NICHOLS AVE,"FAIRHOPE, AL 36532",251-626-2188,WARD HOUSE,258 ROLLING HILL DR,"DAPHNE, AL 36526",850-960-9900,30-40-31.7130N,110431.7130N,087-57-35.5360W,316655.5360W,E,0.0,,,,,NEW ORLEANS,4.0,W,11.0,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,,ANB,ANNISTON,,1-800-WX-BRIEF,,,,,N,Jul-06,O,,,CONDITIONAL,,,,,2,N,,7142008.0,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,OWNER,3/19/2009,,,,,,,,N,
42,POINT (-104.41403333298693 39.30321666728325),2823,APT,02646.85*A,AIRPORT,0CO5,7/16/2020,ANM,DEN,CO,COLORADO,ELBERT,CO,KIOWA,WECKER FARMS,PR,PR,RICK WECKER,13522 RANGEVIEW PLACE,"KIOWA, CO 80117",303-621-2884,RICK WECKER,13522 RANGEVIEW PLACE,"KIOWA, CO 80117",303-621-2884,39-18-11.5800N,141491.5800N,104-24-50.5200W,375890.5200W,E,6565.0,E,,,,DENVER,5.0,SE,42.0,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,,DEN,DENVER,,1-800-WX-BRIEF,,,,,,May-12,O,,,NO OBJECTION,,,,,2,N,,8272009.0,,,,,,,,N,,,,,,,1.0,,,,,,,,,,,,,,OWNER,8/27/2009,OWNER,8/27/2009,,,,Y,,N,
43,POINT (-105.60388916736167 38.41083055580487),2631,APT,02532.01*A,AIRPORT,CO19,7/16/2020,ANM,DEN,CO,COLORADO,FREMONT,CO,CANON CITY,TEZAK,PR,PR,TEZAK CONTRUCTION CO INC,PO BOX 398,"COTOPAXI, CO 81223",303-275-3110,EDWARD J TEZAK JR,PO BOX 398,"COTOPAXI, CO 81223",303-275-3110,38-24-38.9900N,138278.9900N,105-36-14.0010W,380174.0010W,E,6280.0,E,12E,1985.0,,DENVER,18.0,W,,ZDV,ZCD,DENVER,ZDV,ZCD,DENVER,N,DEN,DENVER,,1-800-WX-BRIEF,,,,,N,Dec-76,O,,,NOT ANALYZED,,,,,2,N,,5011986.0,,,,,,,,N,,,N,,N,,1.0,,,1.0,,,,,,,,,,,,,,,,,,Y,,N,
44,POINT (-84.99996777807526 40.89949194386123),6086,APT,05352.*A,AIRPORT,8II5,7/16/2020,AGL,CHI,IN,INDIANA,ADAMS,IN,HOAGLAND,HOLT FIELD,PR,PR,RONNIE HOLT,10875 N 300 WEST,"DECATUR, IN 46733",260-728-9839,RONNIE HOLT,10875 N 300 WEST,"DECATUR, IN 46733",260-728-9839,40-53-58.1710N,147238.1710N,084-59-59.8840W,305999.8840W,E,790.0,E,03W,1985.0,,CHICAGO,3.0,S,3.0,ZAU,ZCG,CHICAGO,ZAU,ZCG,CHICAGO,N,HUF,TERRE HAUTE,,1-800-WX-BRIEF,,,,,N,Jun-85,O,,,NO OBJECTION,,,,,2,N,,7182016.0,,,,,,,,N,,,N,,,,1.0,,,,,,,,,,,,,,,,,,,,,Y,,N,
45,POINT (-85.7499308331079 30.184923888738954),3874,APT,03430.11*C,SEAPLANE BASE,4FD4,7/16/2020,ASO,ORL,FL,FLORIDA,BAY,FL,PANAMA CITY,BAY SEAPLANES,PR,PR,RICHARD GREGG,3939 W. HWY 388,"SOUTHPORT, FL 32409",850-234-1532,RICHARD GREGG,3939 W. HWY 388,"SOUTHPORT, FL 32409",850-234-1532,30-11-05.7260N,108665.7260N,085-44-59.7510W,308699.7510W,E,0.0,E,00E,1985.0,,NEW ORLEANS,4.0,SW,,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,,GNV,GAINESVILLE,,1-800-WX-BRIEF,,,,,N,Mar-88,O,,,CONDITIONAL,,,,,2,N,,3192003.0,100LL,,,,,,,N,,,N,,,,1.0,,,,,,,,,,,,,,OWNER,,OWNER,,,,,Y,,N,
46,POINT (-85.258611110836 34.16777777833824),4189,APT,03710.*A,AIRPORT,53GA,7/16/2020,ASO,ATL,GA,GEORGIA,FLOYD,GA,CAVE SPRING,DAWSON FIELD,PR,PR,"HARRY E. DAWSON, JR.",212 CUNNINGHAM ROAD SW,"ROME, GA 30161-4233",706-767-0777,"HARRY E. DAWSON, JR.",212 CUNNINGHAM ROAD SW,"ROME, GA 30161-4233",706-767-0777,34-10-04.0000N,123004.0000N,085-15-31.0000W,306931.0000W,E,675.0,E,02W,1995.0,,ATLANTA,6.0,NW,25.0,ZTL,ZCT,ATLANTA,ZTL,ZCT,ATLANTA,,MCN,MACON,,1-800-WX-BRIEF,,,,,,May-99,O,,,CONDITIONAL,,,,,2,N,,3132020.0,,,,,,,,N,,,N,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,Y,,N,
47,POINT (-111.05691666662759 33.64090833333705),1587,APT,00780.2*A,AIRPORT,88AZ,7/16/2020,AWP,PHX,AZ,ARIZONA,GILA,AZ,ROOSEVELT,GRAPEVINE AIRSTRIP,PU,PR,"U.S. FOREST SERV, TONTO NATL FOREST","TONTO BASIN DISTRICT, 28079 N. AZ HWY 188","ROOSEVELT, AZ 85545",(602) 225-5395,"U.S. FOREST SERV, TONTO NATL FOREST","TONTO BASIN DISTRICT, 28079 N. AZ HWY 188","ROOSEVELT, AZ 85545",(602) 225-5395,33-38-27.2700N,121107.2700N,111-03-24.9000W,399804.9000W,E,2329.0,E,11E,2015.0,,PHOENIX,5.0,SE,,ZAB,ZCA,ALBUQUERQUE,ZAB,ZCA,ALBUQUERQUE,,PRC,PRESCOTT,,1-800-WX-BRIEF,,,,,,Nov-16,O,,,CONDITIONAL,,,,,,N,,4012020.0,,,,,,,,N,,122.9,Y,,,,,,,,,,,,,,,,,,OWNER,11/15/2016,OWNER,11/15/2016,N,,,Y,,N,
48,POINT (-114.04672222204529 36.09322222217267),1502,APT,00728.8*A,AIRPORT,L25,7/16/2020,AWP,PHX,AZ,ARIZONA,MOHAVE,AZ,MEADVIEW,PEARCE FERRY,PU,PU,NATIONAL PARK SERVICE,601 NEVADA HIGHWAY,"BOULDER CITY, NV 89005",(702) 293-2011,SCOTT TAYLOR,601 NEVADA HIGHWAY,"BOULDER CITY, NV 89005",(702) 293-2011,36-05-35.6000N,129935.6000N,114-02-48.2000W,410568.2000W,E,2941.0,E,14E,1985.0,,LAS VEGAS,3.0,N,8.0,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,PRC,PRESCOTT,,1-800-WX-BRIEF,,,,PRC,Y,Oct-80,O,,,CONDITIONAL,,,,,S,C,4262019.0,10071980.0,,,,,,,,N,,122.9,,,N,,,,,,,,,,,200.0,,100.0,,4/26/2019,FAA-EST,7/2/2007,,,,,,Y,,N,
49,POINT (-81.33694444411802 32.44888888886366),4202,APT,03723.1*A,AIRPORT,9GA1,7/16/2020,ASO,ATL,GA,GEORGIA,EFFINGHAM,GA,CLYO,BRIAR PATCH,PR,PR,TIM O'NEILL,547 GREEN MORGAN SCHOOL ROAD,"CLYO, GA 31303",(912) 754-7547,TIM O'NEILL,547 GREEN MORGAN SCHOOL ROAD,"CLYO, GA 31303",(912) 754-7547,32-26-56.0000N,116816.0000N,081-20-13.0000W,292813.0000W,E,100.0,E,05W,1995.0,,ATLANTA,4.0,SW,45.0,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,MCN,MACON,,1-800-WX-BRIEF,,,,,N,Feb-98,O,,,CONDITIONAL,,,,,2,N,,6012019.0,,,,,,,,N,,,N,,,,3.0,,,,,,4.0,,,,,,,,,,,,,,,Y,,N,
50,POINT (-121.28786111116342 37.970197221736186),2453,APT,02315.19*H,HELIPORT,CN48,7/16/2020,AWP,SFO,CA,CALIFORNIA,SAN JOAQUIN,CA,STOCKTON,ST JOSEPH'S MEDICAL CENTER,PR,PR,ST JOSEPH-S MEDICAL CENTER,1800 NORTH CALIFORNIA ST,"STOCKTON, CA 95207",906-943-2000,KEN BLACK,1800 NORTH CALIFORNIA ST,"STOCKTON, CA 95207",209-461-5193,37-58-12.7100N,136692.7100N,121-17-16.3000W,436636.3000W,E,47.0,E,13E,2020.0,,SAN FRANCISCO,1.0,NNE,,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,,,May-18,O,,,NO OBJECTION,,,,,,N,,2112020.0,,,,,,SEE RMK,SEE RMK,N,,,,CY,,Y,,,,1.0,,,,,,,,,,,OWNER,4/6/2018,OWNER,4/6/2018,,,,Y-L,,N,
51,POINT (-88.12747222243657 32.11930555635632),810,APT,00199.1*A,AIRPORT,09A,7/16/2020,ASO,JAN,AL,ALABAMA,CHOCTAW,AL,BUTLER,BUTLER-CHOCTAW COUNTY,PU,PU,CHOCTAW COUNTY,117 SOUTH MULBERRY/SUITE 9,"BUTLER, AL 36904",205-459-2417,TYLER DAVIDSON,"117 SOUTH MULBERRY, SUITE 12","BUTLER, AL 36904",(205) 459-2153,32-07-09.5000N,115629.5000N,088-07-38.9000W,317258.9000W,E,133.69999695,S,03W,2020.0,,MEMPHIS,5.0,NE,80.0,ZTL,ZCT,ATLANTA,ZME,ZCM,MEMPHIS,N,ANB,ANNISTON,,1-800-WX-BRIEF,,,,ANB,Y,Apr-69,O,,N,NO OBJECTION,N,N,N,N,S,S,10242019.0,,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,360.0,1560.0,,10/11/2019,3RD PARTY SURVEY,11/25/2014,3RD PARTY SURVEY,11/25/2014,,TIE,,Y-L,,N,
52,POINT (-155.50222222222 20.083603333379514),4561,APT,52149.*A,AIRPORT,HI05,7/16/2020,AWP,HNL,HI,HAWAII,HAWAII,HI,HONOKAA,HONOKAA AIRSTRIP,PR,PR,HAMAKUA SUGAR COMPANY,PO BOX 250,"PAAUILO, HI 96776",808-776-1511,ERNEST BOUVET,PO BOX 250,"PAAUILO, HI 96776",808-776-1511,20-05-00.9720N,072300.9720N,155-30-08.0000W,559808.0000W,E,1440.0,E,11E,1985.0,,HAWAIIAN ISLANDS,3.0,W,,ZHN,ZHN,HONOLULU CONTROL FACILITY,ZHN,ZHN,HONOLULU CONTROL FACILITY,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,,N,Mar-59,O,,,NO OBJECTION,,,N,N,2,N,,4191994.0,,NONE,NONE,,,,,N,,,N,,N,,,,,,,,,,,,,,,,,,,,,,,N,,N,
53,POINT (-81.24622222172883 31.98437472188954),4448,APT,03992.13*A,AIRPORT,GA39,7/16/2020,ASO,ATL,GA,GEORGIA,CHATHAM,GA,SAVANNAH,HODGES AIRPARK,PR,PR,ROBERT J. HODGES,500 HINESVILLE ROAD,"SAVANNAH, GA 31405",912-925-3664,ROBERT J. HODGES,500 HINESVILLE ROAD,"SAVANNAH, GA 31405",912-925-3664,31-59-03.7490N,115143.7490N,081-14-46.4000W,292486.4000W,E,10.0,E,04W,1985.0,,JACKSONVILLE,6.0,SW,60.0,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,MCN,MACON,,1-800-WX-BRIEF,,,,,N,Jan-76,O,,,CONDITIONAL,,,,,2,N,,3142019.0,,,,,,,,N,,,N,,N,,18.0,1.0,,,,,2.0,,,,,,,,,,,,,,,Y,,N,
54,POINT (-82.5543888892393 27.395444443899507),3963,APT,03484.*A,AIRPORT,SRQ,7/16/2020,ASO,ORL,FL,FLORIDA,SARASOTA,FL,SARASOTA/BRADENTON,SARASOTA/BRADENTON INTL,PU,PU,SARASOTA MANATEE ARPT AUTHORITY,6000 AIRPORT CIRCLE,"SARASOTA, FL 34243-2105",(941) 359-2770,FREDERICK J. PICCOLO,6000 AIRPORT CIRCLE,"SARASOTA, FL 34243-2105",941-359-5200,27-23-43.6000N,098623.6000N,082-33-15.8000W,297195.8000W,E,29.89999962,S,05W,2010.0,,MIAMI,3.0,N,1102.0,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,PIE,SAINT PETERSBURG,,1-800-WX-BRIEF,,,,SRQ,Y,Apr-42,O,I C S 05/1973,NGRVY3,NO OBJECTION,N,N,N,Y,F,F,1242019.0,,100LLA    A+,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,120.1,N,CG,N,,196.0,32.0,73.0,13.0,,,0.0,16726.0,,10475.0,37082.0,63307.0,2048.0,11/30/2019,3RD PARTY SURVEY,5/11/2016,3RD PARTY SURVEY,5/11/2016,,"HGR,TIE","AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KSRQ,N,
55,POINT (-120.63018277758248 36.96244722202946),1880,APT,01516.*A,AIRPORT,28CA,7/16/2020,AWP,SFO,CA,CALIFORNIA,MERCED,CA,DOS PALOS,DOS PALOS,PR,PR,SPAIN AIR INC.,BOX 217,"DOS PALOS, CA 93620",209-392-2120,RANDY SPAIN,BOX 217,"DOS PALOS, CA 93620",209-392-2120,36-57-44.8100N,133064.8100N,120-37-48.6580W,434268.6580W,E,118.0,S,15E,1985.0,800.0,SAN FRANCISCO,2.0,S,40.0,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,N,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,,N,Dec-45,O,,,NOT ANALYZED,,,,,2,N,8011984.0,3142019.0,,NONE,NONE,NONE,NONE,,,N,,,N,,N,,0.0,,,,,,,,,,13000.0,200.0,,8/1/1984,,,,,,,AGRI,Y,,N,
56,POINT (-90.14331944380707 38.699966667321824),5423,APT,04698.3*H,HELIPORT,38LL,7/16/2020,AGL,CHI,IL,ILLINOIS,MADISON,IL,GRANITE CITY,GATEWAY RGNL MEDICAL CENTER,PR,PR,"GRANITE CITY IL HOSP CO, LLC",2100 MADISON AVE,"GRANITE CITY, IL 62040",618-798-3000,RICK WOLF,"GATEWAY REGIONAL MEDICAL CENTER, 2100 MADISON AVE","GRANITE CITY, IL 62040",(618) 781-3215,38-41-59.8800N,139319.8800N,090-08-35.9500W,324515.9500W,E,425.0,E,00E,2000.0,,KANSAS CITY,0.0,E,,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,,STL,SAINT LOUIS,,1-800-WX-BRIEF,,,,,,Jun-01,O,,,CONDITIONAL,,,,,2,N,,3192020.0,,,,,,SS-SR,SS-SR,N,,,N,CGY,,Y,,,,,,,,,,,,,,,FAA-EST IMAGERY,4/2/2016,,,,,,Y-L,,N,
57,POINT (-91.83095472188143 36.3559080557973),1338,APT,01163.*A,AIRPORT,7M9,7/16/2020,ASW,AOK,AR,ARKANSAS,FULTON,AR,SALEM,SALEM,PU,PU,CITY OF SALEM,PO BOX 619,"SALEM, AR 72576",870-895-3478,ELBERT LAYNE,PO BOX 1015,"SALEM, AR 72576",(870) 371-0756,36-21-21.2690N,130881.2690N,091-49-51.4370W,330591.4370W,E,786.70001221,S,03E,1990.0,,KANSAS CITY,1.0,S,127.0,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,N,JBR,JONESBORO,,1-800-WX-BRIEF,,,,JBR,Y,Nov-69,O,,,NO OBJECTION,N,N,,,S,S,4032019.0,,100LL,,,NONE,NONE,SEE RMK,SS-SR,N,,122.9,N,CG,N,,8.0,,,,,,2.0,,,,1500.0,1500.0,150.0,3/31/2019,,,,,,TIE,,Y-L,,N,
58,POINT (-118.4157694440021 33.4049972220707),1719,APT,01276.*A,AIRPORT,AVX,7/16/2020,AWP,LAX,CA,CALIFORNIA,LOS ANGELES,CA,AVALON,CATALINA,PR,PU,SANTA CATALINA IS CONSERVANCY,BOX 2739,"AVALON, CA 90704",310-510-2595,JUSTIN BOLLUM,BOX 2739,"AVALON, CA 90704",310-510-0143,33-24-17.9900N,120257.9900N,118-24-56.7700W,426296.7700W,E,1602.0,E,14E,1980.0,,LOS ANGELES,6.0,NW,25.0,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,AVX,Y,Jun-41,O,,N,NOT ANALYZED,N,N,N,N,S,S,12062017.0,,,NONE,NONE,NONE,NONE,SEE RMK,,N,122.7,122.7,Y,,Y,,6.0,,,,,,,,,2266.0,1125.0,13032.0,50.0,11/30/2017,ADO,8/4/2009,ADO,8/4/2009,,TIE,,Y-L,KAVX,N,
59,POINT (-118.44666666672109 34.18333333281083),2095,APT,01817.02*H,HELIPORT,43L,7/16/2020,AWP,LAX,CA,CALIFORNIA,LOS ANGELES,CA,LOS ANGELES,VAN NUYS COUNTY COURT,PU,PR,COUNTY OF LOS ANGELES,4700 RAMONA BLVD,"MONTEREY PARK, CA 91754-2169",,ROBERT RENTERIA,"LA COUNTY SHERIFF AERO BUREAU, 3235 LAKEWOOD BLVD","LONG BEACH, CA 90808",562-421-2701,34-11-00.0000N,123060.0000N,118-26-48.0000W,426408.0000W,E,850.0,E,14E,1985.0,,LOS ANGELES,0.0,N,,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,,N,Sep-72,O,,,CONDITIONAL,,,N,N,2,N,,7252016.0,,NONE,NONE,,,,,N,,,N,,N,,,,,,,,,,,,,,,,OWNER,5/26/1992,OWNER,5/26/1992,,,,Y,,N,
