,the_geom,Order Number,Borough,On Street,From Street,To Street,Side of the Street,Sign Description,Relief Stand,Space Count,Shape Length
86,"MULTILINESTRING ((-73.99386140150551 40.762335892856406, -73.9939070388865 40.76235486440331, -73.99396937819822 40.76238077879557, -73.99403215094539 40.76240754325256, -73.99417931801048 40.76247054286171, -73.99417949210005 40.76247061671185, -73.99417985212199 40.76247076981578, -73.9941802109596 40.76247092201914, -73.99418056979725 40.762471074222525, -73.99418093455634 40.762471229127684, -73.99418129457824 40.762471382231595, -73.99418166052159 40.76247153713685, -73.99418201343781 40.76247168753888, -73.99418237819685 40.76247184244408, -73.9941827453245 40.76247199824982, -73.99418309705644 40.7624721477513, -73.99418346063123 40.762472301755906, -73.99418382775889 40.76247245756169, -73.99424608552356 40.76249890669927))",S-01414577,Manhattan,WEST 46 STREET,11 AVENUE,10 AVENUE,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,6,121.999848218
87,"MULTILINESTRING ((-74.00249730765944 40.75018064968768, -74.00267831114924 40.749933716080726))",S-285917,Manhattan,10 AVENUE,WEST 26 STREET,WEST 27 STREET,W,TAXI;PERSON; CHAIR;TABLE ;CUP & SAUCER ( SYMBOLS ) TAXI-1 HOUR LIMIT RELIEF STAND <--->,TAXI,5,102.999959622
88,"MULTILINESTRING ((-73.99145983061136 40.757021055626815, -73.99051720555721 40.756610242608))",S-298454,Manhattan,WEST 41 STREET,8 AVENUE,9 AVENUE,S,TAXI/FHV RELIEF STAND 1 HOUR LIMIT NO PARKING ANYTIME EXCEPT TAXIS/FHV'S <----->,TAXI/FHV,15,300.999556579
89,"MULTILINESTRING ((-73.95447654376376 40.813211781115086, -73.95398735533227 40.81300476878785))",S-01568826,Manhattan,WEST 127 STREET,MORNINGSIDE AVENUE,WEST 126 STREET,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,7,155.000017363
90,"MULTILINESTRING ((-73.94649555707443 40.74957019243998, -73.94607846114022 40.750051457159685))",S-01509629,Queens,21 STREET,44 AVENUE,43 AVENUE,E,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,TAXI/FHV,10,209.999445676
91,"MULTILINESTRING ((-73.92940546919174 40.81246685163362, -73.92941337349183 40.81246341387065, -73.92943854724217 40.81245247022364, -73.92948207658186 40.81243355038533, -73.92953294528527 40.8124118884987, -73.92958381395555 40.812390226589564, -73.92963469444483 40.81236856466508, -73.92964648315802 40.81236354438086, -73.9296855630489 40.812346902710885, -73.92968982699912 40.812345086306024, -73.92973644348146 40.81232523173642, -73.92979612171358 40.81230019823559, -73.92985579990076 40.812275164703806, -73.92991547804311 40.812250131140964, -73.92996683820489 40.81222858642586))",S-01260539,Bronx,PARK AVENUE,EAST 135 STREET,EAST 138 STREET,E,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT 7AM-10PM ALL DAYS -->,TAXI,8,177.999980186
92,"MULTILINESTRING ((-73.92958797374203 40.81255856996212, -73.92959518540093 40.812553340673915, -73.9296651160092 40.812505891110526, -73.92973708318746 40.81246024374087, -73.92981100393425 40.81241643453057, -73.9298669597649 40.81238548696004, -73.92988679523 40.81237451745523, -73.92993281364598 40.812350805611196, -73.92996438591746 40.81233453749292, -73.9300436811357 40.81229653960736, -73.93012459787687 40.812260568769595, -73.930207041291 40.81222666093873, -73.93024681703807 40.812209678210984))",S-01284042,Bronx,PARK AVENUE,EAST 135 STREET,EAST 138 STREET,W,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,11,222.999326313
93,"MULTILINESTRING ((-73.99224025199204 40.66590871097845, -73.99226067857197 40.6658839787856, -73.99229580704726 40.665841467789136, -73.99233093547882 40.66579894777661, -73.9923660520395 40.665756427752356, -73.99236884338436 40.66575304740089))",S-01537537,Brooklyn,4 AVENUE,PROSPECT AVENUE,16 STREET,E,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT MONDAY-FRIDAY 8AM-6PM -->,TAXI/FHV,3,66.9997865619
94,"MULTILINESTRING ((-73.94087863186571 40.75817888570499, -73.9408797568153 40.7581789853379, -73.94088088174885 40.758179102980876, -73.94088200665048 40.758179256644034, -73.94088311968567 40.75817943731625, -73.94088422084636 40.75817965400255, -73.94088532199108 40.75817988869895, -73.9408863994188 40.758180159403366, -73.9408874768226 40.758180457122855, -73.94088853051743 40.75818078184538, -73.9408895723458 40.75818113357696, -73.94094379399942 40.75820033313997, -73.94095892396196 40.75820570790569, -73.94099844183903 40.75821973100675, -73.94105308971052 40.75823912884751, -73.94110773761383 40.75825852666234, -73.94111117323506 40.75825974590153, -73.94116238555688 40.75827791544616, -73.94122382896957 40.75829976605019, -73.94128528426504 40.75832161662742, -73.9413467396088 40.758343458166756, -73.94140819498492 40.758365308678265, -73.94146963856676 40.758387150145865, -73.94148067236978 40.75839107294848, -73.9415169797407 40.75840398841999))",S-00078151,Queens,38 AVENUE,12 STREET,11 STREET,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT <->,TAXI,9,194.999488332
95,"MULTILINESTRING ((-73.89343892973903 40.74761431479673, -73.89344954472541 40.74761884516173, -73.89351004343072 40.74764466551574, -73.8935705339002 40.74767048222818, -73.89363103269923 40.74769630251841, -73.89368442015501 40.747719088708685))",P-01539076,Queens,BROADWAY,73 STREET,72 STREET,N,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,TAXI,3,78.0000765076
96,"MULTILINESTRING ((-73.88544831397994 40.8431315793049, -73.88538264513038 40.84345714602466))",S-01544495,Bronx,SOUTHERN BOULEVARD,EAST TREMONT AVENUE,EAST 178 STREET,E,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,TAXI/FHV,6,119.999723712
97,"MULTILINESTRING ((-73.9032309252437 40.86905294351924, -73.90325224979252 40.86906696040513, -73.90326329485397 40.869074221304466, -73.90334406495586 40.86912564928893))",P-01618993,Bronx,WEST KINGSBRIDGE ROAD,SEDGWICK AVENUE,WEBB AVENUE,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,2,40.9995821013
98,"MULTILINESTRING ((-73.91262279469501 40.820952599527864, -73.9126137562527 40.820967051051205, -73.9126030179813 40.82098421538204, -73.91257684937572 40.821026032614604, -73.91255069257916 40.82106785885491, -73.91254680469892 40.821074071133445))",S-01570939,Bronx,3 AVENUE,EAST 158 STREET,EAST 157 STREET,W,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,2,48.9999667527
99,"MULTILINESTRING ((-73.94428729986373 40.746677006237974, -73.94458808200963 40.746735234909984))",S-01533550,Queens,45 AVENUE,JACKSON AVENUE,23 STREET,S,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,TAXI/FHV,4,86.0003633873
