,Year,Value,Measure,Metric,Table,Source,Notes,MeasureNum,metricNum,date,id
46,2003,0.872,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2003_1_1
47,2002,0.721,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2002_1_1
48,2001,0.775,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2001_1_1
49,2000,0.899,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_2000_1_1
50,1999,0.543,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_1999_1_1
51,1998,0.452,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_1998_1_1
52,1997,0.613,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_1997_1_1
53,1996,0.651,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_1996_1_1
54,1995,0.54,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_1995_1_1
55,1994,0.534,Jet fuel kerosene,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMA_EPJK_PTG_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",1,1,,TET_3.1_0_1994_1_1
56,2022,3.951,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2022_1_2
57,2021,3.008,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2021_1_2
58,2020,2.168,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2020_1_2
59,2019,2.604,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2019_1_2
60,2018,2.719,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2018_1_2
61,2017,2.415,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2017_1_2
62,2016,2.143,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2016_1_2
63,2015,2.429,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2015_1_2
64,2014,3.358,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2014_1_2
65,2013,3.505,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2013_1_2
66,2012,3.618,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2012_1_2
67,2011,3.521,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2011_1_2
68,2010,2.782,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2010_1_2
69,2009,2.353,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2009_1_2
70,2008,3.246,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2008_1_2
71,2007,2.796,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2007_1_2
72,2006,2.572,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2006_1_2
73,2005,2.27,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2005_1_2
74,2004,1.852,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2004_1_2
75,2003,1.561,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2003_1_2
76,2002,1.345,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2002_1_2
77,2001,1.42,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2001_1_2
78,2000,1.484,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_2000_1_2
79,1999,1.136,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_1999_1_2
80,1998,1.03,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_1998_1_2
81,1997,1.199,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_1997_1_2
82,1996,1.199,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_1996_1_2
83,1995,1.111,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_1995_1_2
84,1994,1.075,"Motor gasoline (regular), all formulations",Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMM_EPMR_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",2,1,,TET_3.1_0_1994_1_2
85,2022,4.989,On-highway diesel,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMD_EPD2D_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",3,1,,TET_3.1_0_2022_1_3
86,2021,3.287,On-highway diesel,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMD_EPD2D_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",3,1,,TET_3.1_0_2021_1_3
87,2020,2.551,On-highway diesel,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMD_EPD2D_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",3,1,,TET_3.1_0_2020_1_3
88,2019,3.056,On-highway diesel,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMD_EPD2D_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",3,1,,TET_3.1_0_2019_1_3
89,2018,3.178,On-highway diesel,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMD_EPD2D_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",3,1,,TET_3.1_0_2018_1_3
90,2017,2.65,On-highway diesel,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMD_EPD2D_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",3,1,,TET_3.1_0_2017_1_3
91,2016,2.304,On-highway diesel,Current dollars,3.1,"U.S. Department of Energy, Energy Information Administration, available at https://www.eia.gov/opendata/qb.php (series id = EMD_EPD2D_PTE_NUS_DPG)","Regular motor gasoline (all formulations) and on-highway diesel fuel prices are retail prices and include taxes paid by the end-user. On-highway diesel does not include bio-diesel or other alternative fuels. Jet fuel prices are based on sales to end-users (sales made directly to the ultimate consumer, including bulk customers in agriculture, industry, and utility) but do not include tax. Railroad diesel fuel prices are the average price paid by freight railroads and include taxes paid. Data are annual average of monthly fuel prices.",3,1,,TET_3.1_0_2016_1_3
