,ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
55,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6001,ROCHDALE VILLAGE NORC (N60),ROCHDALE VILLAGE SOCIAL SERVICES INC,169-65 137TH AVENUE,JAMAICA,NY,11434,QUEENS,718-286-1541,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.672622,-73.770641,412.0,28.0,33402.0,4436348.0,4124950002.0,Springfield Gardens North,POINT (-73.770641 40.672622)
56,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N7301,VISION URBANA NORC (N73),VISION URBANA INC.,75 DELANCEY STREET,NEW YORK,NY,10002,MANHATTAN,646-626-9748,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.717466,-73.985004,103.0,1.0,1402.0,1089451.0,1003477501.0,Lower East Side,POINT (-73.985004 40.717466)
57,OLDER ADULT CENTER CONTRACTS,C1102,BRONXWORKS E. ROBERTS MOORE OAC (C11),BRONXWORKS INC,515 Jackson Avenue,BRONX,NY,10455,BRONX,718-665-5559,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.812353,-73.909401,201.0,8.0,35.0,2091284.0,2025570083.0,Mott Haven-Port Morris,POINT (-73.909401 40.812353)
58,OLDER ADULT CENTER CONTRACTS,W1503,INDEPENDENCE PLAZA (W15),GREENWICH HOUSE INC.,310 Greenwich Street,NEW YORK,NY,10013,MANHATTAN,212-267-0499,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.717604,-74.010667,101.0,1.0,39.0,1083243.0,1001420025.0,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.010667 40.717604)
59,ELDER ABUSE SERVICES CONTRACTS,1E401,JASA - ELDER JUSTICE - BK NORTH (1E4),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,202 Graham Avenue,BROOKLYN,NY,11206,BROOKLYN,212-273-5200,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.708879,-73.943443,301.0,34.0,493.0,3344974.0,3030260001.0,Bushwick South,POINT (-73.943443 40.708879)
60,OLDER ADULT CENTER CONTRACTS,C5301,OCEAN BAY CDC OLDER ADULT CENTER (C53),OCEAN BAY COMMUNITY DEVELOPMENT CORPORATION,57-17 Shore Front Parkway,FAR ROCKAWAY,NY,11693,QUEENS,718-945-8640,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.588954,-73.78843,414.0,31.0,97202.0,4536732.0,4159260001.0,Hammels-Arverne-Edgemere,POINT (-73.78843 40.588954)
61,OLDER ADULT CENTER CONTRACTS,C6904,EDIE WINDSOR SAGE CENTER (C69),SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,305 7th Avenue,NEW YORK,NY,10001,MANHATTAN,646-576-8669,Y,11:00,08:00,11:00,08:00,11:00,08:00,11:00,08:00,11:00,08:00,00:00,00:00,00:00,00:00,40.746817,-73.993655,105.0,3.0,95.0,1015060.0,1008037502.0,Midtown-Midtown South,POINT (-73.993655 40.746817)
62,OLDER ADULT CENTER CONTRACTS,W2404,WAGNER SATELLITE (W24),UNION SETTLEMENT ASSOCIATION,435 East 120th Street,NEW YORK,NY,10035,MANHATTAN,212-987-2980,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.798041,-73.932186,111.0,8.0,192.0,1081287.0,1018080001.0,East Harlem North,POINT (-73.932186 40.798041)
63,HOME DELIVERED MEAL SERVICE CONTRACTS,42G01,JASA HDM QN14 (42G),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,131 Beach 19th Street,FAR ROCKAWAY,NY,11691,QUEENS,718-769-7455,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.593761,-73.753207,414.0,31.0,99802.0,4301622.0,4158100055.0,Far Rockaway-Bayswater,POINT (-73.753207 40.593761)
64,OLDER ADULT CENTER CONTRACTS,C1104,BRONXWORKS HEIGHTS SC (C11),BRONXWORKS INC,200 West Tremont Avenue Bronx NY 10453,BRONX,NY,10453,BRONX,718-299-0300,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.851984,-73.916804,205.0,14.0,20502.0,2008966.0,2028770522.0,University Heights-Morris Heights,POINT (-73.916804 40.851984)
65,CASE MANAGEMENT SERVICES CONTRACTS,4MD01,QCH CMA QN 4 6 (4MD),QUEENS COMMUNITY HOUSE INC.,107-20 71 Road,FLUSHING,NY,11375,QUEENS,718-592-5757,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.720067,-73.843469,406.0,29.0,737.0,4533735.0,4032577501.0,Forest Hills,POINT (-73.843469 40.720067)
66,CAREGIVER SERVICES CONTRACTS,1K101,PSS - CAREGIVER - BX01-08 (1K1),PRESBYTERIAN SENIOR SERVICES,325 EAST 156 STREET,BRONX,NY,10451,BRONX,212-222-3132,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.821439,-73.917995,201.0,17.0,69.0,2091224.0,2024160001.0,Melrose South-Mott Haven North,POINT (-73.917995 40.821439)
67,TRANSPORTATION SERVICES CONTRACTS,53801,CASC - TRAN INDIVIDUAL RIDES - STATEN ISLAND (538),COMMUNITY AGENCY FOR SENIOR CITIZENS INC,120 Stuyvesant Place Suite 409,STATEN ISLAND,NY,10301,STATEN ISLAND,718-981-6226,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.642992,-74.076954,501.0,49.0,3.0,5000084.0,5000080060.0,West New Brighton-New Brighton-St. George,POINT (-74.076954 40.642992)
68,OLDER ADULT CENTER CONTRACTS,W1907,PSS KING TOWERS (W19),PRESBYTERIAN SENIOR SERVICES,50 LENOX AVENUE,NEW YORK,NY,10026,MANHATTAN,917-734-4452,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.799593,-73.951421,110.0,9.0,186.0,1083312.0,1015960001.0,Central Harlem South,POINT (-73.951421 40.799593)
69,OLDER ADULT CENTER CONTRACTS,W1505,WESTBETH (W15),GREENWICH HOUSE INC.,155 Bank Street,NEW YORK,NY,10014,MANHATTAN,212-255-5191,Y,00:00,00:00,09:00,06:00,09:00,06:00,09:00,06:00,09:00,05:00,09:00,01:00,00:00,00:00,40.736095,-74.009205,102.0,3.0,79.0,1012047.0,1006390001.0,West Village,POINT (-74.009205 40.736095)
70,LEGAL SERVICES CONTRACTS,1AA01,LSNYBX - LEGAL SERVICES - BX (1AA),LSNY-BRONX CORPORATION,349 EAST 149TH STREET,BRONX,NY,10451,BRONX,917-661-4500,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.81667,-73.919959,201.0,17.0,65.0,2000933.0,2023317501.0,Melrose South-Mott Haven North,POINT (-73.919959 40.81667)
71,LEGAL SERVICES CONTRACTS,40A01,JASA LEGAL SERVICES QN (40A),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,97-99 QUEENS BOULEVARD,FLUSHING,NY,11374,QUEENS,718-286-1500,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.728595,-73.858133,406.0,29.0,71701.0,,,Rego Park,POINT (-73.858133 40.728595)
72,ELDER ABUSE SERVICES CONTRACTS,1E901,CASC - ELDER JUSTICE - STATEN ISLAND (1E9),COMMUNITY AGENCY FOR SENIOR CITIZENS INC,120 Stuyvesant Place Suite 409,STATEN ISLAND,NY,10301,STATEN ISLAND,718-981-6226,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.642992,-74.076954,501.0,49.0,3.0,5000084.0,5000080060.0,West New Brighton-New Brighton-St. George,POINT (-74.076954 40.642992)
73,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6601,EDUCATIONAL ALLIANCE CO OP VILLAGE NORC (N66),THE EDUCATIONAL ALLIANCE INC,465 Grand Street,NEW YORK,NY,10002,MANHATTAN,646-395-4270,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.715133,-73.984031,103.0,1.0,1401.0,1004056.0,1003150070.0,Lower East Side,POINT (-73.984031 40.715133)
74,OLDER ADULT CENTER CONTRACTS,C1101,BRONXWORKS CAROLYN MCLAUGHLIN COMMUNITY CENTER -CONCOURSE OAC (C11),BRONXWORKS INC,1130 Grand Concourse,BRONX,NY,10455,BRONX,718-508-3040,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.832331,-73.91959,204.0,16.0,18102.0,2002833.0,2024620042.0,East Concourse-Concourse Village,POINT (-73.91959 40.832331)
75,OLDER ADULT CENTER CONTRACTS,W2203,JASA EINSTEIN (W22),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,135 EINSTEIN LOOP,BRONX,NY,10475,BRONX,718-320-2066,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.864255,-73.82203,210.0,12.0,302.0,2095160.0,2051350210.0,Co-op City,POINT (-73.82203 40.864255)
76,CASE MANAGEMENT SERVICES CONTRACTS,2MH01,CCNS - CMA - BK 10 11 (2MH),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,6823 Fifth Avenue 3rd Floor,BROOKLYN,NY,11220,BROOKLYN,718-722-6000,Y,08:30,04:30,08:30,04:30,08:30,04:30,08:00,04:30,08:00,04:30,00:00,00:00,00:00,00:00,40.633953,-74.020799,310.0,43.0,130.0,3145313.0,3058650001.0,Bay Ridge,POINT (-74.020799 40.633953)
77,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5201,LINCOLN SQUARE NORC (N52),GODDARD-RIVERSIDE COMMUNITY CENTER,250 W. 66TH STREET,NEW YORK,NY,10023,MANHATTAN,212-724-6720,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.77501,-73.98689,107.0,6.0,151.0,1030340.0,1011560020.0,Lincoln Square,POINT (-73.98689 40.77501)
78,OLDER ADULT CENTER CONTRACTS,W1605,JAMES MONROE (W16),INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,1780 Story Avenue,BRONX,NY,10473,BRONX,718-893-3484,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.823265,-73.865779,209.0,18.0,42.0,2092748.0,2036370001.0,Soundview-Castle Hill-Clason Point-Harding Park,POINT (-73.865779 40.823265)
79,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5301,HAMILTON MADISON ALFRED SMITH HOUSES NORC (N53),HAMILTON MADISON HOUSE INC,50 Madison Street,NEW YORK,NY,10038,MANHATTAN,212-788-5580,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.711958,-73.997825,103.0,1.0,25.0,1077420.0,1001110100.0,Chinatown,POINT (-73.997825 40.711958)
80,NEW YORK CONNECTS CONTRACTS,6C401,PSS NY CONNECTS BK (6C4),PRESBYTERIAN SENIOR SERVICES,1655 Flatbush Avenue,BROOKLYN,NY,11210,BROOKLYN,212-874-6633,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.630096,-73.944757,318.0,45.0,776.0,3206459.0,3075790010.0,Flatlands,POINT (-73.944757 40.630096)
81,ELDER ABUSE SERVICES CONTRACTS,1E601,CBN - ELDER JUSTICE - MN (1E6),CARTER BURDEN NETWORK INC.,312 East 109th Street,NEW YORK,NY,10029,MANHATTAN,212-879-7400,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.792306,-73.94048,111.0,8.0,170.0,1074278.0,1016800045.0,East Harlem South,POINT (-73.94048 40.792306)
82,OLDER ADULT CENTER CONTRACTS,C4301,HOPE OF ISRAEL SENIOR CITIZENS CENTER (C43),HOPE OF ISRAEL SENIOR CITIZENS CENTER INC,1068 Gerard Avenue,BRONX,NY,10452,BRONX,718-665-8400,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.832289,-73.922123,204.0,16.0,195.0,2002944.0,2024780007.0,West Concourse,POINT (-73.922123 40.832289)
83,HOME DELIVERED MEAL SERVICE CONTRACTS,33D01,STANLEY M ISAACS - HDM - MN08 11 (33D),STANLEY M ISAACS NEIGHBORHOOD CENTER INC,415 East 93rd Street,NEW YORK,NY,10128,MANHATTAN,212-360-7620,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.780904,-73.945112,108.0,5.0,152.0,1082367.0,1015730001.0,Yorkville,POINT (-73.945112 40.780904)
84,OLDER ADULT CENTER CONTRACTS,W2402,WASHINGTON LEXINGTON SATELLITE (W24),UNION SETTLEMENT ASSOCIATION,1775 THIRD AVENUE,NEW YORK,NY,10029,MANHATTAN,212-828-6115,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.786574,-73.948303,111.0,8.0,15602.0,1079203.0,1016470001.0,East Harlem South,POINT (-73.948303 40.786574)
85,CASE MANAGEMENT SERVICES CONTRACTS,3M901,SELFHELP - CMA - MN 4 7 (3M9),SELFHELP COMMUNITY SERVICES INC,520 8 Avenue,NEW YORK,NY,10018,MANHATTAN,212-971-7600,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.753612,-73.992417,105.0,3.0,109.0,1083624.0,1007860001.0,Midtown-Midtown South,POINT (-73.992417 40.753612)
86,OLDER ADULT CENTER CONTRACTS,C5803,RAIN BOSTON SECOR OAC (C58),REGIONAL AID FOR INTERIM NEEDS INC,3540 Bivona Street,BRONX,NY,10475,BRONX,718-671-8550,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.883026,-73.833227,212.0,12.0,46202.0,2093879.0,2052630070.0,Co-op City,POINT (-73.833227 40.883026)
87,OLDER ADULT CENTER CONTRACTS,C8701,UNIVERSITY SETTLEMENT OAC (C87),UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,189 Allen Street,NEW YORK,NY,10002,MANHATTAN,212-453-4564,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.722133,-73.988964,103.0,1.0,3601.0,1005537.0,1004170001.0,Chinatown,POINT (-73.988964 40.722133)
88,HOME DELIVERED MEAL SERVICE CONTRACTS,27F01,BAY RIDGE - HDM - BK10 11 (27F),BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,411 OVINGTON AVENUE,BROOKLYN,NY,11209,BROOKLYN,718-748-0650,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.633477,-74.023321,310.0,43.0,130.0,3145772.0,3058730089.0,Bay Ridge,POINT (-74.023321 40.633477)
89,OLDER ADULT CENTER CONTRACTS,W1905,PSS MANHATTANVILLE (W19),PRESBYTERIAN SENIOR SERVICES,530 West 133rd Street,NEW YORK,NY,10027,MANHATTAN,212-862-5562,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.818127,-73.954478,109.0,7.0,219.0,1084130.0,1019840001.0,Manhattanville,POINT (-73.954478 40.818127)
90,ELDER ABUSE SERVICES CONTRACTS,1E302,NSHOPP - ELDER JUSTICE - BX (1E3),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,975 Kelly Street Suite 401,BRONX,NY,10459,BRONX,718-542-0006,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.822052,-73.895879,202.0,17.0,87.0,2114693.0,2027037501.0,Longwood,POINT (-73.895879 40.822052)
91,OLDER ADULT CENTER CONTRACTS,C1501,CANAAN SENIOR SERVICE CENTER (C15),CANAAN BAPTIST CHURCH OF CHRIST,1428 5th Avenue,NEW YORK,NY,10035,MANHATTAN,212-876-2638,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.80115,-73.946121,110.0,9.0,190.0,1051430.0,1016000021.0,Central Harlem South,POINT (-73.946121 40.80115)
92,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5801,PENN SOUTH NORC (N58),PENN SOUTH SOCIAL SERVICES INC,290 9TH AVENUE,NEW YORK,NY,10001,MANHATTAN,212-243-3670,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.748925,-73.999545,104.0,3.0,97.0,1082794.0,1007510001.0,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.999545 40.748925)
93,OLDER ADULT CENTER CONTRACTS,C6902,SAGE CENTER HARLEM (C69),SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,220 West 143rd Street,NEW YORK,NY,10030,MANHATTAN,929-458-0170,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.8208,-73.94113,110.0,9.0,232.0,1086084.0,1020280016.0,Central Harlem North-Polo Grounds,POINT (-73.94113 40.8208)
94,CASE MANAGEMENT SERVICES CONTRACTS,2MG01,JASA - CMA - BK 12 14 (2MG),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2211 CHURCH AVENUE,BROOKLYN,NY,11226,BROOKLYN,212-273-5200,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.650424,-73.958175,314.0,40.0,79602.0,3116881.0,3050890071.0,Prospect Lefferts Gardens-Wingate,POINT (-73.958175 40.650424)
95,TRANSPORTATION SERVICES CONTRACTS,36702,NY FOUNDATION - TRAN GROUP RIDES - MN SOUTH (367),NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,404 WEST   54 STREET,NEW YORK,NY,10019,MANHATTAN,212-962-7653,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.766197,-73.987636,104.0,3.0,133.0,1026769.0,1010630035.0,Clinton,POINT (-73.987636 40.766197)
96,GERIATRIC MENTAL HEALTH SERVICES CONTRACTS,1G701,JASA - GMH - BX (1G7),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,1490 SOUTHERN BLVD FRNT,BRONX,NY,10460,BRONX,212-273-5200,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.833251,-73.890198,203.0,17.0,157.0,2010571.0,2029810014.0,Crotona Park East,POINT (-73.890198 40.833251)
97,NEW YORK CONNECTS CONTRACTS,1C401,NSHOPP - NY CONNECTS - BX (1C4),THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,975 Kelly Street Suite #301,BRONX,NY,10459,BRONX,718-542-0006,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.822052,-73.895879,202.0,17.0,87.0,2114693.0,2027037501.0,Longwood,POINT (-73.895879 40.822052)
98,NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5303,CONFUCIOUS PLAZA NORC (N53),HAMILTON MADISON HOUSE INC,185 PARK ROW,NEW YORK,NY,10038,MANHATTAN,212-349-3724,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.713141,-74.000115,103.0,1.0,27.0,1077407.0,1001170001.0,Chinatown,POINT (-74.000115 40.713141)
99,TRANSPORTATION SERVICES CONTRACTS,61401,FEJOST - TRAN INDIVIDUAL RIDES - CITYWIDE (614),Fejost LLC,1401 WEBSTER AVENUE,BRONX,NY,10456,BRONX,914-413-5313,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.836291,-73.907377,204.0,16.0,17702.0,2119686.0,2028870147.0,East Concourse-Concourse Village,POINT (-73.907377 40.836291)
