,the_geom,OBJECTID,Segment_ID,StreetName,CENSUS_ID,DEPOT_NUMB,DEPOT_NAME,MOCO_MAINT,Shape_Leng,FromStreet,ToStreet,Length_1,Width,SurfaceTyp,PCI
58,"MULTILINESTRING ((-77.16691682469845 38.975624673617034, -77.16681312713615 38.97565450952833, -77.16646461808986 38.97572588008376, -77.16636669433919 38.97578050471387))",12690,8901,80TH PL,8901,14,Bethesda,YES,168.066596016,81ST ST,261 ft (0.05 Mi) S of Dead End,168.1,15.0,AC,20.4332
59,"MULTILINESTRING ((-77.16636669433919 38.97578050471387, -77.16634438205743 38.97582858641342, -77.16622764428057 38.976488582837526))",12687,8902,80TH PL,8902,14,Bethesda,YES,261.278560829,168 ft (0.03 Mi) E of 81ST ST,Dead End,261.3,15.0,AC,19.4881
60,"MULTILINESTRING ((-77.16409692266154 38.97498333456444, -77.16410330323097 38.97508088452804, -77.16434712518917 38.97594527169506, -77.1644697794024 38.97631740146225, -77.16450312816578 38.97647823633146, -77.16449859137673 38.97660823539399, -77.16447080091996 38.976759975408996, -77.16450636176575 38.97711721177188, -77.16457224468967 38.97746668324783))",12714,8903,80TH ST,8903,14,Bethesda,YES,919.551019141,MAC ARTHUR BLV,SPRING RD,919.6,18.0,AC,47.0734
61,"MULTILINESTRING ((-77.16573481760724 38.974629916149674, -77.16572265370013 38.974504059421896, -77.16565364003228 38.97337652454727, -77.16566319305574 38.97332494299699, -77.16569870402625 38.973280703966914))",12821,8921,81ST ST,8921,14,Bethesda,YES,495.084089808,MAC ARTHUR BLV,RIVERSIDE AVE,495.1,22.0,AC,25.22
62,"MULTILINESTRING ((-77.16645876383217 38.97434899642589, -77.16649587920742 38.97442685331161, -77.16661252397093 38.97485793647674, -77.16670912156988 38.97517664550877, -77.16678887972763 38.975439090953415, -77.16681232185468 38.9754983480418, -77.16683971800009 38.97555614050089, -77.16691682469845 38.975624673617034))",12754,8922,81ST ST,8922,14,Bethesda,YES,486.486853443,MAC ARTHUR BLV,80TH PL,486.486853443,18.0,AC,26.5587
63,"MULTILINESTRING ((-77.16691682469845 38.975624673617034, -77.16701547752042 38.9756937763154, -77.16712957073197 38.97578447939897, -77.16721020166729 38.975855752793194, -77.16726179631786 38.97591977442772, -77.16732354813034 38.97600274391691, -77.16752655014263 38.97631863980076, -77.16762100074838 38.97646977645967, -77.16764617652976 38.97651787638923, -77.16764894846813 38.976574674251616))",12691,8923,81ST ST,8923,14,Bethesda,YES,410.686264567,80TH PL,405 ft (0.08 Mi) S of CARAWAY ST,410.7,18.0,AC,35.1471
64,"MULTILINESTRING ((-77.16764894846813 38.976574674251616, -77.1676191444826 38.976615302245634, -77.16755682932899 38.97666713097473, -77.16741852256224 38.97675150260874, -77.16736145673097 38.97679199777469, -77.167327711372 38.97683940955154, -77.16731993165868 38.976896823587936, -77.16737349097913 38.9770482760954))",12642,8924,81ST ST,8924,14,Bethesda,YES,212.768187856,411 ft (0.08 Mi) NW of 80TH PL,193 ft (0.04 Mi) S of CARAWAY ST,212.8,18.0,AC,37.4955
65,"MULTILINESTRING ((-77.16737349097913 38.9770482760954, -77.16744383486578 38.97723196688796, -77.16753782547408 38.97756106079723))",12613,8925,81ST ST,8925,14,Bethesda,YES,192.625436096,623 ft (0.12 Mi) N of 80TH PL,CARAWAY ST,192.6,18.0,AC,33.95
66,"MULTILINESTRING ((-77.17040693624212 38.97371797250791, -77.1703164316215 38.97374702013281, -77.17025226558434 38.97375843951459, -77.17018808887099 38.973765397209995, -77.16968776800022 38.97378036782155, -77.16929532312474 38.97367514043603))",12787,8959,83RD PL,8959,14,Bethesda,YES,325.265600663,254 ft (0.05 Mi) N of Dead End,83RD ST,325.3,18.0,AC,21.7338
67,"MULTILINESTRING ((-77.1694327868808 38.97323965922994, -77.16943597961523 38.97328796210049, -77.16941994831578 38.97338768906029, -77.1693750214133 38.97353911194954, -77.16929532312474 38.97367514043603))",12825,8963,83RD ST,8963,14,Bethesda,YES,165.307476451,Dead End,83RD PL,165.3,20.0,AC,23.7191
68,"MULTILINESTRING ((-77.14633312230855 39.141572307398135, -77.14632632376718 39.14148102433356, -77.14631960577152 39.14142886597347, -77.14631332773759 39.14137653562239, -77.14630660976133 39.14132437726015, -77.14630077609173 39.141273590664305, -77.14629494235231 39.1412229758446, -77.146289549788 39.1411723604734, -77.14628371614306 39.14112157387476, -77.14627788242757 39.141070958716114, -77.14627248988693 39.14102034334218, -77.14626567197891 39.14091979374125, -77.14627127617287 39.14085886844593, -77.14628562211537 39.14076292570481))",16564,9165,BEAUVOIR BLV,9165,11,Gaithersburg East,YES,295.887272663,BLANCHARD DR,BEAUVOIR CT,295.9,24.0,AC,62.8368
69,"MULTILINESTRING ((-77.11609737878364 38.991621071210915, -77.11627384410785 38.991688080154354, -77.11640800398298 38.99170244740938, -77.11653377410514 38.99169640189549, -77.11661599359864 38.99168336363608, -77.11672194058576 38.99165751676982, -77.11688369759545 38.99160501528756, -77.11770299276908 38.99131829709861))",11380,9191,ABERDEEN RD,9191,14,Bethesda,YES,490.480301551,ABERDEEN PL,BRADLEY BLV,490.5,34.0,AC,46.8989
70,"MULTILINESTRING ((-77.11770299276908 38.99131829709861, -77.11880314378337 38.990935016910996))",11426,9192,ABERDEEN RD,9192,14,Bethesda,YES,342.438149599,BRADLEY BLV,OLDCHESTER RD,342.4,24.0,AC,83.6684
71,"MULTILINESTRING ((-77.11880314378337 38.990935016910996, -77.11907213358414 38.9908396732118, -77.12093395167538 38.99018411300274, -77.12106930235139 38.9901239108468))",11515,9193,ABERDEEN RD,9193,14,Bethesda,YES,708.806553105,OLDCHESTER RD,RAYBURN RD,708.8,24.0,AC,92.3131
72,"MULTILINESTRING ((-77.12106930235139 38.9901239108468, -77.12123235514694 38.99006170617186, -77.12128463433241 38.990029647250566))",11538,9194,ABERDEEN RD,9194,14,Bethesda,YES,70.4839601223,RAYBURN RD,WILSON LA,70.4839601223,24.0,AC,69.205
73,"MULTILINESTRING ((-77.1137221622762 38.98644319696456, -77.11369769253 38.98681689475401, -77.11369730289493 38.98712389984175, -77.11371199933734 38.98723920536202))",11960,9195,ABERDEEN RD,9195,14,Bethesda,YES,290.295068761,WILSON LA,793 ft (0.15 Mi) S of YORK LA,290.3,24.0,AC,52.1414
74,"MULTILINESTRING ((-77.11371199933734 38.98723920536202, -77.11372402738421 38.98733615152325, -77.11376077774021 38.9874927068584, -77.11380630012178 38.98763432399174, -77.11388750412709 38.9878140031806, -77.11432326001251 38.98860339826166, -77.11459934480108 38.98909289388693, -77.1146990140446 38.98926697697332))",11887,9196,ABERDEEN RD,9196,14,Bethesda,YES,793.281898757,290 ft (0.05 Mi) N of WILSON LA,YORK LA,793.3,24.0,AC,62.08
75,"MULTILINESTRING ((-77.1146990140446 38.98926697697332, -77.1150404193438 38.989897983055506, -77.11516794340707 38.990162646876335, -77.11523858946738 38.99033650053266, -77.11530574537413 38.99052734693631, -77.1154918374638 38.99110916724117, -77.11552274467957 38.991184386332144, -77.11555009299995 38.991234640248344))",11634,9197,ABERDEEN RD,9197,14,Bethesda,YES,758.009021766,YORK LA,214 ft (0.04 Mi) SE of ABERDEEN PL,758.0,24.0,AC,63.8812
76,"MULTILINESTRING ((-77.11555009299995 38.991234640248344, -77.11559681975673 38.991301949749236, -77.11564440433872 38.99135604455369, -77.11570782907842 38.991414413870615, -77.11577563902117 38.9914653138246, -77.11585884252035 38.991516542058896, -77.11609737878364 38.991621071210915))",13724,9198,ABERDEEN RD,9198,14,Bethesda,YES,214.270996718,758 ft (0.14 Mi) N of YORK LA,ABERDEEN PL,214.3,24.0,AC,52.7768
77,"MULTILINESTRING ((-77.05896337127746 38.98950020729149, -77.05902408133399 38.98952505962506, -77.05908171583428 38.98955403189653, -77.05913627571755 38.9895872101695, -77.05918732047837 38.98962373676568, -77.05927754259348 38.989705204183565, -77.05933697155672 38.98977570448856, -77.05937748575965 38.98984149487796, -77.05941714505597 38.98993628738855, -77.05945506852767 38.99005896705607, -77.05949647600279 38.99014080232873))",11606,9209,ABILENE DR,9209,15,Silver Spring,YES,289.176866981,755 ft (0.14 Mi) W of Dead End,WASHINGTON AVE,289.2,24.0,AC,68.6757
78,"MULTILINESTRING ((-77.10420815273622 38.94746626731345, -77.10440914347816 38.94755583904465, -77.10449840889903 38.94758510414181, -77.10460612063206 38.94760542929642, -77.10467513268966 38.94761077318122, -77.10482675402068 38.9476020568472, -77.10535581584494 38.94752195502272, -77.1062825529434 38.947383143109434, -77.10634408028018 38.94737982661551, -77.10638848304042 38.94738759449994, -77.10641532106104 38.94740601789022))",13613,9221,ABINGDON RD,9221,14,Bethesda,YES,650.110845005,WETHERILL RD,JAMESTOWN RD,650.1,24.0,AC,52.5448
79,"MULTILINESTRING ((-77.09913043547068 39.007856997942724, -77.10068933667998 39.00780710218329))",9567,9262,ACACIA AVE,9262,14,Bethesda,YES,443.353005907,Dead End,CEDARCREST DR,443.4,24.0,AC,71.3099
80,"MULTILINESTRING ((-77.10068933667998 39.00780710218329, -77.1012448967373 39.00779212213178, -77.10137772198415 39.00777716325761, -77.10145116113593 39.007761397501646, -77.10154305872328 39.00773377514931, -77.1018903829656 39.00760202285392))",9597,9263,ACACIA AVE,9263,14,Bethesda,YES,355.470482329,CEDARCREST DR,BARDON RD,355.5,24.0,AC,73.2569
81,"MULTILINESTRING ((-77.1018903829656 39.00760202285392, -77.1023937865853 39.00741461881284, -77.1026220021244 39.00735487129414))",9620,9264,ACACIA AVE,9264,14,Bethesda,YES,226.901804642,BARDON RD,BENTON AVE,226.9,24.0,AC,70.1729
82,"MULTILINESTRING ((-77.1026220021244 39.00735487129414, -77.10276447457957 39.007319652924615, -77.10294656190246 39.007301474212014))",9627,9265,ACACIA AVE,9265,14,Bethesda,YES,94.6333966182,BENTON AVE,CYPRESS AVE,94.6,24.0,AC,77.0139
83,"MULTILINESTRING ((-77.10294656190246 39.007301474212014, -77.10314503088162 39.00735681397765, -77.10320841058144 39.00738164095696, -77.10335234824987 39.00744655279094, -77.10353102942412 39.007506371008965, -77.10359351909189 39.007523991110304, -77.10375455061016 39.0075460715255))",9628,9266,ACACIA AVE,9266,14,Bethesda,YES,247.879372586,CYPRESS AVE,CHANDLER ST,247.9,24.0,AC,77.115
84,"MULTILINESTRING ((-77.10375455061016 39.0075460715255, -77.10389883308635 39.00754551420369, -77.1040123151677 39.00753914988141, -77.10411435138565 39.00752687503198, -77.10420406491757 39.00751075017161, -77.10429069156679 39.007489222065395, -77.10449557513773 39.007418337609835))",9610,9267,ACACIA AVE,9267,14,Bethesda,YES,218.351695909,CHANDLER ST,DANBURY RD,218.4,24.0,AC,77.0935
85,"MULTILINESTRING ((-77.10449557513773 39.007418337609835, -77.10525839335415 39.007156212088624, -77.10605903911707 39.00689670705785))",9661,9268,ACACIA AVE,9268,14,Bethesda,YES,483.223260512,DANBURY RD,LINDEN AVE,483.2,20.0,AC,66.8273
86,"MULTILINESTRING ((-77.10605903911707 39.00689670705785, -77.10616544253983 39.006863919493114, -77.10638701042335 39.00677431147154, -77.10674237450753 39.006733059598425))",9676,9269,ACACIA AVE,9269,14,Bethesda,YES,205.520562731,LINDEN AVE,LOCUST AVE,205.5,20.0,AC,75.551
87,"MULTILINESTRING ((-77.10674237450753 39.006733059598425, -77.10695899246316 39.0065700078484, -77.10703103361399 39.00650378765459, -77.10707670452597 39.00645269292508, -77.10713814991578 39.006360999086404, -77.10727762017027 39.00608741714778))",9742,9270,ACACIA AVE,9270,14,Bethesda,YES,284.771708443,LOCUST AVE,CAMBERLEY AVE,284.8,24.0,AC,75.3809
88,"MULTILINESTRING ((-77.10727762017027 39.00608741714778, -77.10737981708633 39.005891692319736, -77.10742810539067 39.00582643763039, -77.10748475714165 39.005765379700506, -77.10754933432834 39.00570920504127, -77.10763150447941 39.0056517273084, -77.10772160470201 39.005602221855476, -77.1078306251481 39.005556731577855))",9804,9271,ACACIA AVE,9271,14,Bethesda,YES,257.160486673,CAMBERLEY AVE,Dead End,257.2,24.0,AC,70.9664
89,"MULTILINESTRING ((-77.20912795643169 39.01361423846121, -77.20898995900582 39.01351203619369, -77.208893376563 39.013430610038775, -77.20879767278991 39.01334883867055, -77.20872269724633 39.0132846202894, -77.20864772201672 39.013220315799764, -77.2085948048896 39.013177336821194, -77.20854101013288 39.01313496045259, -77.20846253101003 39.01307589590163, -77.20837921216068 39.01301666880643, -77.20826725691907 39.012943248810124, -77.20816415044708 39.01288697405286, -77.2080597285773 39.01283215984423, -77.20792491390682 39.012764100372955, -77.20784429935803 39.01272674764543, -77.20771700949312 39.01267454779335))",8822,9286,ACCORD DR,9286,14,Bethesda,YES,530.735807016,HALL RD,PINKNEY CT,530.7,22.0,AC,58.2
90,"MULTILINESTRING ((-77.20621618063355 39.01228147844505, -77.2061524216041 39.0122915440859, -77.20608999503027 39.012305983256624, -77.20597002237253 39.01234926749619, -77.20591027378667 39.0123770013733, -77.20578863040147 39.012451177586904, -77.20568280559654 39.01251906236751, -77.20506645270807 39.01296863689573, -77.20495845143051 39.01304510520074, -77.2048508902931 39.01312157229769, -77.20480172847908 39.01315975503106, -77.20471878943603 39.0132316315498, -77.20463719914686 39.01331363038411, -77.20457714657087 39.01338915622567))",8872,9287,ACCORD DR,9287,14,Bethesda,YES,624.748647666,455 ft (0.09 Mi) E of PINKNEY CT,408 ft (0.08 Mi) S of ACCORD CT,624.7,22.0,AC,74.205
91,"MULTILINESTRING ((-77.20457714657087 39.01338915622567, -77.20454913365312 39.013438713797704, -77.2045272913134 39.01349237864571, -77.20451161186469 39.01354732024455, -77.20450032328054 39.01359942228033, -77.2044943290538 39.01365674921117, -77.20449758310377 39.01371749226262, -77.20450696419142 39.0137671559093, -77.20451942300738 39.013816299164716, -77.20453539993636 39.01386492159432, -77.20455489597101 39.01391336642335, -77.20459562917621 39.01400373168668, -77.20464126731095 39.01411699758974, -77.20466655364748 39.01419022909223, -77.20468078101341 39.014242201119146, -77.20468666612955 39.014300021946596, -77.20468595293316 39.01435802609757, -77.20466166569148 39.01447939425528))",8722,9288,ACCORD DR,9288,14,Bethesda,YES,408.468979514,1079 ft (0.20 Mi) E of PINKNEY CT,ACCORD CT,408.5,22.0,AC,63.535
92,"MULTILINESTRING ((-77.07696066632622 39.04759103573026, -77.07643501947882 39.04788448056341))",4551,9471,ADAMS CT,9471,15,Silver Spring,YES,183.598517139,ADAMS DR,Dead End,183.6,36.0,AC,55.5234
93,"MULTILINESTRING ((-77.07264727412948 39.04709957087738, -77.07279907925634 39.047060007365154, -77.07301252341053 39.047040311615554, -77.0731656693018 39.04702082462194, -77.07323432250026 39.04701340285836, -77.07330253562016 39.04700606705231, -77.07336766254053 39.046994185491435, -77.07343234883255 39.04698144593972, -77.07359779888701 39.04694316034513, -77.07373641385588 39.04691750402182))",4669,9473,ADAMS DR,9473,15,Silver Spring,YES,317.229547641,HIGHVIEW AVE,HATCHER PL,317.2,24.0,AC,64.99
94,"MULTILINESTRING ((-77.07373641385588 39.04691750402182, -77.07393383493485 39.04672664077757))",4691,9474,ADAMS DR,9474,15,Silver Spring,YES,89.3081344261,HATCHER PL,168 ft (0.03 Mi) NE of MAPLEVIEW DR,89.3,24.0,AC,79.54
95,"MULTILINESTRING ((-77.07393383493485 39.04672664077757, -77.07405342154517 39.04660275267533, -77.07418269577754 39.046483834569905, -77.07430008653571 39.04636543886694))",4741,9475,ADAMS DR,9475,15,Silver Spring,YES,167.76042411,89 ft (0.02 Mi) SW of HATCHER PL,MAPLEVIEW DR,167.8,24.0,AC,34.878
96,"MULTILINESTRING ((-77.07430008653571 39.04636543886694, -77.07441528099018 39.04625124852768, -77.07447507973203 39.04619543926052, -77.07453531949689 39.04614014401484, -77.07461755037654 39.04607067777446, -77.07469230939238 39.04601108304367, -77.07475915700918 39.04596230474362, -77.07482644511121 39.04591352612326, -77.07489679429925 39.04584629807281))",4857,9476,ADAMS DR,9476,15,Silver Spring,YES,254.318668259,MAPLEVIEW DR,SOWARD DR,254.3,24.0,AC,25.8375
97,"MULTILINESTRING ((-77.07633897741152 39.04574660806622, -77.07638431310816 39.045749323959974, -77.07685260965977 39.04575322189146, -77.07697276329631 39.04575288544751, -77.07709291702488 39.04575263493864, -77.07720690965654 39.045753246265, -77.07732090272123 39.045753857480065, -77.07743445545627 39.04575429709469, -77.07754844762623 39.04575447914125, -77.07766419996412 39.04575388740014, -77.07778039182644 39.04575312380799, -77.07790054470757 39.04575210029795, -77.0780206975849 39.04575107632843, -77.0780884784574 39.04575248975855, -77.07815581941628 39.045754504171384, -77.07822360095484 39.04575651825111, -77.07829094159713 39.04575784579975, -77.07839965227984 39.0457578591049))",4876,9479,ADAMS DR,9479,15,Silver Spring,YES,585.348480824,CONNECTICUT AVE,LANTERN DR,585.3,24.0,AC,28.13
98,"MULTILINESTRING ((-77.07839965227984 39.0457578591049, -77.07852288144086 39.04575254241199, -77.07890798970287 39.045752025962436, -77.07932478651367 39.04575097210816, -77.07957478135192 39.04575500686905, -77.07963817060208 39.04576517412709, -77.07970068193306 39.04577705807484, -77.07976319477669 39.045790658114456, -77.07982571120422 39.04580743286791, -77.07989087950975 39.04583398719393, -77.07995253142238 39.04586474797443, -77.08002035709754 39.045905886646246, -77.08007233281685 39.04594240308401, -77.0801291634284 39.04599067088397))",4873,9480,ADAMS DR,9480,15,Silver Spring,YES,517.490975363,LANTERN DR,861 ft (0.16 Mi) S of SHALER DR,517.5,24.0,AC,48.5
99,"MULTILINESTRING ((-77.0801291634284 39.04599067088397, -77.08017014332702 39.04603328646339, -77.08020320189046 39.046077023189476, -77.08023142162905 39.04612282223747, -77.08025436209864 39.04617042674595, -77.0802711429511 39.04622018054684, -77.08028353347571 39.04627980449277, -77.0802906436837 39.04633994706413, -77.08029203893798 39.0464062712719, -77.08028598591525 39.04650297450563, -77.0802698191903 39.04660757885172, -77.08025186028071 39.04668421240851, -77.08023037964158 39.046760419763544, -77.0802053818492 39.04683988965803, -77.08017774105983 39.04691755950773, -77.08015316330791 39.046979268458365, -77.08011759651492 39.047053768969015, -77.08007850716713 39.04712715681555, -77.08002623106282 39.047215740283434))",4835,9481,ADAMS DR,9481,15,Silver Spring,YES,468.340643809,517 ft (0.10 Mi) W of LANTERN DR,393 ft (0.07 Mi) SW of SHALER DR,468.3,24.0,AC,46.3321
